,Method,PB,AUCC,Silhouette,Noise,Penalty
0,HDBSCAN_2_32,-0.4018512738267875,0.8564456446859278,0.5108038475462685,1213,0.8625962845491617
1,OPTICS_2_32,-0.36711836386262514,0.7316566192041403,0.40036000983175996,2358,0.7328953330312642
2,HDBSCAN_3_32,-0.3972629827567632,0.8372233706072756,0.5043332907318475,1388,0.8427729950158587
3,OPTICS_3_32,-0.36711836386262514,0.7316566192041403,0.40036000983175996,2358,0.7328953330312642
4,HDBSCAN_5_32,-0.39496516571938317,0.8410059005366229,0.5107054373339717,1364,0.8454916175804259
5,OPTICS_5_32,-0.36711836386262514,0.7316566192041403,0.40036000983175996,2358,0.7328953330312642
6,HDBSCAN_8_32,-0.38936085579210866,0.8184739732183316,0.4950545132160187,1571,0.822043497961033
7,OPTICS_8_32,-0.36711836386262514,0.7316566192041403,0.40036000983175996,2358,0.7328953330312642
8,HDBSCAN_13_32,-0.3822855150625475,0.7782977300885606,0.43567376218206155,1929,0.7814907113729044
9,OPTICS_13_32,-0.36711836386262514,0.7316566192041403,0.40036000983175996,2358,0.7328953330312642
10,FOSC_32_single,-0.1529811514878511,0.9329924177765765,0.34063056111335754,0,1.0
11,FOSC_32_average,-0.48310577583347125,0.9327153841245697,0.5588607508224981,207,0.9765518803806071
12,FOSC_32_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
13,FOSC_32_complete,-0.5015029033428963,0.9338120140801525,0.4962029754372814,127,0.9856139555958314
14,FOSC_32_weighted,-0.42780673366279975,0.9390211777189131,0.5730080796303553,288,0.9673765292251926
15,HDBSCAN_2_48,-0.40837320403224653,0.8046310674503393,0.4191776930232582,1665,0.8113955595831446
16,OPTICS_2_48,-0.37000639247402456,0.6723162048171497,0.31452777384901454,2888,0.6728590847304032
17,HDBSCAN_3_48,-0.3957088203960404,0.7835861418481249,0.40375443316715903,1830,0.7927050294517445
18,OPTICS_3_48,-0.37000639247402456,0.6723162048171497,0.31452777384901454,2888,0.6728590847304032
19,HDBSCAN_5_48,-0.4025170369009749,0.7859945553347673,0.40481687438774283,1835,0.792138649750793
20,OPTICS_5_48,-0.37000639247402456,0.6723162048171497,0.31452777384901454,2888,0.6728590847304032
21,HDBSCAN_8_48,-0.3895990330037192,0.76660390555505,0.39186078272202896,2000,0.7734481196193929
22,OPTICS_8_48,-0.37000639247402456,0.6723162048171497,0.31452777384901454,2888,0.6728590847304032
23,HDBSCAN_13_48,-0.38727893677316594,0.7471780946336639,0.3614536773972129,2170,0.7541912097870412
24,OPTICS_13_48,-0.37000639247402456,0.6723162048171497,0.31452777384901454,2888,0.6728590847304032
25,FOSC_48_single,-0.6557080480338182,0.8761438814295689,0.3288570280306254,314,0.9644313547802447
26,FOSC_48_average,-0.4815890748038772,0.9106076867654652,0.5031710473671184,376,0.9574082464884458
27,FOSC_48_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
28,FOSC_48_complete,-0.5016866165332549,0.9138597420742622,0.43573384390030717,302,0.9657906660625283
29,FOSC_48_weighted,-0.4306635522326614,0.9325065009860365,0.5340898095157064,322,0.9635251472587223
30,HDBSCAN_2_64,-0.41255096850175915,0.8049019584532859,0.39315075383744846,1634,0.8149071137290439
31,OPTICS_2_64,-0.3555329607279096,0.6216707809898547,0.24089407889104072,3335,0.6222247394653375
32,HDBSCAN_3_64,-0.39576069524136004,0.7697121123851808,0.3639961240056094,1926,0.7818305391934753
33,OPTICS_3_64,-0.3555329607279096,0.6216707809898547,0.24089407889104072,3335,0.6222247394653375
34,HDBSCAN_5_64,-0.4092024397779708,0.7936462972502591,0.38702504538036764,1738,0.8031264159492524
35,OPTICS_5_64,-0.3555329607279096,0.6216707809898547,0.24089407889104072,3335,0.6222247394653375
36,HDBSCAN_8_64,-0.3822878205024292,0.7349369261036077,0.3385983055865111,2275,0.7422972360670593
37,OPTICS_8_64,-0.3555329607279096,0.6216707809898547,0.24089407889104072,3335,0.6222247394653375
38,HDBSCAN_13_64,-0.388639469362469,0.7410640418316123,0.33109863102436066,2207,0.75
39,OPTICS_13_64,-0.3555329607279096,0.6216707809898547,0.24089407889104072,3335,0.6222247394653375
40,FOSC_64_single,-0.6557080480338182,0.8761438814295689,0.3288570280306254,314,0.9644313547802447
41,FOSC_64_average,-0.6107905379498814,0.9411390206221105,0.4384184404194868,239,0.9729270502945174
42,FOSC_64_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
43,FOSC_64_complete,-0.5149496009929029,0.9255550742820147,0.41811506082879835,213,0.9758722247394653
44,FOSC_64_weighted,-0.42925570630226406,0.9259055529196469,0.5035566034417482,297,0.9663570457634798
45,HDBSCAN_2_96,-0.41269362097731427,0.7403956687456174,0.25793645032995904,2124,0.7594019030357952
46,OPTICS_2_96,-0.2975146677418896,0.4493656547349343,0.07849279294186282,4861,0.4493656547349343
47,HDBSCAN_3_96,-0.3923352661467397,0.7100319292412729,0.21287774788844516,2309,0.738445854100589
48,OPTICS_3_96,-0.2975146677418896,0.4493656547349343,0.07849279294186282,4861,0.4493656547349343
49,HDBSCAN_5_96,-0.4065529147005776,0.7352414397231863,0.26070664270085125,2173,0.7538513819664703
50,OPTICS_5_96,-0.2975146677418896,0.4493656547349343,0.07849279294186282,4861,0.4493656547349343
51,HDBSCAN_8_96,-0.38897908876162784,0.6834600745499518,0.20542788629786807,2686,0.6957408246488446
52,OPTICS_8_96,-0.2975146677418896,0.4493656547349343,0.07849279294186282,4861,0.4493656547349343
53,HDBSCAN_13_96,-0.37458370450407336,0.6759488445956854,0.22684663016303502,2759,0.6874716810149524
54,OPTICS_13_96,-0.2975146677418896,0.4493656547349343,0.07849279294186282,4861,0.4493656547349343
55,FOSC_96_single,-0.6445112946628104,0.8589662187218913,0.3319535422470973,464,0.9474399637516991
56,FOSC_96_average,-0.7203904936198061,0.9809696010017626,0.43383803065675497,86,0.9902582691436339
57,FOSC_96_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
58,FOSC_96_complete,-0.5207271883163689,0.9195746934784366,0.3524814119193691,189,0.9785908473040327
59,FOSC_96_weighted,-0.43985737435056155,0.914609349298198,0.4171218404712642,298,0.9662437698232895
60,HDBSCAN_2_128,-0.4241540587973371,0.7210116169304455,0.21025212802158313,2257,0.7443362029904849
61,OPTICS_2_128,-0.2760859574682482,0.38966923425464434,0.03443793974745906,5388,0.38966923425464434
62,HDBSCAN_3_128,-0.4013918687199991,0.6840095830632386,0.1608807586022076,2480,0.7190756683280471
