,0
0,-35.41
1,-35.41
2,-35.41
3,-35.41
4,-35.41
5,-37.089
6,-37.089
7,-37.089
8,-37.089
9,-36.486
10,-36.486
11,-36.486
12,-36.89233333333333
13,-36.89233333333333
14,-36.814
15,-36.89233333333333
16,-36.814
17,-36.814
18,-36.814
19,-36.814
20,-28.845
21,-28.845
22,-28.845
23,-28.845
24,-28.845
25,-28.845
26,-28.845
27,-28.845
28,-28.845
29,-28.845
30,-28.845
31,-28.845
32,-28.845
33,-28.845
34,-28.845
35,-28.845
36,-28.845
37,-28.845
38,-28.845
39,-28.845
40,-28.845
41,-28.845
42,-28.845
43,-28.845
44,-55.191
45,-55.191
46,-55.191
47,-55.191
48,-55.191
49,-55.191
50,-55.191
51,-55.191
52,-55.191
53,-55.191
54,-55.191
55,-55.191
56,-55.191
57,-55.191
58,-55.191
59,-55.191
60,-55.191
61,-55.191
62,-55.191
63,-55.191
64,-55.191
65,-42.353
66,-37.76733333333333
67,-42.353
68,-37.76733333333333
69,-32.74066666666666
70,-27.412666666666667
71,-27.412666666666667
72,-23.832666666666668
73,-24.126
74,-23.832666666666668
75,-23.832666666666668
76,-23.891000000000002
77,-23.323
78,-23.891000000000002
79,-23.891000000000002
80,-21.84833333333333
81,-22.004
82,-21.848333333333333
83,-22.004
84,-20.999
85,-21.24
86,-20.749666666666666
87,-20.749666666666666
88,-20.749666666666666
89,-20.749666666666666
90,-20.749666666666666
91,-20.948
92,-20.948
93,-20.948
94,-20.948
95,-20.948
96,-20.948
97,-21.111
98,-21.111
99,-21.111
100,-18.889
101,-18.889
102,-18.889
103,-19.188
104,-19.188
105,-21.195000000000004
106,-22.24
107,-21.195
108,-22.24
109,-22.407333333333337
110,-22.241666666666664
111,-21.363
112,-19.569666666666667
113,-18.531666666666666
114,-19.325
115,-20.555000000000003
116,-21.459333333333333
117,-19.63866666666667
118,-18.839000000000002
119,-19.408666666666665
120,-20.122
121,-18.921
122,-18.12666666666667
123,-18.783333333333335
124,-20.05666666666667
125,-19.793000000000003
126,-19.929333333333332
127,-19.929333333333332
128,-22.274333333333335
129,-21.315
130,-22.274333333333335
131,-21.315
132,-20.303333333333335
133,-20.427000000000003
134,-21.265666666666664
135,-21.861333333333334
136,-21.179666666666666
137,-21.179666666666666
138,-20.496
139,-19.935
140,-19.935
141,-18.594
142,-18.594
143,-18.594
144,-18.594
145,-18.594
146,-18.594
147,-18.594
148,-18.594
149,-18.594
150,-18.594
151,-18.594
