,0
0,-28.183000000000003
1,-30.56233333333333
2,-28.183000000000003
3,-30.56233333333333
4,-32.36866666666666
5,-32.36866666666666
6,-32.443000000000005
7,-32.89633333333333
8,-32.443000000000005
9,-32.89633333333333
10,-31.980666666666664
11,-31.595333333333333
12,-31.200333333333333
13,-31.200333333333333
14,-33.394
15,-31.386
16,-31.386
17,-31.876333333333335
18,-31.701
19,-31.876333333333335
20,-31.876333333333335
21,-32.373
22,-32.026
23,-32.026
24,-32.026
25,-32.026
26,-32.026
27,-32.026
28,-32.026
29,-32.026
30,-32.026
31,-32.026
32,-32.026
33,-32.026
34,-31.442
35,-31.442
36,-31.442
37,-31.442
38,-31.442
39,-31.442
40,-31.442
41,-31.442
42,-31.442
43,-31.442
44,-31.442
45,-31.442
46,-31.442
47,-31.442
48,-31.562
49,-31.562
50,-31.562
51,-31.562
52,-31.562
53,-31.562
54,-31.562
55,-31.562
56,-31.562
57,-31.562
58,-31.562
59,-31.562
60,-31.562
61,-31.562
62,-31.959
63,-31.959
64,-31.959
65,-31.959
66,-31.959
67,-31.959
68,-31.959
69,-31.959
70,-31.959
71,-31.959
72,-31.959
73,-31.959
74,-31.959
75,-31.959
76,-32.113
77,-32.113
78,-32.113
79,-32.113
80,-32.068
