,0
0,-4.309
1,-4.309
2,-4.412
3,-4.412
4,-4.412
5,-4.412
6,-4.412
7,-4.412
8,-4.218
9,-4.218
10,-4.218
11,-4.218
12,-4.218
13,-4.218
14,-4.161
15,-4.161
16,-4.161
17,-4.161
18,-4.161
19,-4.146
20,-4.146
21,-4.146
22,-4.146
23,-4.124
24,-4.124
25,-4.1593333333333335
26,-4.339
27,-4.1593333333333335
28,-4.1593333333333335
29,-4.092
30,-4.092
31,-4.092
32,-4.092
33,-4.606
34,-4.606
35,-4.606
36,-4.327333333333333
37,-4.08
38,-4.327333333333333
39,-4.327333333333333
40,-4.327333333333333
41,-3.6526666666666663
42,-3.6526666666666663
43,-3.8013333333333335
44,-3.6526666666666667
45,-3.8013333333333335
46,-4.199333333333334
47,-4.199333333333334
48,-4.199333333333334
49,-4.005333333333334
50,-4.005333333333334
51,-4.005333333333334
52,-2.927
53,-4.005333333333334
54,-4.005333333333334
55,-5.148
56,-5.148
57,-5.148
58,-5.148
59,-5.148
60,-5.148
61,-5.148
62,-5.148
63,-5.148
64,-5.148
65,-5.148
66,-5.54
67,-5.54
68,-5.54
69,-5.54
70,-5.54
71,-5.54
72,-5.54
73,-5.54
74,-5.54
75,-5.54
76,-5.54
77,-5.54
78,-5.54
79,-5.222
80,-5.222
81,-5.222
82,-5.222
83,-5.222
84,-5.204
85,-5.204
86,-5.204
87,-5.204
88,-5.204
89,-5.204
90,-5.369
91,-5.369
92,-5.369
93,-5.369
94,-5.455
95,-5.455
96,-5.455
97,-5.549
98,-5.549
99,-5.549
100,-5.549
101,-5.448
102,-5.448
103,-5.448
104,-5.448
105,-4.999
106,-4.999
107,-4.999
108,-5.258
109,-5.258
110,-5.258
111,-5.416
112,-5.323
113,-5.323
114,-5.529
115,-5.529
116,-5.529
117,-5.508
118,-5.508
119,-5.508
120,-4.503
121,-4.503
122,-4.503
123,-4.503
124,-4.503
125,-4.58
126,-4.58
127,-4.58
128,-4.58
129,-4.58
130,-4.58
131,-4.58
132,-4.58
133,-4.58
134,-4.58
135,-5.273
136,-5.273
137,-5.273
138,-5.273
139,-5.273
140,-5.273
141,-5.273
142,-5.273
143,-5.273
144,-5.273
145,-5.273
146,-4.789
147,-4.789
148,-4.789
149,-4.789
150,-4.789
151,-4.789
152,-4.694
153,-4.694
154,-4.694
155,-4.694
156,-4.694
157,-4.694
158,-4.694
159,-4.694
160,-4.694
161,-4.694
162,-4.694
163,-4.694
164,-4.694
165,-4.951
166,-4.951
167,-4.951
168,-4.951
169,-4.951
170,-4.951
171,-4.951
172,-4.951
173,-4.951
174,-4.951
175,-4.951
176,-4.951
177,-4.938
178,-4.938
179,-4.938
180,-4.938
181,-4.938
182,-4.938
183,-4.938
184,-4.938
185,-4.938
186,-4.938
187,-4.693
188,-4.693
189,-4.693
190,-4.693
191,-4.693
192,-4.693
193,-4.693
194,-4.693
195,-4.693
196,-4.693
197,-4.693
198,-4.693
199,-4.693
200,-5.123
201,-5.123
202,-5.123
203,-5.123
204,-5.123
205,-5.123
206,-5.123
207,-4.583
208,-4.583
209,-4.583
210,-4.991
211,-4.991
212,-4.991
213,-4.991
214,-4.991
215,-4.991
216,-4.991
217,-4.991
218,-4.991
219,-4.991
220,-4.991
221,-4.991
222,-4.991
223,-4.991
224,-4.991
225,-4.991
226,-4.991
227,-4.991
228,-4.991
229,-4.991
230,-4.991
231,-4.991
232,-4.991
233,-4.994
234,-4.994
235,-4.994
236,-4.994
237,-4.994
238,-4.994
239,-4.994
240,-4.994
241,-4.994
242,-4.994
243,-4.994
244,-4.994
245,-4.994
246,-4.994
247,-4.994
248,-4.994
249,-4.994
250,-4.994
251,-4.994
252,-4.994
253,-4.994
254,-4.994
255,-4.994
256,-4.705
257,-4.705
258,-4.887
259,-4.887
260,-4.887
261,-4.887
262,-4.894666666666667
263,-4.894666666666667
264,-4.652
265,-4.894666666666667
266,-4.894666666666667
267,-4.894666666666667
268,-4.894666666666667
269,-4.894666666666667
270,-4.894666666666667
271,-4.894666666666667
272,-4.894666666666667
273,-4.894666666666667
274,-4.894666666666667
275,-4.894666666666667
276,-4.894666666666667
277,-4.894666666666667
278,-4.894666666666667
279,-4.894666666666667
280,-4.894666666666667
281,-4.894666666666667
282,-4.462
283,-4.462
284,-4.462
285,-4.462
286,-4.462
287,-4.462
288,-4.462
289,-4.462
290,-4.462
291,-4.462
292,-4.462
293,-4.462
294,-4.462
295,-4.462
296,-4.462
297,-4.462
298,-4.398
299,-4.398
300,-4.153
301,-4.153
302,-4.153
303,-4.882000000000001
304,-4.882000000000001
305,-5.223666666666667
