,0
0,-28.759
1,-28.759
2,-28.759
3,-28.759
4,-28.759
5,-28.759
6,-21.569
7,-21.569
8,-21.733
9,-21.733
10,-20.197
11,-20.197
12,-20.02
13,-20.02
14,-20.02
15,-20.053
16,-20.053
17,-20.224
18,-20.224
19,-20.307
20,-20.307
21,-9.74
22,-9.74
23,-9.74
24,-19.463
25,-19.463
26,-19.463
27,-28.67
28,-28.67
29,-28.67
30,-19.91
31,-19.91
32,-19.91
33,-19.786
34,-19.786
35,-19.786
36,-19.786
37,-19.786
38,-19.945
39,-19.945
40,-19.945
41,-19.945
42,-20.772
43,-20.772
44,-20.772
45,-20.392
46,-20.392
47,-20.392
48,-20.575
49,-20.575
50,-20.575
51,-20.575
52,-20.575
53,-20.718
54,-20.718
55,-20.718
56,-20.718
57,-20.077
58,-20.077
59,-20.077
60,-25.539
61,-25.539
62,-25.539
63,-22.184
64,-22.184
65,-22.184
66,-14.272
67,-14.272
68,-14.272
69,-20.158
70,-20.158
71,-20.158
72,-20.307
73,-20.307
74,-20.307
75,-20.307
76,-20.307
77,-20.307
78,-20.806
79,-20.806
80,-20.806
81,-20.806
82,-20.806
83,-20.806
84,-20.806
85,-20.806
86,-20.655
87,-20.655
88,-20.655
89,-20.655
90,-20.655
91,-20.655
92,-20.502
93,-20.502
94,-20.502
95,-20.502
96,-20.502
97,-20.502
98,-20.467
99,-20.467
100,-20.467
101,-20.467
102,-21.167
103,-21.167
104,-21.167
105,-14.273
106,-14.273
107,-14.273
108,-23.582
109,-23.582
110,-23.582
111,-22.964
112,-22.964
113,-22.964
114,-22.964
115,-22.964
116,-22.666
117,-22.666
118,-22.666
119,-22.666
120,-22.666
121,-22.666
122,-22.666
123,-22.666
124,-22.666
125,-22.666
126,-22.666
127,-22.666
128,-22.666
129,-22.666
130,-22.666
131,-23.173
132,-23.173
133,-23.173
134,-23.173
135,-23.173
136,-23.173
137,-23.173
138,-23.173
139,-23.173
140,-23.173
141,-23.173
142,-23.173
143,-23.173
144,-21.516
145,-21.516
146,-21.516
147,-22.02
148,-22.02
149,-22.02
150,-14.881
151,-14.881
152,-14.881
153,-30.463
154,-30.463
155,-30.463
156,-30.463
157,-30.463
158,-30.463
159,-30.463
160,-30.463
161,-30.463
162,-30.463
163,-30.463
164,-30.463
165,-30.463
166,-30.463
167,-30.463
168,-30.463
169,-30.463
170,-30.463
171,-30.463
172,-30.463
173,-30.463
174,-30.463
175,-30.463
176,-30.463
177,-30.463
178,-30.463
179,-30.463
180,-30.463
181,-30.463
182,-30.463
183,-30.463
184,-30.463
185,-30.463
186,-30.463
187,-30.463
188,-30.463
189,-30.463
190,-30.463
191,-30.463
192,-30.463
193,-30.463
194,-30.463
195,-30.463
