,0
0,-29.192
1,-29.192
2,-29.192
3,-29.192
4,-29.192
5,-29.192
6,-29.192
7,-29.192
8,-29.192
9,-28.982
10,-28.982
11,-28.982
12,-28.982
13,-28.982
14,-28.982
15,-28.982
16,-28.982
17,-28.982
18,-28.982
19,-24.969666666666665
20,-24.969666666666665
21,-24.518
22,-24.96966666666667
23,-24.96966666666667
24,-24.96966666666667
25,-24.96966666666667
26,-24.96966666666667
27,-24.96966666666667
28,-24.96966666666667
29,-24.96966666666667
30,-24.96966666666667
31,-23.369
32,-23.369
33,-23.369
34,-23.369
35,-23.369
36,-23.369
37,-23.369
38,-23.369
39,-23.369
40,-18.518
41,-17.844
42,-17.844
43,-17.844
44,-17.844
45,-17.844
46,-17.844
47,-17.844
48,-17.844
49,-19.964666666666663
50,-19.964666666666663
51,-19.964666666666663
52,-19.964666666666663
53,-19.964666666666663
54,-19.964666666666663
55,-19.964666666666663
56,-20.998
57,-19.96466666666667
58,-19.96466666666667
59,-19.96466666666667
60,-19.96466666666667
61,-19.96466666666667
62,-14.349999999999996
63,-14.349999999999996
64,-14.349999999999996
65,-14.349999999999996
66,-14.349999999999996
67,-13.109
68,-14.35
69,-14.35
70,-14.35
71,-17.026999999999997
72,-17.026999999999997
73,-16.91033333333333
74,-17.026999999999997
75,-16.91033333333333
76,-15.597333333333333
77,-14.588666666666667
78,-14.400666666666666
79,-15.040666666666667
80,-16.401666666666667
81,-17.024666666666665
82,-15.586666666666666
83,-14.074333333333334
84,-14.748333333333335
85,-15.105666666666666
86,-15.044333333333334
87,-14.987666666666668
88,-15.584000000000001
89,-15.807666666666668
90,-15.993333333333334
91,-16.352333333333334
92,-16.746666666666666
93,-17.504333333333335
94,-18.247666666666667
95,-17.656000000000002
96,-15.671333333333337
97,-15.103000000000003
98,-15.484333333333337
99,-16.537000000000003
100,-18.093000000000004
101,-18.664333333333335
102,-17.55666666666667
103,-15.847333333333337
104,-16.543000000000003
105,-16.543000000000003
106,-16.108333333333334
107,-16.197333333333333
108,-16.108333333333338
109,-16.197333333333336
110,-16.776000000000003
111,-18.496000000000002
112,-19.06533333333334
113,-18.10666666666667
114,-16.039333333333335
115,-15.833000000000004
116,-16.09566666666667
117,-16.02266666666667
118,-16.02266666666667
119,-16.02266666666667
120,-16.02266666666667
121,-16.02266666666667
122,-16.02266666666667
123,-16.717333333333332
124,-16.717333333333332
125,-16.717333333333332
126,-16.717333333333332
127,-16.717333333333332
128,-16.338
129,-16.71733333333334
130,-16.338000000000005
131,-15.77366666666667
132,-15.704333333333338
133,-15.662666666666672
134,-17.11966666666667
135,-18.580666666666673
136,-18.520333333333337
137,-15.918666666666672
138,-14.792333333333337
139,-16.39866666666667
140,-17.349333333333337
141,-16.91066666666667
142,-16.49066666666667
143,-17.13966666666667
144,-17.13966666666667
145,-18.394666666666666
146,-18.897333333333332
147,-18.39466666666667
148,-18.897333333333336
149,-18.93666666666667
150,-18.588000000000005
151,-17.657000000000007
152,-17.49566666666667
153,-17.388666666666673
154,-17.975666666666672
155,-19.421333333333337
156,-19.633333333333336
157,-17.78866666666667
158,-16.614666666666672
159,-16.925000000000008
160,-17.498000000000005
161,-17.10333333333334
162,-17.10333333333334
163,-17.10333333333334
164,-17.10333333333334
165,-17.10333333333334
166,-17.10333333333334
167,-17.10333333333334
168,-17.665333333333333
169,-17.665333333333333
170,-17.665333333333333
171,-17.665333333333333
172,-17.665333333333333
173,-17.665333333333333
174,-17.665333333333333
175,-16.87366666666667
176,-17.66533333333334
177,-16.873666666666672
178,-16.39633333333334
179,-16.326000000000008
180,-16.098666666666674
181,-16.78033333333334
182,-16.78033333333334
183,-14.757666666666665
184,-16.174333333333333
185,-14.75766666666667
186,-16.174333333333337
187,-17.82066666666667
188,-17.895333333333337
189,-17.399000000000004
190,-17.886333333333337
191,-18.132000000000005
192,-17.82666666666667
193,-17.695333333333338
194,-18.159333333333336
195,-18.685666666666673
196,-18.97333333333334
197,-18.725000000000005
198,-17.87533333333334
199,-17.263000000000005
200,-16.924000000000003
201,-16.924000000000003
202,-19.076999999999998
203,-17.49266666666667
204,-19.077
205,-17.492666666666672
206,-16.80633333333334
207,-16.954333333333338
208,-16.954333333333338
209,-16.954333333333338
210,-16.954333333333338
211,-16.954333333333338
212,-16.954333333333338
213,-16.954333333333338
214,-16.954333333333338
215,-16.954333333333338
216,-16.954333333333338
217,-16.954333333333338
218,-16.954333333333338
219,-16.954333333333338
220,-16.954333333333338
221,-16.791
222,-16.791
223,-16.791
224,-16.791
225,-16.791
226,-16.791
227,-16.791
228,-16.791
229,-16.791
230,-16.791
231,-16.791
232,-16.791
233,-16.791
234,-16.791
235,-16.791
236,-16.791
237,-16.791
238,-16.791
239,-16.791
240,-16.791
241,-16.791
242,-16.791
243,-16.791
244,-16.791
245,-16.791
246,-16.791
247,-16.791
248,-16.791
249,-16.791
250,-16.791
251,-16.791
252,-16.791
253,-16.791
254,-16.791
255,-16.791
256,-16.791
257,-16.791
258,-16.791
259,-16.791
260,-16.791
261,-16.791
262,-16.791
263,-16.791
264,-16.791
265,-16.791
266,-16.791
267,-16.791
268,-16.791
269,-16.791
270,-16.791
271,-16.791
272,-16.791
273,-16.791
274,-16.791
275,-16.791
276,-16.791
277,-16.791
278,-16.791
279,-16.791
280,-16.791
281,-16.791
282,-16.791
283,-16.791
284,-16.791
285,-16.791
286,-16.791
287,-16.791
288,-16.791
