,0
0,-21.569
1,-21.569
2,-21.569
3,-21.569
4,-21.569
5,-20.206
6,-20.206
7,-20.015
8,-20.015
9,-20.015
10,-19.993
11,-19.993
12,-19.993
13,-20.303
14,-20.303
15,-20.303
16,-9.805
17,-9.805
18,-9.805
19,-19.463
20,-19.463
21,-19.463
22,-29.51
23,-29.51
24,-29.125
25,-29.125
26,-19.976
27,-19.976
28,-20.006
29,-20.006
30,-20.006
31,-20.006
32,-20.006
33,-20.006
34,-20.613
35,-20.613
36,-20.613
37,-20.613
38,-20.613
39,-20.613
40,-20.392
41,-20.392
42,-20.392
43,-20.731
44,-20.731
45,-20.731
46,-20.731
47,-20.731
48,-20.68
49,-20.68
50,-20.68
51,-20.68
52,-20.325
53,-20.325
54,-20.325
55,-25.38
56,-25.38
57,-25.38
58,-22.031
59,-22.031
60,-22.031
61,-14.131
62,-14.131
63,-14.131
64,-20.4
65,-20.4
66,-20.4
67,-20.4
68,-20.4
69,-20.739
70,-20.739
71,-20.739
72,-20.739
73,-20.739
74,-20.739
75,-20.739
76,-20.558
77,-20.558
78,-20.558
79,-20.558
80,-20.558
81,-20.558
82,-20.836
83,-20.836
84,-20.836
85,-20.47
86,-20.47
87,-20.47
88,-20.47
89,-20.47
90,-20.407
91,-20.407
92,-20.407
93,-20.407
94,-20.437
95,-20.437
96,-20.437
97,-21.325
98,-21.325
99,-21.325
100,-14.4
101,-14.4
102,-14.4
103,-23.587
104,-23.587
105,-23.587
106,-23.138
107,-23.138
108,-23.138
109,-23.138
110,-23.138
111,-23.138
112,-23.138
113,-23.138
114,-23.138
115,-23.138
116,-23.138
117,-23.138
118,-23.138
119,-23.138
120,-23.138
121,-23.138
122,-23.138
123,-23.138
124,-21.663
125,-21.663
126,-21.663
127,-21.663
128,-21.663
129,-21.663
130,-21.663
131,-21.663
132,-21.663
133,-21.663
134,-21.663
135,-21.663
136,-21.663
137,-21.663
138,-21.663
139,-21.663
140,-21.663
141,-21.663
142,-21.834
143,-21.834
144,-21.834
145,-14.411
146,-14.411
147,-14.411
148,-30.384
149,-30.384
150,-30.384
151,-30.384
152,-30.384
153,-30.384
154,-30.384
155,-30.384
156,-30.384
157,-30.384
158,-30.384
159,-30.384
160,-30.384
161,-30.384
162,-30.384
163,-30.384
164,-30.384
165,-30.384
166,-30.384
167,-30.384
168,-30.384
169,-30.384
170,-30.384
171,-30.384
172,-30.384
173,-30.384
174,-30.384
175,-30.384
176,-30.384
177,-30.384
178,-15.837
179,-15.837
180,-15.837
181,-15.837
182,-15.837
183,-15.837
184,-15.837
185,-15.837
186,-15.837
187,-15.837
188,-15.837
189,-15.837
190,-15.837
191,-15.837
192,-15.837
193,-15.837
194,-15.837
195,-15.837
196,-15.837
197,-15.837
198,-15.837
199,-15.837
200,-15.837
201,-15.837
202,-15.837
203,-15.837
204,-15.837
205,-15.837
206,-15.837
207,-15.837
208,-13.065
209,-13.065
210,-13.065
211,-13.065
212,-13.065
213,-10.749
214,-10.749
215,-10.749
216,-10.749
217,-14.676
218,-14.676
219,-14.676
220,-14.676
221,-14.676
222,-5.839
223,-5.839
224,-5.839
225,-5.839
226,-17.822
227,-17.822
228,-17.822
229,-21.35
230,-21.35
231,-21.35
232,-21.35
233,-21.35
234,-21.35
235,-21.35
236,-21.35
237,-21.35
238,-21.35
239,-21.35
240,-21.35
241,-21.35
242,-21.35
243,-21.35
244,-21.35
245,-21.35
246,-21.35
247,-21.35
248,-21.35
249,-21.35
250,-21.35
251,-21.35
252,-21.35
253,-21.35
254,-21.35
255,-21.35
256,-21.35
257,-21.35
258,-21.35
259,-21.35
260,-21.35
261,-21.35
262,-21.35
263,-21.35
264,-21.35
265,-21.35
266,-21.35
267,-21.35
268,-21.35
269,-21.35
270,-21.35
271,-21.35
272,-21.35
273,-21.35
274,-21.35
275,-21.35
276,-21.35
277,-21.35
278,-21.35
279,-21.35
280,-21.35
281,-21.35
282,-21.35
283,-21.35
284,-21.35
285,-21.35
286,-21.35
287,-21.35
288,-21.35
289,-21.35
290,-21.35
291,-21.35
292,-21.35
293,-21.35
294,-21.35
295,-21.35
296,-21.35
297,-21.35
298,-21.35
299,-21.35
300,-21.35
301,-21.35
302,-21.35
303,-21.35
304,-21.35
305,-21.35
306,-21.35
307,-21.35
308,-21.35
309,-21.35
310,-21.35
311,-21.35
312,-21.35
313,-21.35
314,-21.35
315,-21.35
316,-21.35
317,-21.35
318,-21.35
319,-21.35
320,-21.35
321,-21.35
322,-21.35
323,-21.35
324,-21.35
325,-21.35
326,-21.35
327,-21.35
328,-21.35
329,-21.35
330,-21.35
331,-21.35
332,-21.35
333,-21.35
334,-21.35
335,-21.35
336,-21.35
337,-21.35
338,-21.35
339,-21.35
340,-21.35
341,-21.35
342,-21.35
343,-21.35
344,-21.35
345,-21.35
346,-21.35
347,-21.35
348,-21.35
349,-21.35
350,-21.35
351,-21.35
352,-21.35
353,-21.35
354,-21.35
355,-21.35
356,-21.35
357,-21.35
358,-21.35
359,-21.35
360,-21.35
361,-21.35
362,-21.35
363,-21.35
364,-21.35
365,-21.35
366,-21.35
367,-21.35
368,-21.35
369,-21.35
370,-21.35
371,-21.35
372,-21.35
373,-21.35
374,-21.35
375,-21.35
376,-21.35
377,-21.35
378,-21.35
379,-21.35
380,-21.35
381,-21.35
382,-21.35
383,-21.35
384,-21.35
385,-21.35
386,-21.35
387,-21.35
388,-21.35
389,-21.35
390,-21.35
391,-21.35
392,-21.35
393,-21.35
394,-21.35
395,-21.35
396,-21.35
397,-21.35
398,-21.35
399,-21.35
400,-21.35
401,-21.35
402,-21.35
403,-21.35
404,-21.35
405,-21.35
406,-21.35
407,-21.35
408,-21.35
409,-21.35
410,-21.35
411,-21.35
412,-21.35
413,-21.35
414,-21.35
415,-21.35
416,-21.35
