,0
0,-13.169
1,-13.216
2,-13.216
3,-13.216
4,-13.216
5,-13.216
6,-13.216
7,-13.216
8,-13.216
9,-13.216
10,-13.216
11,-13.216
12,-13.216
13,-13.216
14,-12.259
15,-12.259
16,-12.259
17,-12.259
18,-12.259
19,-12.259
20,-12.259
21,-12.259
22,-12.259
23,-12.259
24,-12.259
25,-12.259
26,-12.259
27,-12.259
28,-12.259
29,-12.259
30,-12.259
31,-12.259
32,-12.259
33,-12.259
34,-12.259
35,-13.636
36,-13.636
37,-13.636
38,-13.636
39,-13.636
40,-13.636
41,-13.636
42,-13.636
43,-13.636
44,-13.636
45,-13.636
46,-13.636
47,-13.636
48,-13.636
49,-13.636
50,-13.636
51,-12.236
52,-12.236
53,-12.236
54,-12.236
55,-12.236
56,-12.236
57,-12.236
58,-12.877666666666665
59,-12.841999999999999
60,-12.877666666666665
61,-12.841999999999999
62,-12.841999999999999
63,-12.921
64,-12.921
65,-12.921
66,-12.921
67,-12.921
68,-12.921
69,-12.921
70,-12.921
71,-12.921
72,-11.937
73,-11.937
74,-11.937
75,-11.937
76,-11.937
77,-11.937
78,-11.937
79,-11.937
80,-12.932
81,-12.932
82,-12.932
83,-12.932
84,-12.932
85,-12.932
86,-13.741
87,-13.741
88,-13.741
89,-13.741
90,-13.741
91,-13.741
92,-13.741
93,-13.393
94,-13.393
95,-13.393
96,-13.393
97,-13.393
98,-11.84
99,-11.84
100,-11.84
101,-11.84
102,-12.819
103,-12.819
104,-12.819
105,-12.819
106,-12.819
107,-12.819
108,-12.819
109,-12.819
110,-12.819
111,-12.295
112,-12.295
113,-12.295
114,-12.295
115,-12.295
116,-12.295
117,-12.295
118,-12.295
119,-12.295
120,-12.295
121,-13.028
122,-13.028
123,-12.954
124,-12.954
125,-12.954
126,-12.954
127,-13.186
128,-13.186
129,-13.186
130,-13.186
131,-13.186
132,-13.186
133,-13.619
134,-13.619
135,-13.619
136,-13.619
137,-13.619
138,-13.619
139,-13.619
140,-13.619
141,-12.651000000000002
142,-12.651000000000002
143,-12.651000000000002
144,-12.651000000000002
145,-12.651000000000002
146,-11.911
147,-12.651000000000002
148,-12.651000000000002
149,-12.925
150,-12.925
151,-12.925
152,-12.925
153,-13.625
154,-13.625
155,-13.625
156,-13.625
157,-12.915
158,-12.915
159,-12.915
160,-12.915
161,-12.915
162,-13.451
163,-13.451
164,-13.451
165,-13.451
166,-13.451
167,-12.845
168,-12.845
169,-12.642
170,-12.642
171,-12.351
172,-12.351
173,-12.351
174,-12.351
175,-12.351
176,-12.372
177,-12.372
178,-12.372
179,-12.372
180,-12.372
181,-12.216
182,-12.216
183,-12.216
184,-12.216
185,-12.216
186,-11.874
187,-11.874
188,-11.874
189,-11.874
190,-11.874
191,-11.874
192,-11.874
193,-11.874
194,-11.874
195,-11.874
196,-11.874
197,-11.874
198,-12.422
199,-12.422
200,-12.422
201,-12.422
202,-12.422
203,-12.422
204,-12.422
205,-12.422
206,-12.239
207,-12.239
208,-12.239
209,-12.239
