,0
0,-79.13
1,-79.13
2,-79.13
3,-79.13
4,-79.13
5,-79.13
6,-79.13
7,-78.63
8,-78.63
9,-78.63
10,-78.63
11,-78.63
12,-78.63
13,-78.63
14,-78.63
15,-78.63
16,-78.63
17,-78.207
18,-78.207
19,-78.207
20,-78.207
21,-78.207
22,-78.207
23,-78.57
24,-78.57
25,-78.947
26,-78.947
27,-79.25633333333333
28,-79.25633333333333
29,-78.842
30,-79.25633333333333
31,-79.25633333333333
32,-79.25633333333333
33,-79.25633333333333
34,-79.25633333333333
35,-79.25633333333333
36,-80.144
37,-80.144
38,-80.144
39,-80.144
40,-80.144
41,-80.144
42,-78.752
43,-78.752
44,-78.752
45,-78.752
46,-78.752
47,-78.752
48,-78.752
49,-78.752
50,-78.752
51,-78.752
52,-79.369
53,-79.369
54,-79.369
55,-79.369
56,-79.369
57,-79.369
58,-79.369
59,-79.369
60,-79.369
61,-79.381
62,-79.381
63,-79.381
64,-79.381
65,-79.381
66,-79.381
67,-79.608
68,-79.608
69,-79.608
70,-79.608
71,-79.608
72,-79.848
73,-79.848
74,-79.315
75,-79.315
76,-79.376
77,-79.376
78,-79.376
79,-79.486
80,-79.486
81,-79.486
82,-79.486
83,-79.404
84,-79.404
85,-79.236
86,-79.236
87,-79.236
88,-79.236
89,-80.676
90,-80.676
91,-80.676
92,-80.676
93,-80.676
94,-81.029
95,-81.029
96,-80.601
97,-80.601
98,-80.601
99,-80.601
100,-80.601
101,-80.601
102,-80.601
103,-80.601
104,-80.601
105,-80.601
