,Method,PB,AUCC,Silhouette,Noise,Penalty
0,HDBSCAN_5,-0.40631026476806364,0.9225668811529688,0.8442829,681,0.9228590847304032
1,OPTICS_5,-0.40752103206382556,0.9249377970563458,0.86729527,662,0.925011327594019
2,FOSC_5_single,-0.14246035857928357,0.9285628167820378,0.2726128,4,0.9995468962392388
3,FOSC_5_average,-0.412787352124992,0.9897382865247042,0.8877425,77,0.9912777526053467
4,FOSC_5_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
5,FOSC_5_complete,-0.4141329003935108,0.9949412503191675,0.87017286,32,0.9963751699139103
6,FOSC_5_weighted,-0.412589983038485,0.9911227082872391,0.88761586,64,0.9927503398278206
7,HDBSCAN_7,-0.3991835518882295,0.9000908853247295,0.8070809,877,0.9006570004531037
8,OPTICS_7,-0.4050171268214286,0.8925332402723188,0.8148326,948,0.8926144086995922
9,FOSC_7_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
10,FOSC_7_average,-0.4120527030589969,0.9818467721802211,0.86173594,142,0.9839148164929769
11,FOSC_7_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
12,FOSC_7_complete,-0.41377080464027327,0.9906309719664713,0.8323526,49,0.9944494789306751
13,FOSC_7_weighted,-0.41220345163787736,0.985338490655986,0.86199385,111,0.9874263706388763
14,HDBSCAN_9,-0.3972332671315559,0.8942288758514836,0.78427976,924,0.8953330312641595
15,OPTICS_9,-0.39576128400856814,0.8812751427859271,0.7922845,1045,0.8816266425011328
16,FOSC_9_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
17,FOSC_9_average,-0.4116771091862494,0.9787376518125998,0.83381534,162,0.9816492976891709
18,FOSC_9_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
19,FOSC_9_complete,-0.41238377877112264,0.9804354494204712,0.7896269,84,0.9904848210240145
20,FOSC_9_weighted,-0.42139964693746157,0.9600059427031399,0.7905717,130,0.9852741277752606
21,HDBSCAN_11,-0.39356424724962286,0.8643108142285946,0.7434772,1189,0.865314907113729
22,OPTICS_11,-0.3918659281291429,0.8596989670701266,0.7553038,1235,0.860104213864975
23,FOSC_11_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
24,FOSC_11_average,-0.412237101556899,0.9745761052686331,0.7988496,186,0.9789306751246035
25,FOSC_11_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
26,FOSC_11_complete,-0.41278525682056677,0.97740441272075,0.7658718,107,0.9878794743996375
27,FOSC_11_weighted,-0.42225157237004285,0.9577254302279894,0.76002014,149,0.9831218849116448
28,HDBSCAN_13,-0.39048303238986515,0.8482250620456051,0.71767455,1329,0.8494562754870866
29,OPTICS_13,-0.389375709898912,0.8422422388933086,0.7265548,1389,0.8426597190756683
30,FOSC_13_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
