,Method,PB,AUCC,Silhouette,Noise,Penalty
0,HDBSCAN_5,-0.3697342254876402,0.9042480223152063,-0.059019223,820,0.9070083919256067
1,OPTICS_5,-0.3738895375186996,0.8897069757322186,0.037633352,966,0.890451349512361
2,FOSC_5_single,-0.693578102092102,0.9427400495478596,0.34077653,24,0.9972782943978227
3,FOSC_5_average,-0.38233022162317626,0.8652838743662519,0.7592721,85,0.9903606259922885
4,FOSC_5_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
5,FOSC_5_complete,-0.41963480146041626,0.9820207608972985,0.59578466,39,0.9955772283964618
6,FOSC_5_weighted,-0.6905601622838579,0.926617247067624,0.1568692,34,0.9961442503969155
7,HDBSCAN_7,-0.36605287426482624,0.8736807481215982,0.011018769,1091,0.8762757995010206
8,OPTICS_7,-0.3676905310034905,0.8600824526564117,0.04134488,1227,0.8608528010886822
9,FOSC_7_single,-0.693578102092102,0.9427400495478596,0.34077653,24,0.9972782943978227
10,FOSC_7_average,-0.38174176465492615,0.8630418434948834,0.734025,100,0.9886595599909277
11,FOSC_7_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
12,FOSC_7_complete,-0.43062066200115867,0.9807328746340639,0.7634223,46,0.9947833975958267
13,FOSC_7_weighted,-0.6902877281210981,0.9261192030323362,0.2855359,41,0.9953504195962803
14,HDBSCAN_9,-0.36614637341058787,0.8650154821007309,0.028269729,1164,0.8679972782943978
15,OPTICS_9,-0.3619312145721131,0.8309425674191451,0.020224174,1484,0.8317078702653663
16,FOSC_9_single,-0.693578102092102,0.9427400495478596,0.34077653,24,0.9972782943978227
17,FOSC_9_average,-0.3817371803339971,0.8597448407014454,0.7195561,136,0.9845770015876616
18,FOSC_9_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
19,FOSC_9_complete,-0.43045201884718093,0.9792561439218465,0.74271405,53,0.9939895667951917
20,FOSC_9_weighted,-0.39983546286580496,0.9538686206622317,0.42618203,114,0.9870718983896575
21,HDBSCAN_11,-0.364385790717246,0.8474459765628114,-0.08041479,1318,0.8505330006804264
22,OPTICS_11,-0.3582922208370971,0.8123975529290725,0.0018939844,1647,0.8132229530505783
23,FOSC_11_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
24,FOSC_11_average,-0.3795203265927254,0.8543296743084128,0.7021837,152,0.98276253118621
25,FOSC_11_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
26,FOSC_11_complete,-0.42999052803556737,0.9779356472857889,0.7234176,56,0.9936493535949195
27,FOSC_11_weighted,-0.35817817436477895,0.8495256195739801,0.34399688,96,0.9891131775912906
28,HDBSCAN_13,-0.35975241252947743,0.8245235035152153,0.006745609,1526,0.8269448854615559
29,OPTICS_13,-0.3543899225929499,0.7949366452993586,0.009906588,1801,0.7957586754366069
30,FOSC_13_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
31,FOSC_13_average,-0.37925992091023475,0.8527797996542237,0.69321114,165,0.9812882739850306
32,FOSC_13_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
33,FOSC_13_complete,-0.4289525736440275,0.971419969995089,0.6920674,86,0.9902472215921978
34,FOSC_13_weighted,-0.3555844330787345,0.845990455191882,0.33325085,99,0.9887729643910184
35,HDBSCAN_15,-0.3629797730879521,0.8380624667543876,0.0036360347,1398,0.8414606486731685
36,OPTICS_15,-0.35195001746756194,0.7797357205524279,0.01193756,1935,0.78056248582445
37,FOSC_15_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
38,FOSC_15_average,-0.3798539413576965,0.8498475219800271,0.68353903,206,0.976638693581311
39,FOSC_15_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
40,FOSC_15_complete,-0.42882309389623985,0.9667652576720415,0.6755316,119,0.9865048763892039
41,FOSC_15_weighted,-0.3544401674674754,0.8405668987938653,0.3262927,151,0.9828759355863007
42,HDBSCAN_17,-0.3610328113659654,0.8097395068789707,-0.020686025,1645,0.8134497618507598
43,OPTICS_17,-0.3489381586044378,0.7694623491231458,0.020855263,2025,0.7703560898162849
44,FOSC_17_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
45,FOSC_17_average,-0.3801101768704112,0.8492797915136338,0.67185664,212,0.9759582671807666
46,FOSC_17_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
47,FOSC_17_complete,-0.4291267806699792,0.9656164097040547,0.65621006,109,0.9876389203901111
48,FOSC_17_weighted,-0.3543696937272102,0.8415536974900656,0.3159337,133,0.9849172147879338
49,HDBSCAN_19,-0.36151587431019255,0.7990169716728839,0.04296992,1725,0.8043774098435019
50,OPTICS_19,-0.34682664030538934,0.7472538828186612,0.014387188,2221,0.7481288273985031
51,FOSC_19_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
52,FOSC_19_average,-0.38128230459571416,0.8522738602076495,0.6633983,186,0.9789067815831254
53,FOSC_19_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
54,FOSC_19_complete,-0.4279059826951422,0.9619326266069873,0.64152503,125,0.9858244499886596
55,FOSC_19_weighted,-0.3543795639800191,0.8402007079403558,0.30936623,152,0.98276253118621
56,HDBSCAN_21,-0.35956731010206755,0.7734611999191493,-0.014991639,1981,0.7753458834202767
57,OPTICS_21,-0.34116479284059403,0.732595254914725,0.017436283,2349,0.7336130641868904
58,FOSC_21_single,-0.6916284448003657,0.9414215677492654,0.34151104,34,0.9961442503969155
59,FOSC_21_average,-0.38017168382196825,0.8481364426845458,0.65925485,225,0.9744840099795872
60,FOSC_21_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
61,FOSC_21_complete,-0.4278850307443204,0.9618428574154213,0.63679427,123,0.986051258788841
62,FOSC_21_weighted,-0.3547741830369483,0.839752264516978,0.2980136,156,0.9823089135858472
63,HDBSCAN_23,-0.3611168008874389,0.7643511656191909,0.041273773,2063,0.7660467226128373
64,OPTICS_23,-0.34092454245086834,0.7194227419011865,0.036283705,2466,0.7203447493762758
65,FOSC_23_single,-0.6872333072366474,0.9384808446115325,0.3409023,56,0.9936493535949195
66,FOSC_23_average,-0.4194001457040228,0.9381915281804455,0.6995265,292,0.9668859151735087
67,FOSC_23_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
68,FOSC_23_complete,-0.42698211845158135,0.9597523447479568,0.6511695,160,0.9818552959854843
69,FOSC_23_weighted,-0.3536828062586889,0.8332508396570155,0.3106928,221,0.9749376275799501
70,HDBSCAN_25,-0.3617285001026912,0.7620566922283843,0.03903523,2081,0.7640054434112044
71,OPTICS_25,-0.33849995636013186,0.7095088608704117,0.037296608,2553,0.7104785665683828
72,FOSC_25_single,-0.6872333072366474,0.9384808446115325,0.3409023,56,0.9936493535949195
73,FOSC_25_average,-0.4180427819977533,0.9327828713808474,0.6902802,326,0.9630301655704241
74,FOSC_25_ward,-0.5270430322443959,0.8275869168268263,0.26006636,0,1.0
75,FOSC_25_complete,-0.42633252952689016,0.9583121699663435,0.64426666,160,0.9818552959854843
76,FOSC_25_weighted,-0.3538161267098011,0.8333390450926521,0.30577597,221,0.9749376275799501
