,HDBSCAN_2_5,OPTICS_2_5,HDBSCAN_3_5,OPTICS_3_5,HDBSCAN_5_5,OPTICS_5_5,HDBSCAN_8_5,OPTICS_8_5,HDBSCAN_13_5,OPTICS_13_5,FOSC_5_single,FOSC_5_average,FOSC_5_ward,FOSC_5_complete,FOSC_5_weighted
0,1,1,2,1,1,1,0,0,0,0,5,11,4,4,14
1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2,3,0,1,5,4,5,4,4,0,0,3,13,9,11,13
3,2,2,3,2,1,2,2,1,2,1,2,10,4,8,15
4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,13
5,6,3,6,3,5,3,5,2,4,2,6,12,6,16,6
6,3,5,1,5,4,5,4,4,1,0,3,13,9,11,13
7,5,6,5,6,3,0,3,5,5,3,7,8,10,12,10
8,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
9,1,1,2,1,1,1,0,1,5,1,5,11,4,4,14
10,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
11,0,0,0,0,0,0,0,0,0,0,0,3,11,6,9
12,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
13,0,0,6,0,5,0,5,3,4,2,6,12,6,16,6
14,3,0,1,0,2,0,0,0,0,0,0,13,4,0,13
15,0,0,7,0,5,0,5,3,4,2,6,12,6,14,6
16,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
17,0,0,1,0,0,0,0,0,0,0,0,3,11,6,9
18,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
19,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
20,1,1,2,1,1,1,0,0,0,0,5,11,4,4,14
21,2,0,0,0,0,0,0,0,0,0,0,3,11,6,9
22,3,0,1,5,4,5,4,4,1,0,3,13,9,11,13
23,3,0,1,5,4,5,4,4,1,0,3,13,9,11,13
24,5,6,5,6,3,0,3,5,0,3,7,8,10,12,10
25,3,0,1,0,0,0,0,0,0,0,0,3,9,11,8
26,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
27,3,5,1,5,4,5,4,4,1,0,3,13,9,11,13
28,0,0,0,0,2,0,0,0,0,0,0,4,4,4,13
29,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
30,0,0,0,0,6,0,5,3,4,2,6,12,6,17,6
31,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
32,0,0,0,0,6,0,5,3,4,2,6,12,6,14,6
33,2,2,3,2,1,2,2,1,2,1,2,10,4,8,15
34,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
35,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
36,0,0,7,0,6,0,5,3,4,2,6,12,6,14,6
37,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
38,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
39,2,2,3,2,1,2,2,1,2,1,2,10,4,8,15
40,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
41,0,0,7,0,6,0,5,3,4,2,6,12,6,17,6
42,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
43,5,6,5,6,3,0,3,5,0,3,7,8,10,12,10
44,3,5,1,5,4,5,4,4,1,0,3,13,9,11,13
45,0,0,7,0,6,0,5,3,4,2,6,12,6,17,6
46,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
47,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
48,0,0,7,0,6,0,5,3,4,2,6,12,6,17,6
49,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
50,6,3,6,3,5,3,5,2,4,2,6,12,6,16,6
51,3,0,1,0,4,0,4,0,0,0,0,3,9,11,8
52,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
53,3,5,1,5,4,5,4,4,4,0,3,13,9,11,13
54,0,0,0,0,0,0,5,3,0,2,6,12,6,14,6
55,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
56,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
57,0,0,0,0,0,0,0,0,0,0,0,3,11,6,9
58,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
59,5,6,5,6,3,0,3,5,5,3,7,8,10,12,10
60,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
61,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
62,0,0,0,0,2,0,0,0,0,0,0,4,4,4,13
63,0,0,0,0,0,0,0,0,0,0,0,4,11,10,8
64,4,0,0,0,0,0,0,0,0,0,0,4,11,10,8
65,3,5,1,5,4,5,4,4,1,0,3,13,9,11,13
66,6,3,6,3,5,3,5,2,4,2,6,12,6,16,6
67,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
68,0,0,0,0,0,0,0,0,0,0,0,4,8,0,12
69,2,2,3,2,1,2,2,1,2,1,2,10,4,8,15
70,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
71,3,0,1,5,4,5,4,4,0,0,3,13,9,11,13
72,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
73,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
74,2,0,0,0,0,0,0,0,0,0,0,3,11,6,9
75,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
76,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
77,2,0,0,0,0,0,0,0,0,0,0,3,11,6,9
78,3,5,1,5,4,5,4,4,1,0,3,13,9,11,13
79,1,1,2,1,1,1,0,0,0,0,5,11,4,4,14
80,2,2,3,2,1,2,0,1,0,1,2,10,4,8,15
81,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
82,6,3,6,3,5,3,5,2,4,2,6,12,6,16,6
83,5,6,5,6,3,0,3,5,5,3,7,8,10,12,10
84,1,1,2,1,1,1,0,0,0,0,5,11,4,4,14
85,7,4,7,4,6,4,5,3,4,2,6,12,6,17,6
86,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
87,0,0,0,0,0,0,0,0,0,0,0,4,4,4,13
88,5,6,5,6,3,6,3,5,5,3,7,8,10,12,10
89,4,7,4,7,2,7,1,6,3,4,4,4,8,10,12
90,2,2,3,2,1,2,2,1,2,1,2,10,4,8,15
91,2,2,3,2,1,2,2,1,0,1,2,10,4,8,15
92,6,3,6,3,5,3,5,2,4,2,6,12,6,16,6
93,0,0,7,0,6,0,5,3,4,2,6,12,6,14,6
94,2,0,0,0,0,0,0,0,0,0,0,3,11,6,9
95,5,6,5,6,3,0,3,5,5,3,7,8,10,12,10
96,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
97,4,7,4,7,2,7,1,6,0,4,4,4,8,10,12
98,3,0,1,0,0,0,0,0,0,0,0,3,9,11,8
99,3,0,1,0,0,0,0,0,0,0,0,3,9,11,8
