,Method,PB,AUCC,Silhouette,Noise,Penalty
0,HDBSCAN_2_5,-0.5290386693740234,0.7640256670054754,0.31289587914943695,17,0.83
1,OPTICS_2_5,-0.443819735731662,0.5477737836933407,0.1293993401527405,44,0.56
2,HDBSCAN_3_5,-0.49953217573336506,0.6641446543424618,0.23094412088394164,30,0.7
3,OPTICS_3_5,-0.4517081902434436,0.5647372797125272,0.13851182401180268,42,0.58
4,HDBSCAN_5_5,-0.45619030691109835,0.5868684078352586,0.1792746266722679,39,0.61
5,OPTICS_5_5,-0.44876864289673724,0.5568510202834799,0.13368684902787206,43,0.57
6,HDBSCAN_8_5,-0.49127243636291423,0.5724282412866103,0.15567200779914855,42,0.58
7,OPTICS_8_5,-0.39686668764758837,0.4942203882403943,0.13551418036222457,49,0.51
8,HDBSCAN_13_5,-0.21906276921025172,0.276033191661607,0.04301713943481446,72,0.28
9,OPTICS_13_5,-0.32774746020666,0.3844004524886878,0.10568607062101365,61,0.39
10,FOSC_5_single,-0.5928159412925333,0.6957470613317145,0.22733024060726165,30,0.7
11,FOSC_5_average,-0.6474901718078682,0.8960924215611855,0.3675823450088501,8,0.92
12,FOSC_5_ward,-0.4395366798448371,0.7360776960703282,0.30041036009788513,0,1.0
13,FOSC_5_complete,-0.5471240190750445,0.8069612774302913,0.34701064229011536,0,1.0
14,FOSC_5_weighted,-0.6639741907866776,0.9205079724972837,0.39288973212242123,5,0.95
