,HDBSCAN_2_5,OPTICS_2_5,HDBSCAN_3_5,OPTICS_3_5,HDBSCAN_5_5,OPTICS_5_5,HDBSCAN_8_5,OPTICS_8_5,HDBSCAN_13_5,OPTICS_13_5,FOSC_5_single,FOSC_5_average,FOSC_5_ward,FOSC_5_complete,FOSC_5_weighted
0,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
1,0,0,0,0,0,0,2,0,0,1,4,15,2,15,4
2,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
3,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
4,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
5,1,3,2,3,5,3,3,3,0,2,2,14,2,14,14
6,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
7,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
8,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
9,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
10,3,5,1,5,1,5,1,4,0,0,3,8,3,8,6
11,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
12,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
13,3,5,1,5,1,5,1,4,0,0,3,8,3,8,6
14,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
15,2,0,0,0,0,0,0,0,0,0,0,8,3,8,6
16,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
17,0,0,0,0,0,0,2,0,0,1,4,15,2,15,4
18,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
19,2,0,0,0,0,0,0,0,0,0,0,8,3,8,6
20,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
21,2,0,0,0,0,0,0,0,0,0,0,8,3,8,6
22,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
23,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
24,1,3,2,3,5,3,3,3,0,2,2,14,2,14,14
25,1,3,2,3,5,3,3,3,0,2,2,14,2,14,14
26,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
27,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
28,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
29,1,3,2,3,5,3,3,3,0,2,2,14,2,14,14
30,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
31,7,0,5,0,0,0,0,0,0,0,0,15,3,15,4
32,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
33,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
34,2,4,3,4,6,4,0,0,0,0,6,12,3,9,15
35,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
36,0,0,0,0,0,0,2,0,0,1,4,15,2,15,4
37,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
38,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
39,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
40,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
41,3,5,1,5,1,5,1,4,0,0,3,8,3,8,6
42,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
43,4,1,6,1,3,1,2,1,2,1,4,15,2,15,4
44,1,3,2,3,5,3,3,3,0,2,2,14,2,14,14
45,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
46,0,0,6,0,3,0,2,0,0,1,4,15,2,15,4
47,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
48,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
49,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
50,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8
51,8,0,4,0,0,0,0,0,0,0,0,0,3,3,10
52,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
53,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
54,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
55,3,5,1,5,1,5,1,4,1,0,3,8,3,8,6
56,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
57,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
58,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
59,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0
60,2,4,3,4,6,4,0,0,0,0,6,12,3,9,15
61,7,7,5,7,0,7,0,0,0,0,5,10,3,3,12
62,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10
63,5,2,7,2,4,2,2,2,3,1,4,15,2,15,4
64,8,6,4,6,2,6,4,0,0,0,7,13,3,3,10
65,8,6,4,6,2,6,4,0,0,0,7,13,3,3,10
66,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
67,6,0,0,0,0,0,0,0,0,0,0,4,3,3,8
68,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
69,6,0,0,0,0,0,0,0,0,0,0,4,3,3,8
70,7,7,5,7,0,7,0,0,0,0,5,10,3,3,12
71,8,6,4,6,0,6,0,5,0,0,7,13,3,3,10
72,8,0,4,0,0,0,0,0,0,0,0,4,3,3,8
73,7,7,5,7,2,7,0,0,0,0,5,10,3,3,12
74,2,4,3,4,6,4,4,0,0,0,6,12,3,9,15
75,6,0,0,0,0,0,0,0,0,0,0,4,3,3,8
76,7,7,5,7,0,7,0,0,0,0,5,10,3,3,12
77,2,4,3,4,6,4,0,0,0,0,6,12,3,9,15
78,0,0,0,0,0,0,0,0,0,0,0,10,3,3,12
79,6,0,0,0,0,0,0,0,0,0,0,4,3,3,8
80,2,4,3,4,6,4,0,0,0,0,6,12,3,9,15
81,8,0,4,0,0,0,0,0,0,0,0,0,3,3,10
82,8,0,0,0,0,0,0,0,0,0,0,4,3,3,8
83,8,0,0,0,0,0,0,0,0,0,0,4,3,3,8
84,8,0,0,0,0,0,0,0,0,0,0,0,3,3,10
85,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
86,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
87,0,0,0,0,0,0,0,0,0,0,0,11,3,3,13
88,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
89,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
90,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
91,2,4,3,4,6,4,3,0,0,0,6,12,3,9,15
92,8,0,4,0,2,0,0,0,0,0,0,4,3,3,8
93,2,0,0,0,0,0,0,0,0,0,0,0,3,9,0
94,8,6,4,6,2,6,4,5,0,0,7,13,3,3,10
95,7,7,0,7,0,7,0,0,0,0,5,10,3,3,12
96,2,0,0,4,0,0,0,0,0,0,6,12,3,9,15
97,6,0,0,0,0,0,0,0,0,0,0,4,3,3,8
98,1,0,2,0,5,0,3,3,0,2,2,14,2,14,14
99,2,0,3,4,0,4,0,0,0,0,6,12,3,9,15
