,0
0,-237.33333333333334
1,-238.0
2,-237.33333333333334
3,-238.0
4,-238.33333333333334
5,-238.66666666666666
6,-238.0
7,-228.66666666666666
8,-220.66666666666666
9,-214.0
10,-216.0
11,-216.0
12,-215.0
13,-214.33333333333334
14,-214.0
15,-214.33333333333334
16,-214.33333333333334
17,-214.33333333333334
18,-214.0
19,-214.0
20,-214.33333333333334
21,-213.0
22,-207.0
23,-202.33333333333334
24,-198.0
25,-197.33333333333334
26,-194.33333333333334
27,-193.0
28,-191.0
29,-189.66666666666666
30,-193.0
31,-197.66666666666666
32,-202.33333333333334
33,-202.0
34,-202.0
35,-201.66666666666666
36,-201.0
37,-200.66666666666666
38,-197.66666666666666
39,-197.66666666666666
40,-178.33333333333334
41,-182.0
42,-178.33333333333334
43,-182.0
44,-184.0
45,-194.66666666666666
46,-207.33333333333334
47,-217.0
48,-218.33333333333334
49,-215.0
50,-216.0
51,-216.33333333333334
52,-216.66666666666666
53,-211.33333333333334
54,-208.33333333333334
55,-204.33333333333334
56,-212.66666666666666
57,-218.33333333333334
58,-222.33333333333334
59,-221.33333333333334
60,-221.33333333333334
61,-223.66666666666666
62,-224.33333333333334
63,-224.66666666666666
64,-222.0
65,-221.0
66,-218.0
67,-220.33333333333334
68,-221.0
69,-219.66666666666666
70,-216.66666666666666
71,-216.66666666666666
72,-219.33333333333334
73,-219.0
74,-218.33333333333334
75,-219.33333333333334
76,-220.66666666666666
77,-221.66666666666666
78,-221.66666666666666
79,-220.66666666666666
80,-222.33333333333334
81,-223.66666666666666
82,-225.66666666666666
83,-224.0
84,-220.66666666666666
85,-223.0
86,-223.66666666666666
87,-226.0
88,-224.66666666666666
89,-224.33333333333334
90,-226.66666666666666
91,-230.0
92,-229.0
93,-227.33333333333334
94,-224.0
95,-228.0
96,-231.0
97,-234.33333333333334
98,-231.66666666666666
99,-229.33333333333334
100,-229.0
101,-227.66666666666666
102,-229.0
103,-228.66666666666666
104,-231.0
105,-230.33333333333334
106,-230.0
107,-230.66666666666666
108,-233.0
109,-235.33333333333334
110,-233.66666666666666
111,-232.0
112,-229.0
113,-229.0
114,-227.33333333333334
115,-227.0
116,-227.0
117,-226.66666666666666
118,-226.33333333333334
119,-226.33333333333334
120,-226.0
121,-226.0
122,-226.0
123,-225.66666666666666
124,-225.0
125,-224.66666666666666
126,-224.66666666666666
127,-225.0
128,-225.33333333333334
129,-225.66666666666666
130,-226.0
131,-225.66666666666666
132,-225.33333333333334
133,-225.66666666666666
134,-226.33333333333334
135,-227.33333333333334
136,-227.33333333333334
137,-227.33333333333334
138,-226.33333333333334
139,-225.66666666666666
140,-225.0
141,-225.0
142,-225.33333333333334
143,-225.33333333333334
144,-225.33333333333334
145,-225.33333333333334
146,-225.66666666666666
147,-226.0
148,-225.0
149,-224.33333333333334
150,-223.66666666666666
151,-224.0
152,-224.33333333333334
153,-224.33333333333334
154,-224.33333333333334
155,-224.0
156,-225.0
157,-226.0
158,-225.33333333333334
159,-225.33333333333334
160,-224.66666666666666
161,-226.33333333333334
162,-228.0
163,-229.33333333333334
164,-227.66666666666666
165,-225.66666666666666
166,-226.0
167,-227.66666666666666
168,-227.66666666666666
169,-228.0
