,0
0,-121.0
1,-119.66666666666667
2,-121.0
3,-119.66666666666667
4,-115.33333333333333
5,-114.66666666666667
6,-114.0
7,-116.33333333333333
8,-116.33333333333333
9,-116.33333333333333
10,-116.33333333333333
11,-116.33333333333333
12,-115.33333333333333
13,-115.33333333333333
14,-115.33333333333333
15,-115.33333333333333
16,-112.66666666666667
17,-115.33333333333333
18,-112.66666666666667
19,-112.0
20,-112.33333333333333
21,-113.0
22,-113.0
23,-113.0
24,-121.66666666666667
25,-121.66666666666667
26,-121.66666666666667
27,-121.33333333333333
28,-121.66666666666667
29,-121.33333333333333
30,-121.66666666666667
31,-119.66666666666667
32,-120.0
33,-120.33333333333333
34,-123.33333333333333
35,-123.0
36,-122.66666666666667
37,-121.66666666666667
38,-121.33333333333333
39,-121.0
40,-121.0
41,-120.0
42,-119.33333333333333
43,-117.66666666666667
44,-116.33333333333333
45,-115.0
46,-115.66666666666667
47,-117.33333333333333
48,-116.33333333333333
49,-117.0
50,-118.66666666666667
51,-121.0
52,-122.0
53,-122.0
54,-124.33333333333333
55,-125.66666666666667
56,-127.0
57,-127.66666666666667
58,-124.0
59,-123.0
60,-121.66666666666667
61,-121.66666666666667
62,-122.33333333333333
63,-122.33333333333333
64,-122.0
65,-118.0
66,-115.33333333333333
67,-114.66666666666667
68,-115.0
69,-113.66666666666667
70,-117.0
71,-117.0
72,-116.33333333333333
73,-116.0
74,-118.0
75,-120.66666666666667
76,-118.33333333333333
77,-116.0
78,-117.66666666666667
79,-120.66666666666667
80,-120.66666666666667
81,-120.66666666666667
82,-120.0
83,-122.66666666666667
84,-123.0
85,-123.33333333333333
86,-122.66666666666667
87,-122.33333333333333
88,-122.66666666666667
89,-124.66666666666667
90,-121.66666666666667
91,-122.0
92,-119.33333333333333
93,-122.66666666666667
94,-121.66666666666667
95,-120.33333333333333
96,-120.33333333333333
97,-120.33333333333333
98,-120.0
99,-117.33333333333333
100,-117.33333333333333
101,-120.33333333333333
102,-122.0
103,-121.66666666666667
104,-120.66666666666667
105,-118.0
106,-116.66666666666667
107,-115.0
108,-116.33333333333333
109,-116.0
110,-117.66666666666667
111,-119.66666666666667
112,-122.33333333333333
113,-123.0
114,-123.66666666666667
