,0
0,-30.333333333333332
1,-30.333333333333332
2,-30.333333333333332
3,-30.333333333333332
4,-30.666666666666668
5,-31.0
6,-31.333333333333332
7,-31.0
8,-30.666666666666668
9,-30.333333333333332
10,-30.333333333333332
11,-29.666666666666668
12,-29.666666666666668
13,-30.0
14,-31.0
15,-31.0
16,-30.666666666666668
17,-30.0
18,-29.333333333333332
19,-29.666666666666668
20,-30.333333333333332
21,-30.333333333333332
22,-29.666666666666668
23,-29.0
24,-29.0
25,-29.0
26,-29.333333333333332
27,-29.333333333333332
28,-29.0
29,-29.0
30,-28.333333333333332
31,-28.0
32,-27.0
33,-27.0
34,-29.666666666666668
35,-32.333333333333336
36,-34.666666666666664
37,-34.0
38,-30.666666666666668
39,-27.666666666666668
40,-25.0
41,-25.333333333333332
42,-28.333333333333332
43,-31.0
44,-33.0
45,-32.0
46,-29.333333333333332
47,-27.0
48,-25.0
49,-26.0
50,-28.0
51,-29.666666666666668
52,-30.333333333333332
53,-30.0
54,-30.333333333333332
55,-30.333333333333332
56,-30.666666666666668
57,-30.666666666666668
58,-31.0
59,-31.0
60,-30.666666666666668
61,-30.333333333333332
62,-30.333333333333332
63,-30.666666666666668
64,-31.333333333333332
65,-31.666666666666668
66,-32.0
67,-32.0
68,-32.0
69,-32.0
70,-32.333333333333336
71,-32.666666666666664
72,-33.0
73,-33.0
74,-33.0
75,-33.0
76,-33.0
77,-33.0
78,-33.0
79,-33.0
80,-33.0
81,-33.0
82,-32.666666666666664
83,-32.333333333333336
84,-31.333333333333332
85,-31.0
86,-31.0
87,-31.333333333333332
88,-31.333333333333332
89,-30.666666666666668
90,-31.0
91,-30.666666666666668
92,-31.333333333333332
93,-30.666666666666668
94,-30.666666666666668
95,-30.333333333333332
96,-30.333333333333332
97,-30.333333333333332
98,-30.0
99,-30.333333333333332
100,-30.666666666666668
101,-31.333333333333332
102,-31.666666666666668
103,-32.333333333333336
104,-32.666666666666664
105,-32.333333333333336
106,-31.666666666666668
107,-30.666666666666668
108,-30.666666666666668
109,-31.333333333333332
110,-32.0
111,-32.333333333333336
112,-32.0
113,-32.333333333333336
114,-33.0
115,-33.333333333333336
116,-34.0
117,-34.0
118,-34.0
119,-33.666666666666664
120,-32.333333333333336
121,-31.666666666666668
122,-30.666666666666668
123,-31.333333333333332
124,-31.333333333333332
125,-31.0
126,-30.333333333333332
127,-30.0
128,-30.0
129,-30.0
130,-30.0
131,-30.0
132,-30.333333333333332
133,-30.666666666666668
134,-31.0
135,-30.666666666666668
136,-30.333333333333332
137,-30.333333333333332
138,-30.666666666666668
139,-31.0
140,-30.666666666666668
141,-30.333333333333332
142,-29.666666666666668
143,-29.333333333333332
144,-29.666666666666668
145,-30.333333333333332
146,-30.666666666666668
147,-30.333333333333332
148,-30.333333333333332
149,-30.333333333333332
150,-30.0
151,-29.333333333333332
152,-29.0
153,-29.333333333333332
154,-29.666666666666668
155,-30.0
156,-30.0
157,-30.0
158,-30.333333333333332
159,-30.333333333333332
160,-30.333333333333332
161,-30.0
162,-30.0
163,-30.0
164,-30.0
165,-30.0
166,-30.0
167,-30.0
168,-30.0
169,-30.0
170,-30.0
171,-30.0
172,-30.0
173,-30.0
174,-30.666666666666668
175,-31.333333333333332
176,-32.0
177,-32.0
178,-31.666666666666668
179,-31.333333333333332
180,-31.666666666666668
181,-32.333333333333336
182,-33.0
183,-33.0
184,-33.0
185,-32.666666666666664
186,-32.333333333333336
187,-32.333333333333336
188,-32.333333333333336
189,-32.333333333333336
190,-32.0
191,-32.0
192,-32.0
193,-32.0
194,-31.666666666666668
195,-31.333333333333332
196,-31.333333333333332
197,-31.666666666666668
198,-32.0
199,-32.0
200,-32.0
201,-32.0
202,-32.0
203,-32.0
204,-32.0
205,-32.0
206,-32.333333333333336
207,-32.666666666666664
208,-33.0
209,-32.666666666666664
210,-32.333333333333336
211,-32.0
212,-32.0
213,-32.0
214,-32.0
215,-32.0
216,-32.0
217,-32.0
218,-32.0
219,-32.0
220,-32.0
221,-32.0
222,-32.0
223,-31.666666666666668
224,-31.333333333333332
225,-31.0
226,-31.0
227,-31.0
228,-31.0
229,-31.0
230,-31.0
231,-31.0
232,-31.0
233,-31.0
234,-31.0
235,-31.333333333333332
236,-31.666666666666668
237,-32.0
238,-32.0
239,-31.666666666666668
240,-32.0
241,-32.0
242,-32.333333333333336
243,-32.0
244,-32.0
245,-32.0
246,-32.0
247,-32.333333333333336
248,-32.666666666666664
249,-32.666666666666664
250,-32.666666666666664
251,-32.666666666666664
252,-32.666666666666664
253,-32.333333333333336
254,-32.333333333333336
255,-32.666666666666664
256,-33.0
257,-33.0
258,-33.0
259,-33.0
260,-33.0
261,-33.0
262,-32.666666666666664
263,-32.333333333333336
264,-32.333333333333336
265,-32.666666666666664
266,-32.666666666666664
267,-32.666666666666664
268,-32.666666666666664
269,-32.666666666666664
270,-32.333333333333336
271,-32.0
272,-32.333333333333336
273,-32.666666666666664
274,-33.0
275,-32.666666666666664
276,-32.666666666666664
277,-32.666666666666664
278,-33.0
279,-33.0
280,-33.0
281,-33.0
282,-33.0
283,-33.0
284,-33.0
285,-33.0
286,-33.0
287,-33.333333333333336
288,-33.666666666666664
289,-33.666666666666664
290,-33.333333333333336
291,-33.0
292,-33.0
293,-33.0
294,-33.0
295,-33.0
296,-33.0
297,-33.0
298,-33.0
299,-33.0
300,-32.333333333333336
301,-31.333333333333332
302,-31.0
303,-31.0
304,-31.333333333333332
305,-31.333333333333332
306,-31.0
307,-30.666666666666668
308,-30.333333333333332
309,-30.333333333333332
310,-30.666666666666668
311,-30.666666666666668
312,-30.666666666666668
313,-30.333333333333332
314,-30.0
315,-30.0
316,-30.0
317,-30.0
318,-30.666666666666668
319,-30.666666666666668
320,-31.0
