,0
0,-3.351
1,-3.351
2,-3.351
3,-3.351
4,-3.7520000000000002
5,-3.7520000000000002
6,-3.7520000000000002
7,-3.647333333333334
8,-3.7520000000000002
9,-3.6473333333333335
10,-4.246333333333333
11,-3.685
12,-4.0856666666666674
13,-3.468666666666667
14,-3.686
15,-3.441333333333333
16,-3.456
17,-3.516666666666667
18,-3.516666666666667
19,-3.516666666666667
20,-3.516666666666667
21,-3.516666666666667
22,-3.516666666666667
23,-3.516666666666667
24,-3.516666666666667
25,-3.516666666666667
26,-3.516666666666667
27,-3.516666666666667
28,-3.516666666666667
29,-3.516666666666667
30,-3.516666666666667
31,-3.7103333333333333
32,-3.7103333333333333
33,-3.7103333333333333
34,-3.7103333333333333
35,-3.7103333333333333
36,-3.7103333333333333
37,-3.7103333333333333
38,-3.7103333333333333
39,-3.7103333333333333
40,-3.7103333333333333
41,-3.7103333333333333
42,-3.7103333333333333
43,-3.7103333333333333
44,-3.7103333333333333
45,-3.914
46,-3.7103333333333333
47,-3.914
48,-3.914
49,-3.639
50,-4.1
51,-4.1
52,-4.1
53,-4.025
54,-4.025
55,-4.025
56,-4.025
57,-4.025
58,-4.025
59,-4.025
60,-4.025
61,-4.025
62,-4.025
63,-4.025
64,-4.025
65,-4.025
66,-4.025
67,-4.025
68,-4.025
69,-4.025
70,-4.025
71,-4.025
72,-4.025
73,-4.025
74,-4.025
75,-4.025
76,-4.025
77,-4.025
78,-4.025
79,-4.025
80,-4.025
81,-4.025
82,-4.025
83,-4.025
