,0
0,-10.613
1,-10.613
2,-10.613
3,-10.613
4,-9.215
5,-9.215
6,-9.215
7,-9.215
8,-9.215
9,-1.9713333333333327
10,-1.587
11,-1.9713333333333332
12,-1.9713333333333332
13,-0.82
14,-0.82
15,-0.82
16,-0.82
17,-5.464666666666666
18,-5.464666666666666
19,-5.464666666666666
20,-5.093333333333333
21,-5.464666666666666
22,-5.093333333333333
23,-5.093333333333333
24,-5.233
25,-5.225
26,-5.225
27,-5.225
28,-5.225
29,-5.225
30,-5.518
31,-5.518
32,-5.518
33,-5.518
34,-5.518
35,-5.759
36,-5.759
37,-5.759
38,-5.759
39,-5.759
40,-5.759
41,-7.256
42,-7.256
43,-7.256
44,-7.256
45,-7.256
46,-7.256
47,-7.984
48,-7.984
49,-7.332
50,-7.759
51,-7.759
52,-7.759
53,-7.759
54,-7.759
55,-5.740666666666666
56,-5.740666666666666
57,-5.740666666666666
58,-5.740666666666666
59,-5.740666666666666
60,-4.771
61,-5.740666666666667
62,-5.740666666666667
63,-5.740666666666667
64,-5.740666666666667
65,-5.740666666666667
66,-8.121666666666666
67,-8.121666666666666
68,-8.121666666666666
69,-8.121666666666666
70,-9.596
71,-8.121666666666666
72,-8.121666666666666
73,-8.4
74,-8.4
75,-8.4
76,-8.4
77,-6.998
78,-6.998
79,-6.998
80,-7.596
81,-7.596
82,-7.621
83,-7.621
84,-9.087333333333333
85,-9.087333333333333
86,-8.89
87,-9.087333333333333
88,-9.087333333333333
89,-8.478
90,-8.314
91,-8.478
92,-8.314
93,-8.314
94,-8.319
95,-8.319
96,-8.454
97,-9.402
98,-9.402
99,-8.85
100,-8.851
101,-8.851
102,-8.851
103,-7.419
104,-7.419
105,-8.027
106,-8.027
107,-8.027
108,-8.961666666666666
109,-8.961666666666666
110,-8.961666666666666
111,-9.35
112,-8.961666666666668
113,-8.961666666666668
114,-8.961666666666668
115,-8.961666666666668
116,-8.961666666666668
117,-8.961666666666668
118,-8.961666666666668
119,-8.961666666666668
120,-8.961666666666668
121,-8.961666666666668
122,-8.961666666666668
123,-8.961666666666668
124,-8.961666666666668
125,-8.961666666666668
126,-8.961666666666668
127,-8.961666666666668
128,-8.961666666666668
129,-8.961666666666668
130,-8.961666666666668
131,-8.961666666666668
132,-8.961666666666668
133,-8.961666666666668
134,-8.961666666666668
135,-8.961666666666668
136,-8.961666666666668
137,-8.961666666666668
138,-8.961666666666668
139,-8.961666666666668
140,-8.961666666666668
141,-8.961666666666668
142,-8.961666666666668
143,-8.961666666666668
144,-8.961666666666668
145,-8.961666666666668
146,-8.961666666666668
147,-8.961666666666668
148,-8.961666666666668
