,0
0,-20.5
1,-20.5
2,-20.5
3,-20.5
4,-20.5
5,-20.5
6,-10.721
7,-10.721
8,-10.721
9,-10.721
10,-10.721
11,-10.721
12,-10.721
13,-10.57
14,-10.57
15,-10.57
16,-10.527
17,-10.527
18,-10.527
19,-10.527
20,-10.527
21,-10.527
22,-10.527
23,-10.527
24,-10.527
25,-10.527
26,-10.527
27,-10.527
28,-10.527
29,-10.527
30,-10.527
31,-10.527
32,-10.527
33,-10.527
34,-10.527
35,-10.527
36,-10.527
37,-10.527
38,-10.527
39,-10.527
40,-10.527
41,-10.527
42,-10.527
43,-10.527
44,-10.527
45,-10.527
46,-10.527
47,-10.527
48,-10.527
49,-10.527
50,-10.527
51,-10.527
52,-10.527
53,-19.707
54,-19.707
55,-19.707
56,-19.707
57,-19.707
58,-19.707
59,-19.707
60,-19.707
61,-19.707
62,-19.707
63,-19.707
64,-19.707
65,-19.707
66,-19.707
67,-19.707
68,-19.707
69,-19.707
70,-19.707
71,-19.707
72,-19.707
73,-19.707
74,-19.707
75,-19.707
76,-19.707
77,-19.707
78,-19.707
79,-19.707
80,-19.707
81,-19.707
82,-19.707
83,-19.707
84,-19.707
85,-19.707
86,-19.707
87,-19.707
88,-19.707
89,-19.707
90,-4.384
91,-4.384
92,-4.384
93,-4.384
94,-4.384
95,-9.83
96,-9.83
97,-9.83
98,-9.83
99,-9.83
100,-9.83
101,-5.724
102,-5.724
103,-9.838
104,-9.838
105,-9.838
106,-9.838
107,-9.838
108,-9.838
109,-11.898
110,-11.898
111,-11.898
112,-11.898
113,-11.898
114,-11.898
115,-11.898
116,-11.898
117,-11.898
118,-11.898
119,-11.898
120,-11.898
121,-11.898
122,-11.898
123,-11.898
124,-11.898
125,-11.898
126,-10.324
127,-10.324
128,-10.324
129,-10.324
130,-10.324
131,-10.324
132,-10.324
133,-10.324
134,-10.324
135,-10.324
136,-10.324
137,-10.324
138,-10.324
139,-10.324
140,-0.462
141,-0.462
142,-0.462
143,-0.462
144,-0.462
145,-0.462
146,-0.462
147,-0.462
148,-0.462
149,-0.462
150,-0.462
151,-0.462
152,-0.462
153,-0.462
154,-0.462
155,-0.462
156,-0.462
157,-0.462
158,-0.462
159,-0.462
160,-0.462
161,-0.462
162,-0.462
163,-0.462
164,-4.231
165,-4.231
166,-4.231
167,-4.231
168,-4.231
169,-4.231
170,-4.231
171,-4.231
172,-4.231
173,-4.231
174,-4.231
175,-4.231
176,-4.231
177,-4.231
178,-4.231
179,-4.231
180,-4.231
181,-4.231
182,-4.231
183,-4.231
184,-4.231
185,-4.231
186,-4.231
187,-4.231
188,-4.231
189,-11.63
190,-11.63
191,-11.63
192,-11.63
193,-6.412
194,-6.412
195,-7.586
196,-7.586
197,-7.586
198,-7.033
199,-7.033
200,-7.033
201,-7.033
202,-7.033
203,-7.033
204,-7.033
205,-7.033
206,-5.853
207,-5.853
208,-5.853
209,-5.853
210,-5.853
211,-5.853
212,-5.853
213,-5.853
214,-5.853
215,-5.853
216,-5.853
217,-5.853
218,-5.853
219,-5.853
220,-5.853
221,-5.853
222,-5.853
223,-5.853
224,-5.853
225,-5.853
226,-5.853
227,-5.853
228,-5.853
229,-5.853
230,-5.853
231,-5.853
232,-5.853
233,-5.853
234,-5.853
235,-43.619
236,-43.619
237,-43.619
238,-43.619
239,-43.619
240,-43.619
241,-43.619
242,-43.619
243,-43.619
244,-43.619
245,-43.619
246,-43.619
247,-43.619
248,-43.619
249,-43.619
250,-43.619
251,-43.619
252,-43.619
253,-43.619
254,-43.619
255,-43.619
256,-43.619
257,-43.619
258,-43.619
259,-43.619
260,-43.619
261,-43.619
262,-43.619
263,-43.619
264,-43.619
265,-43.619
266,-43.619
267,-43.619
268,-43.619
269,-43.619
270,-53.395
271,-53.395
272,-53.395
273,-53.395
274,-53.395
275,-53.395
276,-53.395
277,-53.395
278,-53.395
279,-53.395
280,-53.395
281,-53.395
282,-53.395
283,-53.395
284,-53.395
285,-53.395
286,-53.395
287,-53.395
288,-53.395
289,-53.395
290,-53.395
291,-53.395
292,-53.395
293,-53.395
294,-53.395
295,-53.395
296,-53.395
297,-53.395
298,-53.395
299,-53.395
300,-53.395
301,-53.395
302,-53.395
303,-53.395
304,-53.395
305,-53.395
306,-53.395
307,-53.395
308,-53.395
309,-53.395
310,-53.395
311,-50.03966666666667
312,-50.03966666666667
313,-50.03966666666667
314,-50.03966666666667
315,-50.03966666666667
316,-50.03966666666667
317,-50.03966666666667
318,-50.03966666666667
319,-50.03966666666667
320,-50.03966666666667
321,-50.03966666666667
322,-50.03966666666667
323,-50.03966666666667
324,-50.03966666666667
325,-50.03966666666667
326,-50.03966666666667
327,-50.03966666666667
328,-50.03966666666667
329,-50.03966666666667
330,-50.03966666666667
331,-50.03966666666667
332,-50.03966666666667
333,-50.03966666666667
334,-50.03966666666667
335,-50.03966666666667
336,-50.03966666666667
337,-50.03966666666667
338,-50.75666666666667
339,-50.03966666666667
340,-50.75666666666666
341,-50.75666666666666
342,-50.75666666666666
343,-50.75666666666666
344,-53.978
345,-53.978
346,-53.978
347,-53.978
348,-53.978
349,-60.556
350,-60.556
351,-60.556
