,0
0,-139.33333333333334
1,-139.0
2,-139.33333333333334
3,-139.0
4,-139.0
5,-139.33333333333334
6,-140.0
7,-142.0
8,-141.33333333333334
9,-142.66666666666666
10,-140.33333333333334
11,-143.0
12,-141.66666666666666
13,-144.66666666666666
14,-144.0
15,-145.0
16,-144.66666666666666
17,-144.0
18,-143.66666666666666
19,-142.66666666666666
20,-143.0
21,-143.0
22,-143.0
23,-142.66666666666666
24,-142.33333333333334
25,-142.33333333333334
26,-142.66666666666666
27,-143.0
28,-142.66666666666666
29,-142.66666666666666
30,-142.66666666666666
31,-142.66666666666666
32,-142.66666666666666
33,-142.66666666666666
34,-143.33333333333334
35,-143.0
36,-142.66666666666666
37,-142.0
38,-142.33333333333334
39,-143.0
40,-143.33333333333334
41,-143.33333333333334
42,-142.66666666666666
43,-142.33333333333334
44,-143.33333333333334
45,-143.33333333333334
46,-144.66666666666666
47,-144.0
48,-144.66666666666666
49,-144.33333333333334
50,-144.0
51,-144.0
52,-144.0
53,-145.0
54,-145.33333333333334
55,-144.66666666666666
56,-143.66666666666666
57,-143.0
58,-143.33333333333334
59,-143.33333333333334
60,-143.66666666666666
61,-144.0
62,-144.66666666666666
63,-145.0
64,-145.0
65,-144.66666666666666
66,-144.0
67,-143.66666666666666
68,-143.66666666666666
69,-144.0
70,-143.66666666666666
71,-143.33333333333334
72,-143.0
73,-143.0
74,-143.0
75,-143.33333333333334
76,-143.66666666666666
77,-144.0
78,-144.33333333333334
79,-144.33333333333334
80,-144.33333333333334
81,-144.0
82,-144.0
83,-144.33333333333334
