,0
0,-69.66666666666667
1,-70.0
2,-69.66666666666667
3,-70.0
4,-70.0
5,-70.0
6,-70.33333333333333
7,-70.66666666666667
8,-70.33333333333333
9,-69.66666666666667
10,-68.66666666666667
11,-68.66666666666667
12,-68.66666666666667
13,-69.0
14,-69.66666666666667
15,-69.33333333333333
16,-69.33333333333333
17,-68.33333333333333
18,-67.33333333333333
19,-65.33333333333333
20,-63.333333333333336
21,-62.333333333333336
22,-62.0
23,-61.333333333333336
24,-60.666666666666664
25,-60.333333333333336
26,-61.0
27,-61.333333333333336
28,-61.333333333333336
29,-61.333333333333336
30,-61.333333333333336
31,-61.333333333333336
32,-61.0
33,-60.666666666666664
34,-60.666666666666664
35,-60.666666666666664
36,-61.0
37,-61.333333333333336
38,-61.0
39,-60.666666666666664
40,-60.666666666666664
41,-61.666666666666664
42,-62.666666666666664
43,-63.0
44,-63.666666666666664
45,-65.0
46,-66.0
47,-66.33333333333333
48,-65.66666666666667
49,-66.0
50,-66.0
51,-66.0
52,-65.66666666666667
53,-65.66666666666667
54,-51.0
55,-65.66666666666667
56,-51.0
57,-59.666666666666664
58,-63.333333333333336
59,-85.0
60,-78.66666666666667
61,-75.33333333333333
62,-70.0
63,-71.33333333333333
64,-75.0
65,-80.66666666666667
66,-81.0
67,-78.33333333333333
68,-79.33333333333333
69,-80.33333333333333
70,-87.0
71,-86.0
72,-88.0
73,-85.33333333333333
74,-84.66666666666667
75,-85.0
76,-83.66666666666667
77,-76.0
78,-77.33333333333333
79,-70.0
80,-71.66666666666667
81,-64.33333333333333
82,-65.0
83,-63.333333333333336
84,-62.333333333333336
85,-65.0
86,-73.33333333333333
87,-80.33333333333333
88,-84.0
89,-83.0
90,-76.66666666666667
91,-71.66666666666667
92,-67.66666666666667
93,-69.0
94,-69.33333333333333
95,-69.0
96,-74.33333333333333
97,-80.66666666666667
98,-82.66666666666667
99,-83.0
100,-76.0
101,-79.33333333333333
102,-77.66666666666667
103,-82.33333333333333
104,-82.33333333333333
105,-83.0
106,-83.66666666666667
107,-83.0
108,-82.66666666666667
109,-82.33333333333333
110,-82.0
111,-82.66666666666667
112,-83.33333333333333
113,-84.0
114,-83.33333333333333
115,-80.66666666666667
116,-78.33333333333333
117,-76.33333333333333
118,-78.66666666666667
119,-80.66666666666667
120,-81.33333333333333
121,-79.66666666666667
122,-80.0
123,-82.0
124,-84.33333333333333
125,-84.66666666666667
126,-85.33333333333333
127,-85.33333333333333
128,-85.33333333333333
129,-85.33333333333333
130,-85.0
131,-84.66666666666667
132,-84.33333333333333
133,-84.66666666666667
134,-85.0
135,-84.66666666666667
136,-84.66666666666667
137,-84.33333333333333
138,-84.33333333333333
139,-83.66666666666667
140,-83.33333333333333
141,-85.0
142,-85.0
143,-86.66666666666667
144,-85.0
145,-85.66666666666667
146,-84.66666666666667
147,-80.66666666666667
148,-80.0
149,-79.66666666666667
150,-78.33333333333333
151,-74.0
152,-68.33333333333333
153,-73.0
154,-73.66666666666667
155,-75.66666666666667
156,-73.0
157,-74.33333333333333
158,-75.66666666666667
159,-76.33333333333333
160,-77.33333333333333
161,-77.33333333333333
162,-77.66666666666667
163,-76.66666666666667
164,-76.0
165,-75.66666666666667
166,-76.0
167,-76.66666666666667
168,-76.66666666666667
169,-76.33333333333333
170,-76.66666666666667
171,-77.33333333333333
172,-77.66666666666667
173,-77.0
174,-76.33333333333333
175,-75.33333333333333
176,-75.0
177,-75.0
178,-75.33333333333333
179,-74.66666666666667
180,-77.0
181,-79.33333333333333
182,-82.66666666666667
183,-81.0
184,-79.0
185,-76.0
186,-74.66666666666667
187,-76.66666666666667
188,-79.0
189,-83.0
190,-84.0
191,-85.0
192,-85.0
193,-83.33333333333333
194,-84.33333333333333
195,-82.66666666666667
196,-84.0
197,-82.0
198,-83.0
199,-82.66666666666667
200,-83.33333333333333
201,-83.33333333333333
202,-83.66666666666667
203,-83.66666666666667
204,-83.66666666666667
205,-83.33333333333333
206,-83.0
207,-81.66666666666667
208,-81.0
209,-80.66666666666667
210,-82.0
211,-81.66666666666667
212,-83.0
213,-84.0
214,-84.33333333333333
215,-83.0
216,-81.0
217,-81.0
218,-81.33333333333333
219,-81.33333333333333
220,-81.0
221,-81.66666666666667
222,-81.33333333333333
223,-81.33333333333333
224,-81.33333333333333
225,-83.0
226,-85.0
227,-85.33333333333333
228,-85.0
229,-84.33333333333333
230,-84.0
231,-84.0
232,-82.66666666666667
233,-81.33333333333333
234,-80.33333333333333
235,-80.33333333333333
236,-80.33333333333333
237,-80.0
238,-80.0
239,-80.33333333333333
240,-80.66666666666667
241,-82.66666666666667
242,-84.33333333333333
243,-86.33333333333333
244,-87.0
245,-85.33333333333333
246,-85.0
247,-84.66666666666667
248,-86.33333333333333
249,-86.33333333333333
250,-86.0
251,-86.33333333333333
252,-86.66666666666667
253,-87.0
254,-87.0
255,-87.0
256,-87.0
257,-87.33333333333333
258,-87.66666666666667
259,-88.0
260,-88.0
