,0
0,-19.666666666666668
1,-19.0
2,-19.666666666666668
3,-19.0
4,-19.666666666666668
5,-20.0
6,-20.666666666666668
7,-22.333333333333332
8,-26.333333333333332
9,-28.0
10,-24.666666666666668
11,-21.333333333333332
12,-21.0
13,-23.666666666666668
14,-26.333333333333332
15,-30.666666666666668
16,-31.0
17,-27.666666666666668
18,-22.0
19,-21.333333333333332
20,-21.666666666666668
21,-22.0
22,-22.0
23,-22.333333333333332
24,-24.333333333333332
25,-27.666666666666668
26,-28.333333333333332
27,-26.0
28,-26.333333333333332
29,-28.333333333333332
30,-31.333333333333332
31,-30.0
32,-31.0
33,-36.666666666666664
34,-38.0
35,-34.666666666666664
36,-28.333333333333332
37,-26.666666666666668
38,-27.333333333333332
39,-27.333333333333332
40,-27.0
41,-27.666666666666668
42,-28.0
43,-28.0
44,-28.0
45,-28.666666666666668
46,-30.0
47,-27.666666666666668
48,-27.333333333333332
49,-28.666666666666668
50,-32.666666666666664
51,-33.0
52,-32.333333333333336
53,-36.0
54,-41.666666666666664
55,-41.666666666666664
56,-36.0
57,-30.0
58,-29.0
59,-29.0
60,-28.333333333333332
61,-27.666666666666668
62,-28.333333333333332
63,-28.666666666666668
64,-28.666666666666668
65,-28.333333333333332
66,-28.333333333333332
67,-31.0
68,-34.333333333333336
69,-35.666666666666664
70,-31.0
71,-27.666666666666668
72,-28.333333333333332
73,-31.666666666666668
74,-32.0
75,-30.666666666666668
76,-33.666666666666664
77,-38.0
78,-40.0
79,-39.333333333333336
80,-39.666666666666664
81,-42.666666666666664
82,-45.666666666666664
83,-46.666666666666664
84,-47.0
85,-46.0
86,-46.0
87,-46.0
88,-46.333333333333336
89,-46.666666666666664
