,0
0,-193.0
1,-192.33333333333334
2,-193.0
3,-192.33333333333334
4,-192.33333333333334
5,-198.0
6,-198.0
7,-182.33333333333334
8,-183.0
9,-182.33333333333334
10,-183.0
11,-184.0
12,-184.66666666666666
13,-185.0
14,-185.0
15,-185.33333333333334
16,-185.66666666666666
17,-185.0
18,-184.33333333333334
19,-184.0
20,-182.33333333333334
21,-176.66666666666666
22,-171.33333333333334
23,-169.33333333333334
24,-170.66666666666666
25,-171.66666666666666
26,-171.66666666666666
27,-172.0
28,-172.33333333333334
29,-172.66666666666666
30,-174.0
31,-175.0
32,-175.66666666666666
33,-175.0
34,-175.0
35,-175.0
36,-175.0
37,-174.66666666666666
38,-174.66666666666666
39,-197.33333333333334
40,-199.33333333333334
41,-197.33333333333334
42,-199.33333333333334
43,-199.66666666666666
44,-199.66666666666666
45,-199.66666666666666
46,-199.66666666666666
47,-200.33333333333334
48,-200.33333333333334
49,-200.33333333333334
50,-200.0
51,-200.33333333333334
52,-200.33333333333334
53,-179.33333333333334
54,-182.0
55,-179.33333333333334
56,-182.0
57,-181.33333333333334
58,-181.0
59,-180.66666666666666
60,-180.33333333333334
61,-180.33333333333334
62,-180.0
63,-180.0
64,-179.33333333333334
65,-179.33333333333334
66,-194.66666666666666
67,-193.66666666666666
68,-194.66666666666666
69,-193.66666666666666
70,-195.33333333333334
71,-195.66666666666666
72,-196.0
73,-196.0
74,-196.0
75,-195.33333333333334
76,-194.0
77,-190.0
78,-187.0
79,-186.0
80,-191.33333333333334
81,-193.66666666666666
82,-195.66666666666666
83,-193.66666666666666
84,-191.0
85,-192.0
86,-194.33333333333334
87,-196.0
88,-192.0
89,-186.66666666666666
90,-189.0
91,-192.33333333333334
92,-191.66666666666666
93,-188.0
94,-188.0
95,-191.0
96,-190.66666666666666
97,-190.33333333333334
98,-194.33333333333334
99,-196.66666666666666
100,-195.33333333333334
101,-192.33333333333334
102,-191.0
103,-192.33333333333334
104,-195.0
105,-196.33333333333334
106,-192.33333333333334
107,-187.0
108,-188.33333333333334
109,-194.0
110,-195.0
111,-194.66666666666666
112,-193.33333333333334
113,-192.66666666666666
114,-192.33333333333334
115,-196.33333333333334
116,-196.33333333333334
117,-189.0
118,-191.0
119,-189.0
120,-191.0
121,-192.66666666666666
122,-192.66666666666666
123,-192.66666666666666
124,-193.0
125,-193.33333333333334
126,-194.0
127,-194.0
128,-194.0
129,-193.66666666666666
130,-193.66666666666666
131,-193.33333333333334
132,-193.0
133,-192.33333333333334
134,-192.66666666666666
135,-194.0
136,-193.33333333333334
137,-192.66666666666666
138,-191.33333333333334
139,-190.66666666666666
140,-190.66666666666666
141,-192.66666666666666
142,-195.0
143,-194.33333333333334
144,-191.33333333333334
145,-190.33333333333334
146,-193.33333333333334
147,-195.0
148,-194.33333333333334
149,-191.66666666666666
150,-192.33333333333334
151,-194.66666666666666
152,-198.33333333333334
153,-199.0
154,-197.66666666666666
155,-195.33333333333334
156,-193.66666666666666
157,-193.66666666666666
158,-194.66666666666666
159,-197.66666666666666
160,-199.0
161,-197.0
162,-194.66666666666666
163,-194.0
164,-194.66666666666666
165,-194.0
166,-193.33333333333334
167,-193.33333333333334
168,-193.33333333333334
169,-193.33333333333334
170,-193.0
171,-193.33333333333334
172,-194.0
173,-194.66666666666666
174,-194.66666666666666
175,-194.0
176,-193.66666666666666
177,-193.66666666666666
178,-193.66666666666666
179,-193.66666666666666
180,-193.66666666666666
181,-194.0
182,-194.0
183,-194.0
184,-193.66666666666666
