,0
0,-200.33333333333334
1,-200.0
2,-200.33333333333334
3,-200.0
4,-200.0
5,-199.66666666666666
6,-199.0
7,-198.66666666666666
8,-198.66666666666666
9,-199.0
10,-199.33333333333334
11,-199.33333333333334
12,-199.33333333333334
13,-198.66666666666666
14,-198.33333333333334
15,-197.66666666666666
16,-198.0
17,-198.0
18,-198.33333333333334
19,-199.0
20,-202.66666666666666
21,-206.66666666666666
22,-207.66666666666666
23,-206.66666666666666
24,-205.33333333333334
25,-206.33333333333334
26,-206.66666666666666
27,-207.0
28,-207.0
29,-206.66666666666666
30,-206.66666666666666
31,-206.33333333333334
32,-206.33333333333334
33,-206.33333333333334
34,-194.33333333333334
35,-196.33333333333334
36,-194.33333333333334
37,-196.33333333333334
38,-195.66666666666666
39,-195.66666666666666
40,-195.66666666666666
41,-196.0
42,-196.33333333333334
43,-196.33333333333334
44,-196.33333333333334
45,-196.33333333333334
46,-206.0
47,-204.0
48,-206.0
49,-204.0
50,-204.33333333333334
51,-204.0
52,-204.33333333333334
53,-205.0
54,-205.33333333333334
55,-205.33333333333334
56,-205.0
57,-204.66666666666666
58,-204.66666666666666
59,-194.66666666666666
60,-197.0
61,-194.66666666666666
62,-197.0
63,-195.0
64,-195.33333333333334
65,-195.33333333333334
66,-197.33333333333334
67,-196.66666666666666
68,-196.66666666666666
69,-204.0
70,-203.33333333333334
71,-204.0
72,-203.33333333333334
73,-202.0
74,-202.66666666666666
75,-203.33333333333334
76,-203.66666666666666
77,-201.33333333333334
78,-200.0
79,-198.66666666666666
80,-200.0
81,-199.66666666666666
82,-199.33333333333334
83,-201.0
84,-203.33333333333334
85,-205.66666666666666
86,-202.66666666666666
87,-200.0
88,-202.0
89,-203.66666666666666
90,-203.33333333333334
91,-202.33333333333334
92,-203.0
93,-203.33333333333334
94,-202.33333333333334
95,-201.0
96,-204.33333333333334
97,-205.0
98,-204.66666666666666
99,-201.66666666666666
100,-201.0
101,-202.66666666666666
102,-207.66666666666666
103,-207.66666666666666
104,-205.0
105,-208.0
106,-205.0
107,-208.0
108,-208.33333333333334
109,-206.66666666666666
110,-205.0
111,-205.33333333333334
112,-207.0
113,-210.66666666666666
114,-210.66666666666666
115,-205.0
116,-206.0
117,-205.0
118,-206.0
119,-207.66666666666666
120,-207.0
121,-205.66666666666666
122,-204.33333333333334
123,-203.0
124,-202.0
125,-201.66666666666666
126,-203.66666666666666
127,-203.33333333333334
128,-202.0
129,-202.33333333333334
130,-204.33333333333334
131,-205.0
132,-204.66666666666666
133,-205.33333333333334
134,-205.66666666666666
135,-205.66666666666666
136,-205.33333333333334
137,-204.33333333333334
138,-203.0
139,-202.0
140,-202.33333333333334
141,-202.0
142,-201.66666666666666
143,-203.33333333333334
144,-204.0
145,-204.0
146,-202.33333333333334
147,-202.0
148,-202.33333333333334
149,-203.33333333333334
150,-204.33333333333334
151,-207.0
152,-206.33333333333334
153,-205.66666666666666
154,-202.66666666666666
155,-206.0
156,-207.33333333333334
157,-208.66666666666666
158,-206.33333333333334
159,-207.66666666666666
160,-209.33333333333334
161,-214.0
162,-213.66666666666666
163,-212.0
164,-208.0
165,-205.66666666666666
166,-204.66666666666666
167,-204.66666666666666
168,-207.33333333333334
169,-204.0
170,-207.33333333333334
171,-204.0
172,-204.0
173,-205.0
174,-205.0
175,-205.0
176,-204.66666666666666
177,-204.0
178,-203.66666666666666
179,-203.0
180,-203.0
181,-203.0
182,-202.66666666666666
183,-202.33333333333334
184,-202.33333333333334
185,-203.0
186,-205.0
187,-207.0
188,-206.0
189,-204.33333333333334
190,-202.0
191,-202.0
192,-201.33333333333334
193,-203.0
194,-205.66666666666666
195,-205.66666666666666
196,-202.66666666666666
197,-199.33333333333334
198,-200.33333333333334
199,-204.33333333333334
200,-205.66666666666666
201,-203.66666666666666
202,-200.0
203,-199.0
204,-201.33333333333334
205,-205.66666666666666
206,-208.0
207,-206.66666666666666
208,-204.33333333333334
209,-203.33333333333334
210,-205.0
211,-205.66666666666666
212,-209.66666666666666
213,-210.66666666666666
214,-209.0
215,-205.66666666666666
216,-205.0
217,-207.0
218,-207.33333333333334
219,-207.33333333333334
220,-207.0
221,-206.66666666666666
222,-207.0
223,-207.0
224,-207.33333333333334
225,-206.33333333333334
226,-206.0
227,-205.66666666666666
228,-205.66666666666666
229,-205.33333333333334
230,-204.66666666666666
231,-204.33333333333334
232,-204.66666666666666
233,-205.33333333333334
234,-206.33333333333334
235,-206.66666666666666
236,-206.66666666666666
237,-206.33333333333334
238,-206.33333333333334
239,-207.0
240,-207.0
241,-206.33333333333334
242,-205.66666666666666
243,-205.0
244,-205.0
245,-204.66666666666666
246,-205.33333333333334
247,-205.66666666666666
248,-206.0
