,0
0,-73.66666666666667
1,-74.33333333333333
2,-73.66666666666667
3,-74.33333333333333
4,-75.0
5,-75.66666666666667
6,-75.66666666666667
7,-75.0
8,-74.66666666666667
9,-73.66666666666667
10,-73.33333333333333
11,-72.33333333333333
12,-72.66666666666667
13,-72.66666666666667
14,-73.0
15,-73.0
16,-73.0
17,-73.33333333333333
18,-74.0
19,-74.66666666666667
20,-74.0
21,-73.0
22,-72.33333333333333
23,-72.0
24,-68.66666666666667
25,-68.33333333333333
26,-69.0
27,-72.66666666666667
28,-73.66666666666667
29,-74.33333333333333
30,-74.66666666666667
31,-75.33333333333333
32,-75.66666666666667
33,-75.33333333333333
34,-74.0
35,-74.0
36,-75.66666666666667
37,-74.0
38,-72.66666666666667
39,-66.66666666666667
40,-62.333333333333336
41,-58.0
42,-56.333333333333336
43,-60.0
44,-62.666666666666664
45,-66.66666666666667
46,-67.0
47,-67.0
48,-67.0
49,-66.66666666666667
50,-66.33333333333333
51,-66.0
52,-66.0
53,-66.0
54,-66.0
55,-66.33333333333333
56,-66.66666666666667
57,-67.33333333333333
58,-67.33333333333333
59,-67.0
60,-67.0
61,-67.0
62,-68.33333333333333
63,-71.0
64,-71.0
65,-73.33333333333333
66,-71.33333333333333
67,-72.66666666666667
68,-70.66666666666667
69,-70.33333333333333
70,-69.66666666666667
71,-69.0
72,-69.33333333333333
73,-70.0
74,-71.0
75,-71.33333333333333
76,-71.33333333333333
77,-70.66666666666667
78,-70.66666666666667
79,-70.0
80,-70.33333333333333
81,-70.33333333333333
82,-70.66666666666667
83,-70.0
84,-69.0
85,-68.33333333333333
86,-68.66666666666667
87,-69.0
88,-68.66666666666667
89,-68.66666666666667
90,-68.66666666666667
