,0
0,-28.666666666666668
1,-28.666666666666668
2,-28.666666666666668
3,-28.666666666666668
4,-28.666666666666668
5,-29.666666666666668
6,-28.666666666666668
7,-29.666666666666668
8,-30.666666666666668
9,-31.333333333333332
10,-31.333333333333332
11,-31.666666666666668
12,-32.0
13,-31.333333333333332
14,-30.666666666666668
15,-30.0
16,-30.666666666666668
17,-31.0
18,-31.333333333333332
19,-31.333333333333332
20,-31.666666666666668
21,-32.0
22,-47.0
23,-62.0
24,-77.0
25,-63.666666666666664
26,-50.333333333333336
27,-37.0
28,-24.333333333333332
29,-11.0
30,2.3333333333333335
31,-10.0
32,-23.0
33,-36.0
34,-36.333333333333336
35,-36.666666666666664
36,-37.0
37,-37.0
38,-37.0
39,-37.0
40,-37.0
41,-37.0
42,-37.0
43,-35.666666666666664
44,-34.333333333333336
45,-33.333333333333336
46,-34.0
47,-34.666666666666664
48,-35.0
49,-35.0
50,-35.0
51,-35.0
52,-34.666666666666664
53,-34.333333333333336
54,-34.0
55,-34.0
56,-34.0
57,-34.0
58,-35.0
59,-36.0
60,-37.0
61,-29.333333333333332
62,-21.666666666666668
63,-14.0
64,-19.0
65,-24.0
66,-29.0
67,-40.666666666666664
68,-52.666666666666664
69,-64.66666666666667
70,-56.333333333333336
71,-47.666666666666664
72,-39.0
73,-38.666666666666664
74,-38.333333333333336
75,-38.0
76,-38.0
77,-38.0
78,-38.0
79,-38.0
80,-38.0
81,-38.0
82,-37.333333333333336
83,-36.666666666666664
84,-36.0
85,-36.333333333333336
86,-36.666666666666664
87,-37.0
88,-37.0
89,-37.0
90,-37.0
91,-37.0
92,-37.0
93,-37.0
94,-37.333333333333336
95,-37.666666666666664
96,-38.0
97,-38.0
98,-38.0
99,-38.0
100,-38.0
101,-38.0
102,-38.0
103,-37.0
104,-35.666666666666664
105,-34.333333333333336
106,-44.666666666666664
107,-55.333333333333336
108,-66.0
109,-52.333333333333336
110,-38.666666666666664
111,-25.0
112,-26.0
113,-27.0
114,-28.0
115,-27.666666666666668
116,-27.333333333333332
117,-27.0
118,-28.0
119,-29.0
120,-30.0
121,-30.0
122,-30.0
123,-30.0
124,-29.666666666666668
125,-29.333333333333332
126,-29.0
127,-29.333333333333332
128,-29.666666666666668
129,-30.0
130,-29.666666666666668
131,-29.333333333333332
132,-29.0
133,-29.0
134,-29.0
135,-29.0
136,-29.333333333333332
137,-29.666666666666668
138,-30.0
139,-30.333333333333332
140,-30.666666666666668
141,-31.0
142,-29.666666666666668
143,-28.333333333333332
144,-27.0
145,-29.666666666666668
146,-32.333333333333336
147,-35.0
148,-34.0
149,-33.0
150,-32.0
151,-42.666666666666664
152,-53.333333333333336
153,-64.0
154,-40.666666666666664
155,-17.333333333333332
156,6.0
157,6.0
158,6.0
159,6.0
160,6.0
161,6.0
162,6.0
163,6.0
164,6.0
165,6.0
166,6.0
167,6.0
168,6.0
169,6.0
170,6.0
171,6.0
172,6.0
173,6.0
174,6.0
175,6.0
176,6.0
177,6.0
178,6.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,6.0
186,6.0
187,6.0
188,6.0
189,6.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
