,0
0,45.665
1,45.665
2,45.665
3,45.665
4,45.665
5,45.665
6,45.665
7,45.665
8,45.665
9,45.665
10,45.278
11,45.278
12,45.278
13,45.278
14,45.278
15,45.278
16,45.278
17,45.278
18,45.278
19,45.278
20,45.278
21,45.278
22,45.278
23,45.278
24,45.278
25,45.278
26,44.997
27,44.997
28,44.997
29,44.997
30,44.997
31,44.997
32,46.015
33,46.015
34,46.015
35,46.015
36,46.015
37,46.015
38,46.015
39,45.876
40,45.876
41,45.876
42,45.876
43,45.876
44,45.876
45,45.876
46,45.876
47,45.876
48,45.492
49,45.492
50,45.492
51,45.492
52,45.492
53,45.492
54,45.492
55,45.69
56,45.69
57,45.69
58,45.69
59,45.69
60,45.69
61,45.69
62,45.69
63,45.69
64,45.69
65,45.69
66,45.69
67,45.69
68,45.69
69,45.69
70,45.69
71,45.69
72,45.69
73,45.69
74,45.69
75,45.69
76,46.337
77,46.337
78,46.337
79,46.337
80,46.337
81,46.337
82,46.337
83,46.337
84,46.337
85,46.337
86,46.337
87,46.337
88,46.337
89,46.337
90,46.337
91,46.337
92,46.337
93,46.337
94,46.337
95,46.337
96,45.708
97,45.708
98,45.708
99,45.708
100,45.708
101,45.708
102,45.708
103,45.708
104,45.708
105,45.708
106,45.708
107,45.708
108,45.708
109,45.708
110,45.708
111,46.348
112,46.348
113,46.348
114,46.348
115,46.348
116,46.348
117,46.348
118,46.348
119,46.348
120,46.348
121,46.348
122,46.348
123,46.348
124,46.348
125,46.348
126,46.348
127,46.348
128,46.348
129,46.348
130,46.348
131,46.348
132,46.348
133,46.348
134,46.348
135,46.348
136,46.348
137,46.348
138,45.792
139,45.792
140,45.792
141,45.792
142,45.792
143,45.792
144,45.792
145,45.792
146,45.792
147,45.792
148,45.792
149,45.792
150,45.792
151,45.792
152,45.792
153,45.792
154,45.792
155,45.792
156,45.792
157,46.09
158,46.09
159,46.09
160,45.338
161,45.338
162,45.338
163,45.338
164,45.094
165,45.094
166,45.705
167,45.705
168,44.379
169,45.755
170,45.755
171,45.755
172,45.602
173,45.602
174,45.602
175,45.843
176,45.843
177,45.843
178,45.843
179,45.843
180,45.843
181,45.843
182,45.843
183,45.472
184,45.472
185,45.472
186,45.472
187,45.472
188,45.472
189,46.16
190,46.16
191,46.16
192,46.16
193,46.16
194,46.16
195,46.16
196,46.16
197,46.16
198,46.16
199,46.16
200,45.668
201,45.668
202,45.668
203,45.668
204,45.668
205,45.668
206,45.668
207,45.668
208,45.668
209,45.668
210,45.668
211,45.668
212,44.759
213,44.759
214,44.949
215,44.949
216,44.949
217,44.676
218,44.676
219,46.932
220,46.932
221,46.932
222,44.625
223,44.625
224,46.932
225,46.932
226,46.932
227,46.932
228,46.932
229,46.932
230,46.932
231,46.932
232,46.932
233,45.062
234,45.062
235,45.062
236,45.062
237,45.062
238,45.062
239,45.062
240,45.062
241,45.062
242,45.705
243,45.705
244,45.705
245,45.705
246,45.705
247,45.705
248,45.705
249,45.705
250,45.705
251,45.705
252,45.705
253,44.659
254,44.659
255,44.659
256,44.659
257,44.659
258,44.659
259,44.659
260,44.659
261,44.659
262,44.659
263,45.284
264,45.284
265,45.284
266,45.284
267,45.284
268,45.381
269,45.381
270,45.381
271,45.381
272,45.381
273,45.381
274,45.381
275,45.381
276,44.634
277,44.634
278,44.634
279,44.634
280,45.342
281,45.342
282,45.342
283,46.44
284,46.44
285,46.44
286,46.44
287,45.655
288,45.655
289,45.655
290,45.655
291,45.655
292,45.655
293,45.655
294,45.321
295,45.321
296,45.321
297,45.321
298,45.321
299,45.321
300,45.321
301,45.321
302,45.336
303,45.336
304,45.336
305,45.336
306,45.336
307,45.336
308,45.336
309,45.336
310,45.336
311,45.336
312,45.336
313,45.336
314,45.336
315,45.336
316,45.336
317,44.005
318,44.005
319,44.005
320,44.005
321,44.005
322,44.005
323,44.005
324,44.005
325,44.005
326,44.005
327,44.005
328,44.005
329,44.005
330,44.005
331,44.005
332,44.005
333,44.005
334,44.005
335,44.005
336,44.005
337,44.005
338,44.526
339,44.526
340,44.526
341,44.526
342,44.526
343,44.526
344,44.526
345,44.526
346,44.526
347,43.872666666666674
348,43.955000000000005
349,43.87266666666667
350,43.955000000000005
351,43.69333333333333
352,43.69333333333333
353,43.69333333333333
354,43.69333333333333
355,43.69333333333333
356,43.701
357,43.701
358,43.701
359,43.701
360,43.701
361,43.701
362,43.701
363,43.701
364,43.701
365,44.862
366,44.862
367,44.862
368,44.862
369,44.862
370,44.862
371,44.862
372,43.907
373,43.907
374,43.907
375,43.907
376,43.907
377,43.907
378,43.907
379,43.907
380,43.907
381,43.907
382,43.907
383,43.907
384,43.907
385,43.907
386,43.907
387,43.907
388,43.907
389,43.907
390,44.605
391,44.605
392,44.605
393,44.605
394,44.605
395,44.605
396,44.605
397,44.605
398,44.605
399,44.605
400,44.605
401,44.605
402,44.605
403,44.605
404,44.605
405,44.605
406,44.605
407,44.294
408,44.294
409,44.294
410,44.294
411,44.294
412,44.294
413,44.294
414,44.476
415,44.476
416,44.476
417,44.476
418,44.476
419,44.476
420,44.476
421,44.476
422,43.837
423,43.837
424,43.837
425,44.397
426,44.397
427,44.397
428,44.683
429,44.683
430,44.683
431,44.683
432,44.66
433,44.66
434,44.66
435,44.66
436,44.66
437,44.66
438,44.66
439,44.66
440,44.66
441,44.66
442,44.66
443,44.56
444,44.56
445,44.56
446,44.56
447,44.56
448,44.56
449,44.56
450,44.56
451,44.56
452,44.56
453,44.56
454,44.56
455,44.56
456,44.56
457,44.56
458,44.56
459,44.56
460,44.56
461,44.56
462,44.21
463,44.21
464,44.21
465,44.21
466,44.21
467,44.21
468,44.21
469,44.21
470,44.21
471,44.21
472,44.21
473,44.21
474,44.21
475,44.21
476,44.21
477,45.062
478,45.062
479,45.062
480,45.062
481,45.062
482,45.062
483,45.062
484,45.062
485,45.062
486,45.062
487,45.062
488,45.062
489,45.062
490,45.062
491,45.062
492,45.062
493,45.062
494,45.062
495,45.062
496,45.062
497,45.062
498,45.062
499,45.062
500,45.062
501,45.062
502,45.062
503,45.062
504,45.062
505,45.062
506,45.062
507,45.062
508,45.062
509,45.062
510,45.062
511,43.965
512,43.965
513,43.965
514,43.965
515,43.965
516,43.965
517,43.965
518,43.965
519,43.965
520,43.965
521,43.965
522,43.965
523,43.965
524,43.965
525,43.965
526,43.965
527,43.965
528,43.965
529,43.965
530,43.965
531,43.965
532,43.965
533,43.965
534,43.965
535,43.965
536,43.965
537,43.965
538,43.965
539,43.965
540,43.965
541,43.965
542,38.978
543,38.468
544,38.468
545,38.468
546,43.89366666666668
547,43.89366666666668
548,44.96600000000001
549,43.89366666666666
550,44.966
551,45.32
552,45.528
553,45.60966666666667
554,46.010333333333335
555,45.76166666666666
556,45.306333333333335
557,45.306333333333335
558,45.306333333333335
559,45.306333333333335
560,45.306333333333335
561,45.306333333333335
562,45.306333333333335
563,44.647
564,44.647
565,44.647
566,44.647
567,44.647
568,44.647
569,44.647
570,44.647
571,45.119
572,45.119
573,45.613
574,45.613
575,45.613
576,45.613
577,45.613
578,45.613
579,45.613
580,44.854000000000006
581,44.854000000000006
582,44.854000000000006
583,44.854000000000006
584,44.854000000000006
585,44.854000000000006
586,44.402
587,44.854000000000006
588,44.854000000000006
589,44.854000000000006
590,44.854000000000006
591,44.133
592,44.133
593,44.133
594,44.908
595,44.908
596,44.908
597,44.908
598,44.908
599,44.908
600,44.908
601,44.908
602,44.908
603,44.908
604,44.908
605,44.607
606,44.607
607,44.607
608,44.607
609,44.607
610,44.607
611,44.607
612,44.607
613,44.607
614,44.607
615,44.607
616,44.607
617,44.266
618,44.266
619,44.873
620,44.873
621,44.873
622,44.873
623,44.873
624,44.873
625,44.665
626,44.665
627,44.665
628,44.665
629,44.665
630,44.665
631,44.665
632,44.665
633,44.665
634,44.665
635,44.665
636,44.665
637,44.665
638,45.417
639,45.417
640,45.417
641,45.417
642,45.417
643,45.417
644,45.417
645,45.417
646,45.417
647,45.417
648,45.417
649,45.417
650,45.417
651,45.417
652,45.417
653,46.166
654,46.166
655,46.166
656,46.166
657,46.166
658,46.166
659,46.166
660,46.166
661,46.166
662,46.166
663,46.166
664,46.166
