,0
0,-186.0
1,-186.0
2,-186.0
3,-186.0
4,-186.0
5,-185.66666666666666
6,-186.0
7,-186.33333333333334
8,-186.66666666666666
9,-186.33333333333334
10,-185.66666666666666
11,-185.66666666666666
12,-182.0
13,-170.0
14,-152.0
15,-140.0
16,-138.0
17,-141.33333333333334
18,-142.0
19,-141.0
20,-140.33333333333334
21,-140.33333333333334
22,-140.66666666666666
23,-141.33333333333334
24,-141.33333333333334
25,-141.0
26,-140.33333333333334
27,-140.33333333333334
28,-141.33333333333334
29,-142.33333333333334
30,-144.0
31,-149.66666666666666
32,-154.66666666666666
33,-159.66666666666666
34,-160.33333333333334
35,-161.66666666666666
36,-162.0
37,-161.33333333333334
38,-161.33333333333334
39,-161.0
40,-161.33333333333334
41,-161.0
42,-161.66666666666666
43,-162.33333333333334
44,-163.0
45,-162.33333333333334
46,-151.33333333333334
47,-140.0
48,-131.33333333333334
49,-133.0
50,-135.0
51,-135.33333333333334
52,-136.0
53,-137.0
54,-137.33333333333334
55,-137.66666666666666
56,-137.33333333333334
57,-137.66666666666666
58,-137.33333333333334
59,-140.33333333333334
60,-149.33333333333334
61,-157.0
62,-161.66666666666666
63,-159.66666666666666
64,-159.33333333333334
65,-158.66666666666666
66,-158.66666666666666
67,-158.66666666666666
68,-159.0
69,-158.66666666666666
70,-157.66666666666666
71,-156.66666666666666
72,-155.66666666666666
73,-150.0
74,-145.66666666666666
75,-142.0
76,-144.0
77,-144.66666666666666
78,-145.0
79,-145.0
80,-144.66666666666666
81,-145.0
82,-151.66666666666666
83,-156.0
84,-159.33333333333334
85,-157.0
86,-158.0
87,-159.0
88,-159.33333333333334
89,-159.0
90,-158.66666666666666
91,-157.33333333333334
92,-152.0
93,-148.33333333333334
94,-149.66666666666666
95,-153.33333333333334
96,-156.0
97,-154.0
98,-152.33333333333334
99,-151.0
100,-153.0
101,-155.33333333333334
102,-154.66666666666666
103,-149.66666666666666
104,-148.0
105,-150.33333333333334
106,-152.0
107,-149.66666666666666
108,-147.66666666666666
109,-149.0
110,-151.0
111,-151.66666666666666
112,-154.0
113,-156.66666666666666
114,-156.33333333333334
115,-155.33333333333334
116,-154.0
117,-154.66666666666666
118,-155.66666666666666
119,-161.0
120,-162.66666666666666
121,-160.66666666666666
122,-157.33333333333334
123,-159.66666666666666
124,-161.33333333333334
125,-160.0
126,-158.66666666666666
127,-157.66666666666666
128,-156.66666666666666
129,-156.0
130,-160.33333333333334
131,-161.66666666666666
132,-159.0
133,-155.0
134,-154.66666666666666
135,-156.33333333333334
136,-159.33333333333334
137,-161.33333333333334
138,-161.66666666666666
139,-160.66666666666666
140,-159.0
141,-157.66666666666666
142,-156.0
143,-161.0
144,-165.0
145,-164.0
146,-160.0
147,-159.0
148,-160.0
149,-160.33333333333334
150,-159.66666666666666
151,-160.33333333333334
152,-160.0
153,-159.66666666666666
154,-159.66666666666666
155,-159.66666666666666
156,-160.66666666666666
157,-161.33333333333334
158,-162.0
159,-162.66666666666666
160,-163.66666666666666
161,-165.0
162,-163.66666666666666
163,-162.66666666666666
164,-161.33333333333334
165,-159.66666666666666
166,-157.33333333333334
167,-157.0
168,-162.66666666666666
169,-165.33333333333334
170,-164.0
171,-158.0
172,-157.0
173,-161.33333333333334
174,-164.0
175,-163.33333333333334
176,-161.0
