,0
0,-231.0
1,-231.0
2,-231.0
3,-231.0
4,-231.0
5,-231.33333333333334
6,-231.66666666666666
7,-226.0
8,-220.0
9,-206.66666666666666
10,-193.33333333333334
11,-178.66666666666666
12,-178.66666666666666
13,-171.0
14,-171.0
15,-171.0
16,-171.0
17,-225.0
18,-225.0
19,-225.0
20,-219.66666666666666
21,-225.0
22,-219.66666666666666
23,-218.33333333333334
24,-218.66666666666666
25,-218.66666666666666
26,-218.66666666666666
27,-218.0
28,-218.0
29,-218.0
30,-217.66666666666666
31,-217.66666666666666
32,-217.66666666666666
33,-248.33333333333334
34,-248.33333333333334
35,-249.33333333333334
36,-248.33333333333334
37,-249.33333333333334
38,-249.33333333333334
39,-249.0
40,-248.66666666666666
41,-249.0
42,-249.33333333333334
43,-250.0
44,-249.66666666666666
45,-249.33333333333334
46,-246.66666666666666
47,-252.33333333333334
48,-258.0
49,-263.6666666666667
50,-262.6666666666667
51,-261.3333333333333
52,-261.6666666666667
53,-260.6666666666667
54,-260.3333333333333
55,-260.3333333333333
56,-260.3333333333333
57,-260.3333333333333
58,-260.6666666666667
59,-259.3333333333333
60,-253.66666666666666
61,-249.66666666666666
62,-247.66666666666666
63,-249.66666666666666
64,-249.66666666666666
65,-249.0
66,-248.0
67,-247.33333333333334
68,-247.0
69,-248.33333333333334
70,-257.6666666666667
71,-264.3333333333333
72,-270.0
73,-267.6666666666667
74,-268.6666666666667
75,-269.0
76,-269.0
77,-268.6666666666667
78,-268.6666666666667
79,-265.6666666666667
80,-263.6666666666667
81,-261.3333333333333
82,-262.3333333333333
83,-262.0
84,-262.0
85,-266.6666666666667
86,-269.0
87,-271.6666666666667
88,-269.6666666666667
89,-269.6666666666667
90,-269.3333333333333
91,-266.3333333333333
92,-265.3333333333333
93,-264.3333333333333
94,-265.3333333333333
95,-264.3333333333333
96,-264.6666666666667
97,-267.3333333333333
98,-270.3333333333333
99,-271.0
100,-271.0
101,-271.0
102,-272.3333333333333
103,-272.3333333333333
104,-268.6666666666667
105,-266.0
106,-263.6666666666667
107,-265.3333333333333
108,-265.6666666666667
109,-266.0
110,-267.6666666666667
111,-271.3333333333333
112,-273.0
113,-273.0
114,-271.0
115,-271.6666666666667
116,-272.3333333333333
117,-272.6666666666667
118,-272.3333333333333
119,-272.0
120,-272.3333333333333
121,-273.0
122,-273.6666666666667
123,-274.0
124,-274.0
125,-273.6666666666667
126,-273.6666666666667
127,-273.6666666666667
128,-274.0
129,-273.6666666666667
130,-273.0
131,-272.6666666666667
132,-272.6666666666667
133,-273.0
134,-273.3333333333333
135,-273.6666666666667
136,-273.3333333333333
137,-272.6666666666667
138,-272.0
139,-271.3333333333333
140,-271.3333333333333
141,-271.3333333333333
142,-271.6666666666667
143,-271.3333333333333
144,-271.3333333333333
145,-272.0
146,-272.3333333333333
147,-273.0
148,-273.3333333333333
