,0
0,-128.33333333333334
1,-128.66666666666666
2,-128.33333333333334
3,-128.66666666666666
4,-129.33333333333334
5,-129.66666666666666
6,-129.33333333333334
7,-128.0
8,-126.66666666666667
9,-125.66666666666667
10,-125.33333333333333
11,-125.0
12,-124.66666666666667
13,-124.33333333333333
14,-124.0
15,-124.0
16,-124.0
17,-124.0
18,-124.0
19,-124.0
20,-123.66666666666667
21,-122.66666666666667
22,-121.66666666666667
23,-121.0
24,-121.33333333333333
25,-121.66666666666667
26,-121.33333333333333
27,-120.66666666666667
28,-120.0
29,-119.0
30,-118.0
31,-117.0
32,-119.0
33,-121.0
34,-123.0
35,-121.66666666666667
36,-120.33333333333333
37,-119.0
38,-120.0
39,-121.0
40,-122.0
41,-121.33333333333333
42,-120.66666666666667
43,-120.0
44,-120.66666666666667
45,-122.66666666666667
46,-123.33333333333333
47,-123.66666666666667
48,-122.33333333333333
49,-122.33333333333333
50,-123.66666666666667
51,-125.66666666666667
52,-127.66666666666667
53,-125.0
54,-122.0
55,-119.0
56,-119.0
57,-119.0
58,-119.0
59,-118.66666666666667
60,-118.33333333333333
61,-118.33333333333333
62,-119.0
63,-119.66666666666667
64,-120.0
65,-120.33333333333333
66,-120.66666666666667
67,-121.0
68,-121.0
69,-121.0
70,-121.0
71,-121.0
72,-121.0
73,-121.0
74,-122.0
75,-123.33333333333333
76,-124.33333333333333
77,-124.33333333333333
78,-124.0
79,-124.0
80,-124.0
81,-124.0
82,-124.0
83,-123.66666666666667
84,-123.33333333333333
85,-123.0
86,-122.33333333333333
87,-121.66666666666667
88,-121.0
89,-122.66666666666667
90,-124.33333333333333
91,-126.0
92,-125.0
93,-124.0
94,-123.0
95,-123.66666666666667
96,-124.33333333333333
97,-125.0
98,-123.66666666666667
99,-122.33333333333333
100,-121.0
101,-123.0
102,-125.0
103,-127.0
104,-127.33333333333333
105,-127.66666666666667
106,-128.0
107,-128.0
108,-128.0
109,-128.0
110,-126.66666666666667
111,-125.33333333333333
112,-124.0
113,-124.66666666666667
114,-125.33333333333333
115,-126.0
116,-126.33333333333333
117,-126.66666666666667
118,-127.33333333333333
119,-127.66666666666667
120,-128.0
121,-128.33333333333334
122,-128.66666666666666
123,-129.0
124,-129.33333333333334
125,-129.66666666666666
126,-130.0
127,-130.0
128,-130.0
129,-130.0
130,-130.66666666666666
131,-131.33333333333334
132,-132.0
