,0
0,-24.666666666666668
1,-28.0
2,-24.666666666666668
3,-28.0
4,-26.666666666666668
5,-26.666666666666668
6,-26.666666666666668
7,-24.333333333333332
8,-21.666666666666668
9,-22.666666666666668
10,-25.666666666666668
11,-28.666666666666668
12,-28.0
13,-28.0
14,-28.0
15,-28.0
16,-27.666666666666668
17,-24.0
18,-25.333333333333332
19,-24.333333333333332
20,-27.0
21,-24.666666666666668
22,-23.333333333333332
23,-26.0
24,-28.666666666666668
25,-33.333333333333336
26,-33.666666666666664
27,-27.666666666666668
28,-22.666666666666668
29,-18.0
30,-18.333333333333332
31,-17.666666666666668
32,-16.666666666666668
33,-17.333333333333332
34,-18.666666666666668
35,-17.333333333333332
36,-16.333333333333332
37,-14.666666666666666
38,-15.666666666666666
39,-17.333333333333332
40,-18.0
41,-18.333333333333332
42,-17.333333333333332
43,-18.0
44,-18.666666666666668
45,-19.0
46,-25.333333333333332
47,-27.666666666666668
48,-30.333333333333332
49,-25.666666666666668
50,-25.333333333333332
51,-24.333333333333332
52,-24.666666666666668
53,-26.0
54,-28.0
55,-28.666666666666668
56,-28.333333333333332
57,-27.0
58,-25.666666666666668
59,-25.333333333333332
60,-26.333333333333332
61,-28.333333333333332
62,-28.0
63,-25.666666666666668
64,-22.333333333333332
65,-21.0
66,-20.333333333333332
67,-21.0
68,-20.666666666666668
69,-20.333333333333332
70,-18.0
71,-16.666666666666668
72,-16.0
73,-15.666666666666666
74,-17.666666666666668
75,-19.666666666666668
76,-22.0
77,-22.0
78,-22.0
79,-22.0
80,-21.333333333333332
81,-21.666666666666668
82,-27.0
83,-27.666666666666668
84,-27.666666666666668
85,-27.666666666666668
86,-28.0
87,-27.0
88,-19.333333333333332
89,-18.0
90,-22.333333333333332
91,-22.0
92,-20.0
93,-16.0
94,-17.0
95,-18.666666666666668
96,-17.666666666666668
97,-19.666666666666668
98,-21.333333333333332
99,-24.333333333333332
100,-26.333333333333332
101,-28.666666666666668
102,-29.333333333333332
103,-29.333333333333332
104,-28.333333333333332
105,-28.333333333333332
106,-25.666666666666668
107,-25.666666666666668
108,-25.666666666666668
109,-25.666666666666668
110,-25.666666666666668
111,-26.0
112,-27.0
113,-27.333333333333332
114,-27.666666666666668
115,-27.0
116,-27.0
117,-26.666666666666668
118,-27.0
119,-27.333333333333332
120,-27.0
121,-26.666666666666668
122,-26.0
123,-26.0
124,-26.0
125,-26.0
126,-26.0
127,-26.0
128,-26.0
129,-26.0
130,-24.0
131,-24.0
132,-24.0
133,-24.0
134,-24.0
135,-27.333333333333332
136,-27.333333333333332
137,-27.0
138,-27.333333333333332
139,-27.333333333333332
140,-15.0
141,-15.0
142,-15.0
143,-24.0
144,-24.0
145,-30.0
146,-30.0
147,-30.0
148,-30.0
149,-30.0
150,-21.0
151,-21.0
152,-21.0
153,-21.0
154,-20.666666666666668
155,-21.0
156,-20.666666666666668
157,-23.0
158,-25.0
159,-26.0
160,-24.0
161,-22.333333333333332
162,-21.333333333333332
163,-21.0
164,-18.333333333333332
165,-17.333333333333332
166,-18.0
167,-20.333333333333332
168,-22.666666666666668
169,-21.666666666666668
170,-21.0
171,-19.666666666666668
172,-20.333333333333332
173,-21.666666666666668
174,-21.666666666666668
175,-22.0
176,-21.0
177,-20.666666666666668
178,-19.666666666666668
179,-18.666666666666668
180,-24.0
181,-30.333333333333332
182,-31.666666666666668
183,-27.0
184,-19.666666666666668
185,-23.0
186,-26.666666666666668
187,-32.0
188,-31.666666666666668
189,-24.0
190,-19.666666666666668
191,-15.0
192,-23.0
193,-27.333333333333332
194,-32.0
195,-25.666666666666668
196,-25.333333333333332
197,-25.666666666666668
198,-31.0
199,-31.333333333333332
200,-26.666666666666668
201,-27.0
202,-27.0
203,-31.0
204,-31.0
205,-27.333333333333332
206,-30.333333333333332
207,-27.0
208,-26.666666666666668
209,-18.0
210,-19.0
211,-19.666666666666668
212,-26.0
213,-26.0
214,-26.0
215,-26.0
216,-26.0
217,-26.0
218,-26.0
219,-26.0
220,-26.0
221,-26.0
222,-26.0
223,-26.0
224,-26.0
225,-26.0
226,-26.0
227,-26.0
228,-26.0
229,-26.0
230,-26.0
231,-26.0
232,-26.0
233,-26.0
234,-26.0
235,10.0
236,10.0
237,10.0
238,10.0
239,10.0
240,10.0
241,10.0
242,10.0
243,10.0
244,10.0
245,10.0
246,10.0
247,10.0
248,10.0
249,10.0
250,10.0
251,10.0
252,10.0
253,10.0
254,10.0
255,10.0
256,10.0
257,10.0
258,10.0
259,10.0
260,10.0
261,10.0
262,10.0
263,10.0
264,10.0
265,10.0
266,10.0
267,10.0
268,9.0
269,9.0
270,9.0
271,9.0
272,9.0
273,9.0
274,9.0
275,9.0
276,9.0
277,9.0
278,9.0
279,9.0
280,9.0
281,9.0
282,13.333333333333334
283,13.333333333333334
284,13.666666666666666
285,13.333333333333334
286,13.666666666666666
287,13.333333333333334
288,13.0
289,12.666666666666666
290,13.333333333333334
291,14.0
292,13.666666666666666
293,13.0
294,12.0
295,12.333333333333334
296,12.333333333333334
297,12.333333333333334
298,12.333333333333334
299,12.666666666666666
300,12.333333333333334
301,12.0
302,11.666666666666666
303,12.0
304,12.0
305,12.0
306,12.0
307,12.0
308,12.0
309,12.0
310,12.0
311,12.0
312,12.0
313,12.0
314,12.0
315,12.0
316,12.0
317,12.0
318,12.0
319,12.0
320,12.0
321,17.0
322,17.0
323,17.0
324,17.0
325,17.0
326,17.0
327,17.0
328,17.0
329,17.0
330,17.0
331,17.0
332,17.0
333,17.0
334,17.0
335,17.0
336,17.0
337,17.0
338,17.666666666666668
339,17.0
340,17.666666666666668
341,15.333333333333334
342,15.333333333333334
343,15.333333333333334
344,16.0
345,16.333333333333332
346,17.0
347,18.0
348,18.0
349,27.0
350,26.666666666666668
351,27.0
352,26.666666666666668
353,26.666666666666668
354,26.666666666666668
355,21.0
356,21.0
357,24.0
358,21.0
359,21.0
360,7.0
361,7.0
362,7.0
363,7.0
364,20.0
365,20.0
366,20.0
367,20.0
368,22.0
369,17.0
370,17.0
371,16.0
372,16.0
373,12.0
374,12.0
375,18.0
376,18.0
377,18.0
378,18.0
379,20.0
380,20.0
381,20.0
382,20.0
383,20.0
384,17.333333333333332
385,17.333333333333332
386,17.0
387,17.333333333333332
388,17.333333333333332
389,17.333333333333332
390,11.0
391,11.0
392,11.0
393,11.0
394,11.0
395,17.0
396,17.0
397,17.0
398,17.0
399,17.0
400,13.0
401,13.0
402,13.0
403,13.0
404,13.0
405,13.0
406,0.0
407,0.0
408,0.0
409,0.0
410,5.0
411,5.0
412,5.0
413,2.0
414,2.0
415,2.0
416,2.0
417,6.0
418,6.0
419,6.0
420,6.0
421,6.0
422,6.0
423,6.0
424,6.0
425,6.0
426,6.0
427,6.0
428,6.0
429,6.0
430,6.0
431,6.0
432,6.0
433,6.0
434,6.0
435,6.0
436,6.0
437,6.0
438,-38.0
439,-38.0
440,-38.0
441,-38.0
442,-38.0
443,-38.0
444,-38.0
445,-38.0
446,-38.0
447,-38.0
448,-38.0
449,-38.0
450,-38.0
451,-38.0
