,0
0,-170.0
1,-169.66666666666666
2,-170.0
3,-169.66666666666666
4,-168.66666666666666
5,-168.0
6,-168.0
7,-167.66666666666666
8,-165.33333333333334
9,-162.33333333333334
10,-160.0
11,-163.33333333333334
12,-164.33333333333334
13,-167.66666666666666
14,-165.0
15,-167.66666666666666
16,-165.33333333333334
17,-166.66666666666666
18,-163.0
19,-165.33333333333334
20,-165.0
21,-167.66666666666666
22,-166.66666666666666
23,-165.66666666666666
24,-165.0
25,-164.33333333333334
26,-165.33333333333334
27,-166.0
28,-166.66666666666666
29,-167.0
30,-167.33333333333334
31,-167.0
32,-166.66666666666666
33,-166.0
34,-166.0
35,-166.33333333333334
36,-166.66666666666666
37,-167.33333333333334
38,-167.66666666666666
39,-167.66666666666666
40,-167.33333333333334
41,-167.33333333333334
42,-167.33333333333334
43,-167.33333333333334
44,-167.0
45,-167.0
46,-167.33333333333334
47,-167.0
48,-166.33333333333334
49,-165.66666666666666
50,-166.0
51,-167.33333333333334
52,-168.0
53,-168.33333333333334
54,-168.0
55,-167.66666666666666
56,-167.0
57,-166.66666666666666
58,-167.33333333333334
59,-168.0
60,-169.0
61,-169.0
62,-169.0
63,-167.66666666666666
64,-166.66666666666666
65,-166.33333333333334
66,-167.0
67,-167.66666666666666
68,-167.66666666666666
69,-167.66666666666666
70,-167.66666666666666
71,-168.0
72,-168.0
73,-168.33333333333334
74,-168.33333333333334
75,-168.0
76,-167.66666666666666
77,-167.66666666666666
78,-169.33333333333334
79,-173.33333333333334
80,-173.66666666666666
81,-175.33333333333334
82,-172.33333333333334
83,-174.66666666666666
84,-173.66666666666666
85,-175.33333333333334
86,-175.0
87,-175.0
88,-175.0
89,-174.33333333333334
90,-175.66666666666666
91,-175.33333333333334
92,-175.66666666666666
93,-174.66666666666666
94,-173.66666666666666
95,-173.0
96,-172.33333333333334
97,-173.0
98,-173.0
99,-173.0
100,-173.33333333333334
101,-174.0
102,-174.0
103,-173.66666666666666
104,-173.66666666666666
105,-174.0
106,-174.0
107,-174.0
108,-174.0
109,-173.33333333333334
110,-172.66666666666666
111,-172.0
112,-172.66666666666666
113,-173.33333333333334
114,-174.33333333333334
115,-174.33333333333334
116,-173.66666666666666
117,-172.0
118,-171.33333333333334
119,-170.66666666666666
120,-170.66666666666666
121,-170.66666666666666
122,-172.0
123,-172.66666666666666
124,-173.33333333333334
125,-174.0
126,-176.0
127,-177.66666666666666
128,-178.33333333333334
129,-177.0
130,-175.0
131,-173.33333333333334
132,-172.0
133,-171.33333333333334
134,-170.33333333333334
135,-170.33333333333334
136,-170.0
137,-169.0
138,-167.66666666666666
139,-166.66666666666666
140,-167.66666666666666
141,-169.33333333333334
142,-171.33333333333334
143,-171.66666666666666
144,-171.0
145,-169.0
146,-167.66666666666666
147,-166.0
148,-167.0
149,-168.0
150,-168.0
151,-166.66666666666666
152,-166.66666666666666
153,-168.0
154,-168.66666666666666
155,-167.66666666666666
156,-167.33333333333334
157,-167.66666666666666
158,-169.0
159,-170.0
160,-170.33333333333334
161,-170.0
162,-169.66666666666666
163,-169.33333333333334
164,-169.0
165,-169.66666666666666
166,-170.0
167,-170.33333333333334
168,-170.33333333333334
169,-170.0
170,-171.33333333333334
171,-170.33333333333334
172,-172.33333333333334
173,-170.33333333333334
174,-172.0
175,-170.0
176,-171.66666666666666
177,-170.66666666666666
178,-171.0
179,-170.66666666666666
180,-171.33333333333334
181,-172.0
182,-173.0
183,-174.0
184,-173.66666666666666
185,-172.0
186,-170.33333333333334
187,-170.66666666666666
188,-171.33333333333334
189,-171.33333333333334
190,-170.66666666666666
191,-170.0
192,-170.0
