,0
0,-14.727
1,-14.727
2,-14.854999999999997
3,-14.854999999999997
4,-14.932666666666664
5,-14.854999999999999
6,-14.932666666666668
7,-14.932666666666668
8,-14.932666666666668
9,-14.932666666666668
10,-14.932666666666668
11,-14.932666666666668
12,-14.932666666666668
13,-14.932666666666668
14,-14.905
15,-14.905
16,-14.905
17,-14.905
18,-14.905
19,-14.905
20,-14.905
21,-14.905
22,-14.905
23,-14.94
24,-14.94
25,-14.94
26,-14.94
27,-14.491
28,-14.491
29,-14.491
30,-15.162
31,-15.162
32,-15.162
33,-15.162
34,-14.899333333333331
35,-14.899333333333331
36,-14.899333333333331
37,-14.899333333333331
38,-15.103666666666664
39,-14.899333333333333
40,-15.103666666666667
41,-15.103666666666667
42,-14.77
43,-14.77
44,-14.502
45,-14.502
46,-14.86
47,-14.86
48,-14.723999999999998
49,-14.723999999999998
50,-14.770666666666665
51,-14.723999999999998
52,-14.770666666666665
53,-15.1
54,-15.1
55,-16.012
56,-16.012
57,-15.757
58,-15.757
59,-15.616333333333332
60,-16.118
61,-15.616333333333332
62,-15.616333333333332
63,-15.16
64,-15.22
65,-15.22
66,-15.497
67,-15.497
68,-14.846
69,-14.846
70,-14.846
71,-14.738
72,-14.738
73,-14.738
74,-14.738
75,-15.256
76,-15.256
77,-15.054666666666668
78,-14.959333333333333
79,-15.054666666666668
80,-14.959333333333333
81,-14.959333333333333
82,-14.268333333333333
83,-13.984
84,-14.268333333333333
85,-14.268333333333333
86,-14.268333333333333
87,-13.581
88,-13.581
89,-13.581
90,-14.624
91,-14.624
92,-14.624
93,-14.624
94,-14.124
95,-14.124
96,-14.124
97,-14.124
98,-15.609
99,-15.609
100,-15.609
101,-15.609
102,-15.609
103,-15.609
104,-14.981
105,-14.981
106,-14.981
107,-14.981
108,-14.981
109,-14.537
110,-14.537
111,-14.537
112,-14.537
113,-14.537
114,-14.537
115,-14.639
116,-14.639
117,-14.639
118,-14.639
119,-14.639
120,-14.639
121,-14.639
122,-14.639
