,0
0,67.907
1,67.907
2,67.907
3,67.907
4,67.907
5,67.907
6,67.907
7,67.907
8,67.907
9,67.907
10,67.907
11,67.907
12,67.907
13,67.907
14,67.907
15,67.907
16,67.907
17,67.907
18,67.907
19,67.907
20,67.907
21,67.907
22,67.907
23,67.907
24,67.907
25,67.907
26,67.907
27,69.179
28,69.179
29,69.179
30,69.179
31,69.179
32,69.179
33,69.179
34,69.179
35,69.179
36,69.179
37,69.179
38,69.179
39,69.179
40,69.179
41,69.179
42,69.179
43,69.179
44,69.179
45,69.179
46,69.179
47,69.179
48,69.179
49,69.179
50,69.179
51,69.179
52,69.179
53,69.179
54,69.179
55,68.637
56,68.415
57,68.637
58,68.415
59,68.415
60,69.094
61,69.094
62,69.094
63,68.075
64,68.075
65,68.075
66,68.075
67,68.075
68,69.03733333333334
69,69.03733333333334
70,68.984
71,69.03733333333334
72,69.03733333333334
73,68.36666666666666
74,68.55
75,68.36666666666666
76,68.36666666666666
77,68.875
78,68.228
79,68.228
80,67.878
81,67.878
82,67.878
83,67.878
84,67.878
85,67.878
86,67.878
87,67.878
88,67.878
89,67.878
90,67.878
91,67.878
92,67.878
93,67.878
94,67.878
95,67.878
96,67.878
97,67.878
98,67.878
99,67.837
100,67.837
101,67.837
102,67.837
103,67.837
104,67.837
105,67.837
106,67.837
107,67.837
108,67.837
109,67.837
110,67.837
111,67.837
112,67.837
113,67.837
114,67.837
115,67.837
116,67.837
117,68.592
118,68.592
119,68.592
120,68.294
121,68.294
122,68.294
123,68.41366666666666
124,68.41366666666666
125,68.474
126,68.41366666666666
127,68.474
128,68.474
129,68.011
130,68.011
131,68.011
132,68.011
133,68.011
134,68.366
135,68.366
136,68.366
137,68.366
138,68.366
139,68.366
140,68.366
141,68.366
142,68.366
143,68.366
144,68.366
145,68.366
146,68.366
147,68.366
148,68.366
149,68.759
150,68.759
151,68.759
152,68.759
153,68.759
154,68.759
155,68.759
156,68.759
157,68.759
158,68.759
159,68.759
160,69.357
161,69.357
162,69.357
163,68.666
164,68.666
165,68.877
166,68.877
167,68.877
168,68.877
169,68.877
170,68.877
171,68.877
172,68.877
173,68.8
174,68.8
175,68.8
176,68.8
177,68.8
178,68.8
179,68.8
180,68.8
181,68.8
182,68.8
183,68.8
184,68.8
185,68.8
186,68.8
187,68.8
188,68.8
189,68.8
190,68.8
191,68.8
192,68.8
193,68.8
194,68.8
195,68.197
196,68.197
197,68.197
198,68.197
199,68.197
200,68.197
201,68.197
202,68.197
203,68.197
204,68.197
205,68.197
206,68.197
207,68.197
208,68.197
209,68.197
210,68.197
211,68.197
