,0
0,-203.66666666666666
1,-202.66666666666666
2,-203.66666666666666
3,-202.66666666666666
4,-203.66666666666666
5,-205.33333333333334
6,-205.66666666666666
7,-209.0
8,-209.33333333333334
9,-209.33333333333334
10,-206.66666666666666
11,-206.0
12,-206.0
13,-206.0
14,-205.33333333333334
15,-210.33333333333334
16,-210.66666666666666
17,-217.33333333333334
18,-218.33333333333334
19,-224.0
20,-224.0
21,-224.0
22,-206.0
23,-206.0
24,-206.0
25,-205.0
26,-206.0
27,-205.0
28,-206.0
29,-205.66666666666666
30,-202.66666666666666
31,-199.66666666666666
32,-198.33333333333334
33,-198.33333333333334
34,-214.0
35,-214.0
36,-210.0
37,-214.0
38,-210.0
39,-210.33333333333334
40,-210.33333333333334
41,-225.0
42,-223.33333333333334
43,-225.0
44,-223.33333333333334
45,-223.33333333333334
46,-209.0
47,-209.0
48,-211.33333333333334
49,-209.0
50,-211.33333333333334
51,-211.66666666666666
52,-208.66666666666666
53,-205.0
54,-203.66666666666666
55,-203.0
56,-202.33333333333334
57,-202.33333333333334
58,-202.33333333333334
59,-203.33333333333334
60,-211.66666666666666
61,-220.66666666666666
62,-228.0
63,-220.0
64,-212.33333333333334
65,-206.0
66,-204.0
67,-204.66666666666666
68,-203.33333333333334
69,-204.33333333333334
70,-201.33333333333334
71,-201.0
72,-199.33333333333334
73,-200.66666666666666
74,-202.66666666666666
75,-202.66666666666666
76,-215.0
77,-215.0
78,-212.0
79,-212.0
80,-212.33333333333334
81,-209.33333333333334
82,-212.33333333333334
83,-209.33333333333334
84,-209.33333333333334
85,-212.33333333333334
86,-214.66666666666666
87,-226.33333333333334
88,-237.0
89,-244.33333333333334
90,-244.33333333333334
91,-244.33333333333334
92,-244.33333333333334
93,-244.33333333333334
94,-244.33333333333334
95,-244.33333333333334
96,-244.33333333333334
97,-244.33333333333334
98,-210.0
99,-210.0
100,-210.0
101,-210.0
102,-210.0
103,-210.0
104,-210.0
105,-210.0
106,-239.0
107,-239.0
108,-231.66666666666666
109,-233.33333333333334
110,-231.66666666666666
111,-233.33333333333334
112,-235.0
113,-235.66666666666666
114,-236.66666666666666
115,-226.33333333333334
116,-224.33333333333334
117,-226.0
118,-234.0
119,-224.33333333333334
120,-214.0
121,-204.66666666666666
122,-206.66666666666666
123,-217.66666666666666
124,-217.66666666666666
125,-205.66666666666666
126,-205.66666666666666
127,-206.66666666666666
128,-205.66666666666666
129,-206.66666666666666
130,-206.0
131,-206.0
132,-205.66666666666666
133,-208.0
134,-207.0
135,-221.66666666666666
136,-233.66666666666666
137,-250.33333333333334
138,-250.33333333333334
139,-253.0
140,-253.0
141,-253.0
142,-253.0
143,-248.0
144,-248.0
145,-248.0
146,-248.0
147,-249.0
148,-246.0
149,-246.0
150,-246.0
151,-222.66666666666666
152,-222.66666666666666
153,-220.66666666666666
154,-222.66666666666666
155,-220.66666666666666
156,-223.33333333333334
157,-226.66666666666666
158,-224.0
159,-227.33333333333334
160,-232.33333333333334
161,-238.33333333333334
162,-238.66666666666666
163,-233.66666666666666
164,-229.66666666666666
165,-229.66666666666666
166,-212.33333333333334
167,-218.0
168,-212.33333333333334
169,-218.0
170,-226.66666666666666
171,-226.66666666666666
172,-215.66666666666666
173,-210.66666666666666
174,-215.66666666666666
175,-210.66666666666666
176,-207.33333333333334
177,-200.33333333333334
178,-200.0
179,-200.33333333333334
180,-209.33333333333334
181,-223.0
182,-238.66666666666666
183,-242.33333333333334
184,-240.66666666666666
185,-239.33333333333334
186,-240.33333333333334
187,-243.66666666666666
188,-240.66666666666666
189,-242.0
190,-241.0
191,-234.0
192,-231.0
193,-229.66666666666666
194,-229.66666666666666
195,-206.0
196,-203.33333333333334
197,-206.0
198,-203.33333333333334
199,-202.0
200,-200.0
201,-201.0
202,-203.0
203,-203.66666666666666
204,-202.0
205,-202.66666666666666
206,-203.0
207,-210.33333333333334
208,-209.0
209,-209.0
210,-200.66666666666666
211,-198.0
212,-196.66666666666666
213,-196.33333333333334
214,-196.33333333333334
215,-194.33333333333334
216,-196.33333333333334
217,-201.33333333333334
218,-212.66666666666666
219,-222.0
220,-224.0
221,-222.0
222,-215.33333333333334
223,-215.33333333333334
224,-206.33333333333334
225,-213.66666666666666
226,-206.33333333333334
227,-213.66666666666666
228,-217.66666666666666
229,-218.66666666666666
230,-214.66666666666666
231,-210.66666666666666
232,-208.33333333333334
233,-205.33333333333334
234,-206.33333333333334
235,-207.66666666666666
236,-208.33333333333334
237,-208.33333333333334
238,-209.33333333333334
239,-212.33333333333334
240,-210.0
241,-206.66666666666666
242,-202.0
243,-201.66666666666666
244,-202.33333333333334
245,-205.66666666666666
246,-208.0
247,-208.33333333333334
248,-207.33333333333334
249,-206.0
250,-205.33333333333334
251,-204.66666666666666
252,-203.66666666666666
253,-202.66666666666666
254,-202.0
255,-202.0
256,-204.0
257,-203.66666666666666
258,-203.0
259,-203.33333333333334
260,-204.66666666666666
261,-207.33333333333334
262,-206.33333333333334
263,-206.0
264,-204.33333333333334
265,-206.66666666666666
266,-203.33333333333334
267,-204.33333333333334
268,-202.33333333333334
269,-204.33333333333334
270,-202.0
271,-200.0
272,-199.33333333333334
273,-202.33333333333334
274,-203.0
275,-203.66666666666666
276,-201.66666666666666
277,-201.33333333333334
278,-201.66666666666666
279,-203.0
280,-211.33333333333334
281,-212.66666666666666
282,-214.66666666666666
283,-209.0
284,-208.33333333333334
285,-203.66666666666666
286,-201.0
287,-198.33333333333334
288,-200.33333333333334
289,-201.0
290,-202.66666666666666
291,-201.66666666666666
292,-201.66666666666666
293,-201.66666666666666
294,-201.33333333333334
295,-200.66666666666666
296,-199.33333333333334
297,-199.0
298,-199.66666666666666
299,-200.33333333333334
300,-199.0
301,-198.0
302,-197.33333333333334
303,-198.33333333333334
304,-197.66666666666666
305,-197.33333333333334
306,-197.66666666666666
307,-198.33333333333334
308,-199.0
309,-199.33333333333334
310,-198.66666666666666
311,-198.66666666666666
312,-197.33333333333334
313,-197.0
314,-195.33333333333334
315,-193.66666666666666
316,-193.0
317,-192.33333333333334
318,-192.33333333333334
319,-191.33333333333334
320,-190.66666666666666
321,-191.66666666666666
322,-193.66666666666666
323,-196.66666666666666
324,-198.66666666666666
325,-200.0
326,-200.33333333333334
327,-200.33333333333334
328,-200.66666666666666
329,-200.66666666666666
330,-200.66666666666666
