,0
0,-18.13
1,-18.13
2,-18.13
3,-18.13
4,-18.13
5,-18.13
6,-18.13
7,-18.13
8,-18.13
9,-18.13
10,-18.13
11,-18.13
12,-18.13
13,-18.13
14,-18.13
15,-18.13
16,-18.13
17,-18.13
18,-18.13
19,-18.13
20,-18.13
21,-18.13
22,-18.13
23,-18.13
24,-18.13
25,-18.13
26,-18.13
27,-18.13
28,-18.13
29,-18.13
30,-18.13
31,-18.13
32,-18.13
33,-18.13
34,-18.13
35,-18.13
36,-18.13
37,-18.13
38,-18.13
39,-18.13
40,-18.13
41,-18.13
42,-18.13
43,-18.13
44,-18.13
45,-18.13
46,-18.13
47,-18.13
48,-18.13
49,-18.13
50,-18.13
51,-18.13
52,-18.13
53,-18.13
54,-18.13
55,-18.13
56,-18.13
57,-18.13
58,-18.13
59,-18.13
60,-18.13
61,-18.13
62,-18.13
63,-18.13
64,-18.13
65,-18.13
66,-18.13
67,-18.13
68,-18.13
69,-18.13
70,-18.13
71,-18.13
72,-18.13
73,-18.13
74,-18.13
75,-18.13
76,-18.13
77,-18.13
78,-18.13
79,-18.13
80,-18.13
81,-18.13
82,-18.13
83,-18.13
84,-18.13
85,-18.13
86,-18.13
87,-18.13
88,-18.13
89,-18.13
90,-18.13
91,-18.13
92,-18.13
93,-18.13
94,-18.13
95,-18.13
96,-18.13
97,-18.13
98,-18.13
99,-18.13
100,-18.13
101,-18.13
102,-18.13
103,-18.13
104,-18.13
105,-18.13
106,-18.13
107,-18.13
108,-18.13
109,-18.13
110,-18.13
111,-18.13
112,-18.13
113,-18.13
114,-18.13
115,-18.13
116,-18.13
117,-18.683
118,-18.683
119,-18.683
120,-18.683
121,-18.683
122,-18.683
123,-18.683
124,-18.683
125,-18.683
126,-18.683
127,-18.683
128,-18.683
129,-18.683
130,-18.683
131,-18.683
132,-18.683
133,-18.683
134,-18.683
135,-18.683
136,-18.683
137,-18.683
138,-18.683
139,-18.683
140,-18.683
141,-18.683
142,-18.683
143,-18.683
144,-18.683
145,-18.683
146,-18.683
147,-18.683
148,-18.683
149,-18.683
150,-18.683
151,-18.683
152,-18.683
153,-18.683
154,-18.683
155,-18.683
156,-18.683
157,-18.683
158,-18.683
159,-18.683
160,-18.683
161,-18.683
162,-18.683
163,-18.683
164,-18.683
165,-18.683
166,-18.683
167,-18.683
168,-18.683
169,-18.683
170,-18.683
171,-18.683
172,-18.683
173,-18.683
174,-18.683
175,-18.683
176,-18.683
177,-18.683
178,-18.683
179,-18.683
180,-18.683
181,-18.683
182,-18.683
183,-18.683
184,-18.683
185,-18.683
186,-18.683
187,-18.683
188,-18.683
189,-18.683
190,-18.683
191,-18.683
192,-18.683
193,-18.683
194,-18.683
195,-18.683
196,-18.683
197,-18.683
198,-18.683
199,-18.683
200,-18.683
201,-18.683
202,-18.683
203,-18.683
204,-18.683
205,-18.683
206,-18.683
207,-18.683
208,-18.683
209,-18.683
210,-18.683
211,-18.683
212,-18.683
213,-18.683
214,-18.683
215,-18.683
216,-18.683
217,-18.683
218,-18.683
219,-18.683
220,-18.683
221,-18.683
222,-18.683
223,-18.683
224,-18.683
225,-18.683
226,-18.683
227,-17.879
228,-17.879
229,-17.879
230,-17.879
231,-17.879
232,-17.879
233,-17.879
234,-17.879
235,-17.879
236,-17.879
237,-17.879
238,-17.879
239,-17.879
240,-17.879
241,-17.879
242,-17.879
243,-17.879
244,-17.879
245,-19.889
246,-19.889
247,-19.889
248,-19.889
249,-15.947
250,-15.947
251,-19.889
252,-19.889
253,-19.889
254,-19.889
255,-19.889
256,-19.889
257,-19.889
258,-19.889
259,-19.889
260,-19.889
261,-19.889
262,-19.889
263,-19.889
264,-19.889
265,-19.889
266,-19.889
267,-19.889
268,-19.889
269,-19.889
270,-19.889
271,-19.889
272,-19.889
273,-19.889
274,-19.889
275,-19.889
276,-19.889
277,-19.889
278,-19.889
279,-19.889
280,-19.889
281,-19.889
282,-19.889
283,-19.889
284,-19.889
285,-19.889
286,-19.889
287,-19.889
288,-19.889
289,-19.889
290,-19.889
291,-19.889
292,-19.889
293,-19.889
294,-19.889
