,0
0,-79.33333333333333
1,-79.0
2,-79.33333333333333
3,-79.0
4,-79.0
5,-78.0
6,-77.33333333333333
7,-76.66666666666667
8,-76.66666666666667
9,-77.33333333333333
10,-77.66666666666667
11,-78.33333333333333
12,-79.0
13,-79.33333333333333
14,-79.33333333333333
15,-79.33333333333333
16,-80.0
17,-80.0
18,-80.0
19,-79.66666666666667
20,-80.0
21,-80.0
22,-80.0
23,-80.33333333333333
24,-81.0
25,-81.33333333333333
26,-80.66666666666667
27,-80.33333333333333
28,-80.33333333333333
29,-81.0
30,-81.0
31,-80.66666666666667
32,-80.0
33,-80.0
34,-79.0
35,-78.66666666666667
36,-77.66666666666667
37,-79.0
38,-79.0
39,-79.33333333333333
40,-79.0
41,-79.66666666666667
42,-80.66666666666667
43,-82.33333333333333
44,-83.0
45,-81.66666666666667
46,-79.33333333333333
47,-78.0
48,-78.0
49,-78.33333333333333
50,-78.33333333333333
51,-79.33333333333333
52,-81.66666666666667
53,-80.66666666666667
54,-78.66666666666667
55,-74.66666666666667
56,-74.0
57,-73.66666666666667
58,-74.33333333333333
59,-75.0
60,-75.0
61,-74.33333333333333
62,-73.66666666666667
63,-73.33333333333333
64,-73.0
65,-73.0
66,-73.0
67,-73.33333333333333
68,-73.0
69,-72.33333333333333
70,-72.0
71,-72.0
72,-72.33333333333333
73,-72.33333333333333
74,-72.33333333333333
75,-72.33333333333333
76,-72.33333333333333
77,-71.66666666666667
78,-72.33333333333333
79,-72.0
80,-73.33333333333333
81,-73.33333333333333
82,-74.0
83,-74.0
84,-73.66666666666667
85,-73.66666666666667
86,-73.33333333333333
87,-73.33333333333333
88,-72.66666666666667
89,-72.33333333333333
90,-72.33333333333333
91,-72.0
92,-72.0
93,-72.0
94,-72.33333333333333
95,-72.66666666666667
96,-72.33333333333333
97,-72.33333333333333
98,-71.66666666666667
99,-72.0
100,-72.0
101,-72.0
102,-71.66666666666667
103,-71.33333333333333
104,-71.66666666666667
105,-73.0
106,-74.0
107,-75.0
108,-74.33333333333333
109,-74.33333333333333
110,-74.0
111,-73.33333333333333
112,-72.66666666666667
113,-72.0
114,-71.66666666666667
115,-71.33333333333333
116,-71.33333333333333
117,-71.33333333333333
118,-71.66666666666667
119,-71.66666666666667
120,-72.33333333333333
121,-74.0
122,-75.66666666666667
123,-77.0
124,-77.0
125,-77.0
126,-76.66666666666667
127,-76.33333333333333
128,-76.0
129,-75.66666666666667
130,-75.0
131,-74.33333333333333
132,-74.33333333333333
133,-74.33333333333333
134,-74.33333333333333
135,-74.66666666666667
136,-75.0
137,-75.66666666666667
138,-75.33333333333333
139,-75.33333333333333
140,-74.66666666666667
141,-74.33333333333333
