,0
0,-74.66666666666667
1,-74.33333333333333
2,-74.66666666666667
3,-74.33333333333333
4,-74.66666666666667
5,-76.0
6,-77.33333333333333
7,-77.66666666666667
8,-76.33333333333333
9,-76.66666666666667
10,-76.33333333333333
11,-76.33333333333333
12,-75.66666666666667
13,-74.33333333333333
14,-75.0
15,-74.0
16,-74.33333333333333
17,-73.0
18,-72.66666666666667
19,-71.66666666666667
20,-72.33333333333333
21,-72.66666666666667
22,-74.0
23,-72.66666666666667
24,-72.66666666666667
25,-72.66666666666667
26,-72.66666666666667
27,-72.66666666666667
28,-72.66666666666667
29,-72.66666666666667
30,-72.66666666666667
31,-72.66666666666667
32,-72.66666666666667
33,-72.66666666666667
34,-72.66666666666667
35,-72.66666666666667
36,-72.66666666666667
37,-72.66666666666667
38,-72.66666666666667
39,-72.66666666666667
40,-72.66666666666667
41,-72.66666666666667
42,-72.66666666666667
43,-72.66666666666667
44,-156.0
45,-156.0
46,-156.0
47,-156.0
48,-156.0
49,-156.0
50,-156.0
51,-156.0
52,-156.0
53,-156.0
54,-156.0
55,-156.0
56,-156.0
57,-156.0
58,-156.0
59,-156.0
60,-156.0
61,-156.0
62,-156.0
63,-156.0
64,-156.0
65,-140.0
66,-141.33333333333334
67,-140.0
68,-141.33333333333334
69,-139.33333333333334
70,-133.33333333333334
71,-130.33333333333334
72,-131.33333333333334
73,-134.0
74,-136.0
75,-137.66666666666666
76,-137.33333333333334
77,-137.0
78,-136.66666666666666
79,-137.66666666666666
80,-138.33333333333334
81,-139.66666666666666
82,-137.33333333333334
83,-138.66666666666666
84,-135.0
85,-136.33333333333334
86,-135.0
87,-136.33333333333334
88,-135.0
89,-134.33333333333334
90,-135.33333333333334
91,-136.0
92,-136.33333333333334
93,-136.33333333333334
94,-136.0
95,-134.66666666666666
96,-132.66666666666666
97,-132.0
98,-131.33333333333334
99,-131.0
100,-129.0
101,-124.66666666666667
102,-121.66666666666667
103,-121.0
104,-123.66666666666667
105,-126.66666666666667
106,-130.0
107,-134.33333333333334
108,-137.66666666666666
109,-140.33333333333334
110,-137.66666666666666
111,-134.33333333333334
112,-128.33333333333334
113,-122.33333333333333
114,-122.0
115,-122.33333333333333
116,-127.33333333333333
117,-127.0
118,-129.33333333333334
119,-132.33333333333334
120,-131.33333333333334
121,-126.66666666666667
122,-123.0
123,-126.0
124,-129.66666666666666
125,-131.33333333333334
126,-133.66666666666666
127,-136.66666666666666
128,-141.33333333333334
129,-140.33333333333334
130,-137.33333333333334
131,-133.33333333333334
132,-130.33333333333334
133,-130.0
134,-132.0
135,-133.0
136,-132.0
137,-129.0
138,-129.0
139,-131.66666666666666
140,-132.33333333333334
141,-131.33333333333334
142,-129.66666666666666
143,-128.66666666666666
144,-128.0
145,-127.66666666666667
146,-128.33333333333334
147,-128.66666666666666
148,-128.33333333333334
149,-127.33333333333333
150,-127.0
151,-127.33333333333333
