,0
0,-132.0
1,-132.0
2,-132.0
3,-132.0
4,-132.0
5,-132.0
6,-132.0
7,-132.0
8,-132.0
9,-132.0
10,-132.0
11,-132.0
12,-132.0
13,-132.0
14,-132.33333333333334
15,-132.66666666666666
16,-132.66666666666666
17,-132.0
18,-131.33333333333334
19,-130.66666666666666
20,-131.0
21,-131.33333333333334
22,-130.33333333333334
23,-129.0
24,-127.33333333333333
25,-128.33333333333334
26,-127.66666666666667
27,-127.66666666666667
28,-126.66666666666667
29,-126.66666666666667
30,-126.0
31,-126.0
32,-127.33333333333333
33,-129.33333333333334
34,-130.66666666666666
35,-129.0
36,-127.66666666666667
37,-125.33333333333333
38,-127.66666666666667
39,-130.33333333333334
40,-133.0
41,-132.66666666666666
42,-132.33333333333334
43,-133.66666666666666
44,-134.66666666666666
45,-134.33333333333334
46,-133.33333333333334
47,-131.66666666666666
48,-132.66666666666666
49,-134.0
50,-134.66666666666666
51,-133.0
52,-131.0
53,-131.0
54,-130.66666666666666
55,-130.66666666666666
56,-130.66666666666666
57,-131.0
58,-131.0
59,-131.0
60,-131.0
61,-131.0
62,-131.0
63,-130.66666666666666
64,-130.33333333333334
65,-130.0
66,-130.0
67,-130.33333333333334
68,-130.33333333333334
69,-130.66666666666666
70,-130.66666666666666
71,-130.66666666666666
72,-130.66666666666666
73,-130.66666666666666
74,-131.0
