,0
0,-119.0
1,-119.0
2,-119.0
3,-119.0
4,-119.0
5,-119.0
6,-118.66666666666667
7,-118.66666666666667
8,-118.66666666666667
9,-119.0
10,-119.0
11,-119.0
12,-119.33333333333333
13,-119.33333333333333
14,-119.33333333333333
15,-119.0
16,-119.33333333333333
17,-119.66666666666667
18,-120.0
19,-120.0
20,-120.0
21,-121.66666666666667
22,-124.0
23,-129.0
24,-130.33333333333334
25,-133.33333333333334
26,-134.0
27,-134.0
28,-134.33333333333334
29,-134.0
30,-133.66666666666666
31,-134.0
32,-133.33333333333334
33,-134.33333333333334
34,-134.0
35,-133.66666666666666
36,-133.66666666666666
37,-132.0
38,-131.33333333333334
39,-131.33333333333334
40,-131.0
41,-131.0
42,-131.0
43,-131.0
44,-131.0
45,-131.0
46,-131.33333333333334
47,-131.33333333333334
48,-131.66666666666666
49,-131.66666666666666
50,-132.0
51,-132.0
52,-131.66666666666666
53,-131.33333333333334
54,-131.0
55,-131.33333333333334
56,-131.66666666666666
57,-132.0
58,-132.0
59,-132.0
60,-132.0
61,-132.0
62,-132.0
