,0
0,-148.0
1,-148.0
2,-148.0
3,-148.0
4,-161.66666666666666
5,-161.66666666666666
6,-168.33333333333334
7,-161.66666666666666
8,-168.33333333333334
9,-170.0
10,-168.66666666666666
11,-167.66666666666666
12,-167.66666666666666
13,-168.0
14,-168.0
15,-168.66666666666666
16,-169.0
17,-170.0
18,-170.33333333333334
19,-158.66666666666666
20,-152.66666666666666
21,-135.66666666666666
22,-131.33333333333334
23,-132.33333333333334
24,-144.66666666666666
25,-155.33333333333334
26,-145.66666666666666
27,-136.33333333333334
28,-136.33333333333334
29,-151.0
30,-151.33333333333334
31,-151.0
32,-151.33333333333334
33,-151.66666666666666
34,-151.66666666666666
35,-123.33333333333333
36,-120.66666666666667
37,-123.33333333333333
38,-120.66666666666667
39,-123.0
40,-126.66666666666667
41,-126.0
42,-125.66666666666667
43,-122.33333333333333
44,-120.33333333333333
45,-115.0
46,-113.33333333333333
47,-112.33333333333333
48,-112.66666666666667
49,-111.66666666666667
50,-111.66666666666667
51,-120.0
52,-121.66666666666667
53,-120.0
54,-121.66666666666667
55,-123.66666666666667
56,-124.33333333333333
57,-119.33333333333333
58,-115.66666666666667
59,-118.66666666666667
60,-121.0
61,-121.66666666666667
62,-116.33333333333333
63,-113.0
64,-113.0
65,-118.66666666666667
66,-125.33333333333333
67,-126.33333333333333
68,-121.66666666666667
69,-118.66666666666667
70,-121.66666666666667
71,-122.0
72,-122.0
73,-128.0
74,-124.33333333333333
75,-128.0
76,-124.33333333333333
77,-121.0
78,-114.66666666666667
79,-114.66666666666667
80,-130.0
81,-145.0
82,-145.0
83,-119.0
84,-138.0
85,-138.0
86,-122.0
87,-122.0
88,-116.66666666666667
89,-125.33333333333333
90,-116.66666666666667
91,-125.33333333333333
92,-129.0
93,-125.0
94,-120.0
95,-117.33333333333333
96,-117.33333333333333
97,-123.0
98,-123.0
99,-112.66666666666667
100,-110.66666666666667
101,-112.66666666666667
102,-110.66666666666667
103,-110.0
104,-116.0
105,-120.0
106,-120.0
107,-113.33333333333333
108,-111.33333333333333
109,-111.0
110,-111.0
111,-121.0
112,-121.0
113,-119.0
114,-120.0
115,-119.0
116,-120.0
117,-119.33333333333333
118,-120.66666666666667
119,-122.33333333333333
120,-120.66666666666667
121,-116.33333333333333
122,-116.0
123,-119.33333333333333
124,-122.66666666666667
125,-121.0
126,-117.66666666666667
127,-116.0
128,-116.0
129,-118.33333333333333
130,-119.0
131,-120.0
132,-118.33333333333333
133,-118.66666666666667
134,-119.66666666666667
135,-127.33333333333333
136,-133.66666666666666
137,-131.66666666666666
138,-133.0
139,-134.0
140,-135.66666666666666
141,-128.33333333333334
142,-119.0
143,-117.66666666666667
144,-114.66666666666667
145,-114.33333333333333
146,-113.0
147,-114.66666666666667
148,-113.66666666666667
149,-112.66666666666667
