,0
0,-20.623333333333335
1,-20.794333333333338
2,-20.623333333333335
3,-20.794333333333334
4,-20.794333333333334
5,-20.794333333333334
6,-18.210333333333335
7,-18.210333333333335
8,-19.237
9,-18.210333333333335
10,-19.237
11,-20.240666666666666
12,-20.308333333333334
13,-20.308333333333334
14,-17.41366666666667
15,-18.24066666666667
16,-17.413666666666668
17,-18.240666666666666
18,-19.62633333333333
19,-19.665000000000003
20,-19.60166666666667
21,-19.646333333333335
22,-19.646
23,-19.646
24,-17.71066666666667
25,-18.428
26,-17.710666666666665
27,-18.427999999999997
28,-18.358666666666668
29,-17.723
30,-16.846666666666668
31,-16.846666666666668
32,-14.744666666666669
33,-15.739333333333335
34,-14.744666666666667
35,-15.739333333333335
36,-17.707666666666668
37,-18.28
38,-18.28
39,-18.28
40,-18.0
41,-18.0
42,-18.0
43,-18.0
44,-18.050666666666668
45,-18.050666666666668
46,-18.163666666666668
47,-18.050666666666668
48,-18.163666666666668
49,-17.688666666666666
50,-16.529
51,-16.529
52,-13.699000000000003
53,-13.692000000000002
54,-13.698999999999998
55,-13.692
56,-15.504666666666667
57,-17.393333333333334
58,-17.393333333333334
59,-18.249
60,-18.249
61,-18.249
62,-17.836000000000002
63,-17.836000000000002
64,-17.836000000000002
65,-17.060333333333336
66,-17.836000000000002
67,-17.060333333333332
68,-17.060333333333332
69,-18.144333333333332
70,-18.017666666666667
71,-18.144333333333332
72,-18.017666666666667
73,-18.017666666666667
74,-16.352
75,-17.147
76,-16.352
77,-16.352
78,-14.323333333333332
79,-13.268333333333333
80,-14.323333333333332
81,-13.268333333333333
82,-12.047666666666666
83,-11.673000000000002
84,-11.673000000000002
85,-11.841
86,-11.862
87,-11.841
88,-11.841
89,-11.841
