,0
0,-41.666666666666664
1,-41.0
2,-41.666666666666664
3,-41.0
4,-40.666666666666664
5,-40.666666666666664
6,-40.666666666666664
7,-41.0
8,-41.0
9,-40.666666666666664
10,-40.333333333333336
11,-40.666666666666664
12,-41.333333333333336
13,-41.666666666666664
14,-41.666666666666664
15,-41.333333333333336
16,-41.333333333333336
17,-41.0
18,-41.0
19,-41.0
20,-41.0
21,-41.0
22,-41.0
23,-41.0
24,-40.666666666666664
25,-42.333333333333336
26,-43.666666666666664
27,-45.333333333333336
28,-45.0
29,-45.0
30,-45.333333333333336
31,-45.666666666666664
32,-46.0
33,-46.0
34,-45.666666666666664
35,-45.333333333333336
36,-45.333333333333336
37,-45.666666666666664
38,-45.666666666666664
39,-45.0
40,-44.0
41,-43.0
42,-42.333333333333336
43,-42.0
44,-41.666666666666664
45,-42.0
46,-42.333333333333336
47,-43.0
48,-42.666666666666664
49,-42.333333333333336
50,-42.333333333333336
51,-42.0
52,-41.666666666666664
53,-41.666666666666664
54,-42.0
55,-42.333333333333336
56,-43.333333333333336
57,-45.0
58,-45.333333333333336
59,-44.666666666666664
60,-43.666666666666664
61,-43.666666666666664
62,-43.333333333333336
63,-43.333333333333336
64,-43.333333333333336
65,-43.666666666666664
66,-43.333333333333336
67,-43.333333333333336
68,-42.666666666666664
69,-42.333333333333336
70,-42.0
71,-42.0
72,-42.0
73,-42.0
74,-42.333333333333336
75,-43.0
76,-43.666666666666664
77,-44.0
78,-44.0
79,-45.0
80,-44.666666666666664
81,-44.666666666666664
82,-43.666666666666664
83,-44.0
84,-44.0
85,-43.666666666666664
86,-43.0
87,-42.0
88,-41.333333333333336
89,-41.666666666666664
90,-41.333333333333336
91,-41.333333333333336
92,-41.0
93,-41.666666666666664
94,-42.0
95,-42.333333333333336
96,-42.666666666666664
97,-43.0
98,-43.0
99,-42.666666666666664
100,-42.666666666666664
101,-44.333333333333336
102,-45.0
103,-45.333333333333336
104,-43.666666666666664
105,-43.333333333333336
106,-43.0
107,-43.666666666666664
108,-44.333333333333336
109,-44.333333333333336
110,-43.666666666666664
111,-43.0
112,-43.333333333333336
113,-43.666666666666664
114,-44.0
115,-44.333333333333336
116,-44.666666666666664
117,-45.0
118,-45.0
119,-45.0
120,-45.0
121,-44.333333333333336
122,-43.666666666666664
123,-43.0
124,-42.666666666666664
125,-42.333333333333336
126,-42.0
127,-41.666666666666664
128,-41.333333333333336
129,-41.333333333333336
130,-42.333333333333336
131,-42.666666666666664
132,-42.333333333333336
133,-41.333333333333336
134,-41.666666666666664
135,-41.333333333333336
136,-41.666666666666664
137,-41.666666666666664
138,-41.666666666666664
139,-42.0
140,-42.0
141,-42.0
142,-42.0
143,-41.666666666666664
144,-41.666666666666664
145,-42.0
146,-44.0
147,-44.333333333333336
148,-44.666666666666664
149,-43.333333333333336
150,-42.666666666666664
151,-42.0
152,-41.666666666666664
153,-42.0
154,-42.0
155,-42.0
156,-41.0
157,-41.0
158,-40.666666666666664
159,-41.333333333333336
160,-40.666666666666664
161,-40.0
162,-40.0
163,-40.0
164,-40.333333333333336
165,-40.333333333333336
166,-39.666666666666664
167,-40.333333333333336
168,-41.0
169,-42.666666666666664
170,-43.333333333333336
171,-43.666666666666664
172,-43.666666666666664
173,-43.666666666666664
174,-43.333333333333336
175,-43.333333333333336
176,-42.666666666666664
177,-42.666666666666664
178,-43.0
179,-43.0
180,-43.0
181,-43.0
182,-43.333333333333336
183,-43.666666666666664
184,-43.666666666666664
185,-44.666666666666664
186,-45.333333333333336
187,-46.0
188,-46.0
189,-45.333333333333336
190,-45.333333333333336
191,-45.0
192,-45.333333333333336
193,-45.0
194,-45.0
195,-45.0
196,-45.0
197,-45.0
198,-45.0
199,-44.666666666666664
200,-44.333333333333336
201,-44.666666666666664
202,-44.666666666666664
203,-44.666666666666664
204,-44.333333333333336
205,-44.333333333333336
206,-44.333333333333336
207,-43.666666666666664
208,-43.666666666666664
209,-43.666666666666664
