,0
0,-219.0
1,-219.66666666666666
2,-219.0
3,-219.66666666666666
4,-219.66666666666666
5,-220.0
6,-220.66666666666666
7,-221.0
8,-221.33333333333334
9,-221.66666666666666
10,-221.66666666666666
11,-221.66666666666666
12,-221.33333333333334
13,-221.0
14,-221.33333333333334
15,-221.66666666666666
16,-221.33333333333334
17,-220.66666666666666
18,-221.0
19,-221.0
20,-227.66666666666666
21,-228.66666666666666
22,-227.66666666666666
23,-228.66666666666666
24,-231.33333333333334
25,-231.66666666666666
26,-232.33333333333334
27,-232.33333333333334
28,-232.33333333333334
29,-232.0
30,-232.33333333333334
31,-232.33333333333334
32,-232.0
33,-231.66666666666666
34,-232.0
35,-232.66666666666666
36,-233.0
37,-233.0
38,-233.0
39,-233.0
40,-221.0
41,-220.0
42,-221.0
43,-220.0
44,-219.33333333333334
45,-219.0
46,-219.0
47,-219.66666666666666
48,-220.0
49,-220.0
50,-220.0
51,-220.0
52,-220.33333333333334
53,-220.66666666666666
54,-221.0
55,-224.0
56,-228.33333333333334
57,-226.66666666666666
58,-222.66666666666666
59,-217.66666666666666
60,-219.0
61,-219.66666666666666
62,-220.0
63,-220.0
64,-220.0
65,-220.0
66,-215.33333333333334
67,-211.0
68,-208.0
69,-209.66666666666666
70,-211.0
71,-211.0
72,-210.0
73,-212.66666666666666
74,-211.66666666666666
75,-212.0
76,-210.33333333333334
77,-211.66666666666666
78,-211.66666666666666
79,-210.66666666666666
80,-213.0
81,-213.33333333333334
82,-212.33333333333334
83,-209.0
84,-211.33333333333334
85,-211.33333333333334
86,-211.66666666666666
87,-212.33333333333334
88,-214.33333333333334
89,-215.0
90,-215.33333333333334
91,-215.33333333333334
92,-214.66666666666666
93,-215.66666666666666
94,-216.0
95,-215.0
96,-210.66666666666666
97,-211.66666666666666
98,-213.0
99,-211.33333333333334
100,-214.0
101,-214.66666666666666
102,-216.0
103,-212.66666666666666
104,-215.66666666666666
105,-219.66666666666666
106,-218.33333333333334
107,-216.0
108,-215.0
109,-215.0
110,-215.0
111,-219.0
112,-219.33333333333334
113,-218.0
114,-213.0
115,-214.33333333333334
116,-216.0
117,-217.33333333333334
118,-218.33333333333334
119,-219.66666666666666
120,-220.0
121,-219.33333333333334
122,-219.0
123,-218.66666666666666
124,-219.0
125,-218.66666666666666
126,-218.0
127,-218.33333333333334
128,-219.66666666666666
129,-218.66666666666666
130,-216.0
131,-216.0
132,-214.66666666666666
133,-214.33333333333334
134,-215.0
135,-216.66666666666666
136,-215.33333333333334
137,-209.33333333333334
138,-208.0
139,-213.33333333333334
140,-215.0
141,-215.33333333333334
142,-214.33333333333334
143,-216.66666666666666
144,-218.0
145,-219.66666666666666
146,-217.66666666666666
147,-216.33333333333334
148,-217.33333333333334
149,-217.66666666666666
150,-218.33333333333334
151,-215.66666666666666
152,-217.0
153,-215.66666666666666
154,-217.0
155,-220.33333333333334
156,-220.66666666666666
157,-216.66666666666666
158,-214.33333333333334
159,-216.66666666666666
160,-218.0
161,-218.33333333333334
162,-219.0
163,-220.33333333333334
164,-219.66666666666666
165,-219.33333333333334
166,-219.33333333333334
167,-219.66666666666666
168,-219.0
169,-218.0
170,-217.0
171,-218.0
172,-219.0
173,-220.0
174,-220.33333333333334
175,-220.66666666666666
176,-218.0
177,-215.0
178,-214.0
179,-213.33333333333334
180,-213.0
181,-214.0
182,-216.33333333333334
183,-216.66666666666666
184,-211.66666666666666
185,-210.0
186,-213.33333333333334
187,-216.33333333333334
188,-216.0
189,-214.33333333333334
190,-216.33333333333334
191,-217.33333333333334
192,-216.33333333333334
193,-216.66666666666666
194,-217.66666666666666
195,-218.33333333333334
196,-219.33333333333334
197,-218.0
198,-216.66666666666666
199,-215.33333333333334
200,-215.33333333333334
201,-215.0
202,-216.33333333333334
203,-220.33333333333334
204,-221.0
205,-216.66666666666666
206,-215.0
207,-217.66666666666666
208,-221.0
209,-221.33333333333334
210,-221.33333333333334
211,-221.33333333333334
212,-221.33333333333334
213,-221.33333333333334
214,-221.0
215,-221.0
216,-221.0
217,-220.66666666666666
218,-220.33333333333334
219,-220.0
220,-220.33333333333334
221,-220.33333333333334
222,-220.33333333333334
223,-220.0
224,-220.33333333333334
225,-220.33333333333334
226,-220.66666666666666
227,-220.33333333333334
228,-220.33333333333334
229,-220.0
230,-220.0
231,-220.33333333333334
232,-220.66666666666666
233,-221.0
234,-220.33333333333334
235,-219.66666666666666
236,-219.0
237,-219.0
238,-219.0
239,-219.33333333333334
240,-220.0
241,-220.66666666666666
242,-221.0
243,-221.0
244,-220.0
245,-219.0
246,-218.0
247,-217.66666666666666
248,-217.33333333333334
249,-217.0
250,-217.0
251,-217.0
252,-217.33333333333334
253,-217.66666666666666
254,-218.0
255,-218.66666666666666
256,-219.33333333333334
257,-220.0
258,-220.0
259,-220.0
260,-219.66666666666666
261,-219.33333333333334
262,-219.0
263,-219.0
264,-219.0
265,-218.0
266,-218.0
267,-218.0
268,-219.0
269,-219.33333333333334
270,-219.66666666666666
271,-219.66666666666666
272,-220.0
273,-219.66666666666666
274,-219.66666666666666
275,-220.0
276,-220.0
277,-221.0
278,-220.66666666666666
279,-221.33333333333334
280,-221.0
281,-220.66666666666666
282,-220.33333333333334
283,-219.66666666666666
284,-219.66666666666666
285,-219.66666666666666
286,-220.0
287,-220.0
288,-220.0
