,0
0,-213.66666666666666
1,-217.66666666666666
2,-213.66666666666666
3,-217.66666666666666
4,-218.66666666666666
5,-214.66666666666666
6,-210.66666666666666
7,-208.33333333333334
8,-205.33333333333334
9,-206.33333333333334
10,-207.66666666666666
11,-208.33333333333334
12,-208.33333333333334
13,-209.33333333333334
14,-212.33333333333334
15,-210.0
16,-206.66666666666666
17,-202.0
18,-201.66666666666666
19,-202.33333333333334
20,-205.66666666666666
21,-208.0
22,-208.33333333333334
23,-207.33333333333334
24,-206.0
25,-205.33333333333334
26,-204.66666666666666
27,-203.66666666666666
28,-202.66666666666666
29,-202.0
30,-202.0
31,-204.0
32,-203.66666666666666
33,-203.0
34,-203.33333333333334
35,-204.66666666666666
36,-207.33333333333334
37,-206.33333333333334
38,-206.0
39,-204.33333333333334
40,-206.66666666666666
41,-203.33333333333334
42,-204.33333333333334
43,-202.33333333333334
44,-204.33333333333334
45,-202.0
46,-200.0
47,-199.33333333333334
48,-202.33333333333334
49,-203.0
50,-203.66666666666666
51,-201.66666666666666
52,-201.33333333333334
53,-201.66666666666666
54,-203.0
55,-211.33333333333334
56,-212.66666666666666
57,-214.66666666666666
58,-209.0
59,-208.33333333333334
60,-203.66666666666666
61,-201.0
62,-198.33333333333334
63,-200.33333333333334
64,-201.0
65,-202.66666666666666
66,-201.66666666666666
67,-201.66666666666666
68,-201.66666666666666
69,-201.33333333333334
70,-200.66666666666666
71,-199.33333333333334
72,-199.0
73,-199.66666666666666
74,-200.33333333333334
75,-199.0
76,-198.0
77,-197.33333333333334
78,-198.33333333333334
79,-197.66666666666666
80,-197.33333333333334
81,-197.66666666666666
82,-198.33333333333334
83,-199.0
84,-199.33333333333334
85,-198.66666666666666
86,-198.66666666666666
87,-197.33333333333334
88,-197.0
89,-195.33333333333334
90,-193.66666666666666
91,-193.0
92,-192.33333333333334
93,-192.33333333333334
94,-191.33333333333334
95,-190.66666666666666
96,-191.66666666666666
97,-193.66666666666666
98,-196.66666666666666
99,-198.66666666666666
100,-200.0
101,-200.33333333333334
102,-200.33333333333334
103,-200.66666666666666
104,-200.66666666666666
105,-200.66666666666666
