,0
0,-130.33333333333334
1,-130.66666666666666
2,-130.33333333333334
3,-130.66666666666666
4,-131.0
5,-130.66666666666666
6,-130.33333333333334
7,-130.0
8,-130.0
9,-129.66666666666666
10,-129.66666666666666
11,-129.66666666666666
12,-129.66666666666666
13,-129.33333333333334
14,-128.66666666666666
15,-128.66666666666666
16,-128.66666666666666
17,-129.0
18,-129.0
19,-128.66666666666666
20,-128.33333333333334
21,-127.66666666666667
22,-127.66666666666667
23,-128.0
24,-129.0
25,-129.33333333333334
26,-129.33333333333334
27,-129.0
28,-129.0
29,-129.33333333333334
30,-130.0
31,-130.33333333333334
32,-130.33333333333334
33,-130.0
34,-130.0
35,-130.33333333333334
36,-130.33333333333334
37,-130.33333333333334
38,-129.66666666666666
39,-129.66666666666666
40,-129.66666666666666
41,-130.33333333333334
42,-130.66666666666666
43,-131.0
44,-131.0
45,-131.0
46,-130.66666666666666
47,-130.33333333333334
48,-130.33333333333334
49,-130.66666666666666
50,-130.66666666666666
51,-130.66666666666666
52,-130.66666666666666
53,-132.33333333333334
54,-133.0
55,-133.33333333333334
56,-131.66666666666666
57,-131.33333333333334
58,-130.33333333333334
59,-129.66666666666666
60,-130.0
61,-131.33333333333334
62,-132.66666666666666
63,-132.66666666666666
64,-132.66666666666666
65,-132.0
66,-131.0
67,-130.33333333333334
68,-130.33333333333334
69,-131.66666666666666
70,-132.66666666666666
71,-134.66666666666666
72,-134.66666666666666
73,-131.66666666666666
74,-132.0
75,-131.66666666666666
76,-132.0
77,-132.33333333333334
78,-132.0
79,-132.0
80,-130.33333333333334
81,-130.33333333333334
82,-129.66666666666666
83,-129.33333333333334
84,-129.33333333333334
85,-129.66666666666666
86,-130.33333333333334
87,-130.66666666666666
88,-131.0
89,-131.0
90,-131.33333333333334
91,-131.66666666666666
92,-132.0
93,-132.0
94,-132.0
95,-131.33333333333334
96,-131.0
97,-130.66666666666666
98,-131.0
99,-130.33333333333334
100,-129.33333333333334
101,-128.33333333333334
102,-128.33333333333334
103,-128.66666666666666
104,-129.0
105,-129.0
106,-129.33333333333334
107,-129.33333333333334
108,-129.0
109,-128.33333333333334
110,-128.0
111,-128.0
112,-128.0
113,-127.66666666666667
114,-127.33333333333333
115,-127.0
116,-127.0
117,-129.33333333333334
118,-129.33333333333334
119,-133.0
120,-133.0
121,-129.0
122,-129.66666666666666
123,-129.0
124,-129.66666666666666
125,-129.66666666666666
126,-129.33333333333334
127,-129.33333333333334
128,-129.66666666666666
129,-130.0
130,-129.33333333333334
131,-129.0
132,-129.0
133,-129.66666666666666
134,-130.33333333333334
135,-131.0
136,-131.66666666666666
137,-131.66666666666666
138,-131.33333333333334
139,-130.66666666666666
140,-130.0
141,-129.66666666666666
142,-129.66666666666666
143,-129.66666666666666
144,-129.0
145,-128.66666666666666
146,-128.66666666666666
147,-128.66666666666666
148,-128.66666666666666
149,-128.66666666666666
150,-130.0
151,-130.66666666666666
152,-131.33333333333334
153,-131.33333333333334
154,-131.0
155,-131.0
156,-130.66666666666666
157,-131.0
158,-130.66666666666666
159,-130.33333333333334
160,-129.66666666666666
161,-129.66666666666666
162,-129.66666666666666
163,-130.0
164,-129.33333333333334
165,-129.0
166,-128.66666666666666
167,-128.66666666666666
168,-128.66666666666666
169,-129.0
170,-129.33333333333334
171,-129.33333333333334
172,-129.0
173,-129.0
174,-128.66666666666666
175,-128.33333333333334
176,-128.33333333333334
177,-128.0
178,-127.66666666666667
179,-127.33333333333333
180,-127.66666666666667
181,-128.0
182,-127.33333333333333
183,-126.66666666666667
184,-126.0
185,-126.0
186,-126.33333333333333
187,-126.0
188,-126.0
189,-125.33333333333333
190,-125.66666666666667
191,-125.66666666666667
192,-126.0
193,-125.66666666666667
194,-125.66666666666667
195,-125.66666666666667
196,-126.33333333333333
197,-127.0
198,-127.66666666666667
199,-127.66666666666667
200,-127.33333333333333
201,-127.33333333333333
202,-127.66666666666667
203,-127.66666666666667
204,-127.33333333333333
205,-127.0
206,-127.33333333333333
207,-127.66666666666667
208,-127.66666666666667
209,-127.0
210,-126.0
211,-125.66666666666667
