,0
0,-224.0
1,-232.0
2,-224.0
3,-232.0
4,-231.0
5,-225.66666666666666
6,-225.66666666666666
7,-229.33333333333334
8,-236.33333333333334
9,-239.0
10,-239.66666666666666
11,-240.33333333333334
12,-238.66666666666666
13,-239.33333333333334
14,-238.33333333333334
15,-239.66666666666666
16,-237.33333333333334
17,-238.0
18,-237.0
19,-238.0
20,-237.0
21,-236.66666666666666
22,-236.66666666666666
23,-236.66666666666666
24,-237.33333333333334
25,-236.33333333333334
26,-236.66666666666666
27,-236.0
28,-236.66666666666666
29,-236.33333333333334
30,-236.33333333333334
31,-236.0
32,-236.0
33,-235.66666666666666
34,-235.66666666666666
35,-235.33333333333334
36,-235.66666666666666
37,-235.33333333333334
38,-235.66666666666666
39,-235.66666666666666
40,-236.0
41,-236.0
42,-236.0
43,-235.66666666666666
44,-235.66666666666666
45,-236.0
46,-236.33333333333334
47,-236.33333333333334
48,-236.33333333333334
49,-236.66666666666666
50,-236.66666666666666
51,-236.66666666666666
52,-236.66666666666666
53,-237.0
54,-236.66666666666666
55,-236.33333333333334
56,-235.66666666666666
57,-235.33333333333334
58,-235.0
59,-235.66666666666666
60,-236.33333333333334
61,-237.33333333333334
62,-237.66666666666666
63,-238.33333333333334
64,-238.66666666666666
65,-238.66666666666666
66,-237.66666666666666
67,-237.0
68,-236.66666666666666
69,-237.0
70,-237.33333333333334
71,-237.33333333333334
72,-237.33333333333334
73,-237.0
74,-237.33333333333334
75,-237.66666666666666
76,-238.33333333333334
77,-238.33333333333334
78,-238.0
79,-237.33333333333334
80,-237.33333333333334
81,-237.33333333333334
82,-237.33333333333334
83,-237.0
84,-237.33333333333334
85,-237.66666666666666
86,-237.66666666666666
87,-237.66666666666666
88,-237.33333333333334
89,-237.0
90,-236.0
91,-235.0
92,-235.0
93,-235.33333333333334
94,-235.66666666666666
95,-236.0
96,-236.0
97,-236.33333333333334
98,-235.66666666666666
99,-236.0
100,-236.33333333333334
101,-236.66666666666666
102,-236.0
103,-235.66666666666666
104,-235.66666666666666
105,-236.33333333333334
106,-236.0
107,-236.0
108,-235.66666666666666
109,-235.66666666666666
110,-235.66666666666666
111,-235.66666666666666
112,-236.0
113,-236.0
114,-235.66666666666666
115,-235.66666666666666
116,-236.0
117,-236.33333333333334
118,-235.66666666666666
119,-235.66666666666666
120,-236.33333333333334
121,-237.0
122,-236.66666666666666
123,-235.66666666666666
124,-235.66666666666666
125,-236.66666666666666
126,-236.66666666666666
127,-236.66666666666666
128,-236.66666666666666
129,-236.66666666666666
130,-237.0
131,-235.66666666666666
132,-235.66666666666666
133,-235.0
134,-235.0
135,-234.66666666666666
136,-234.33333333333334
137,-234.33333333333334
138,-234.66666666666666
139,-234.33333333333334
140,-234.0
141,-233.33333333333334
142,-234.0
143,-234.66666666666666
144,-235.33333333333334
145,-235.66666666666666
146,-235.66666666666666
147,-235.66666666666666
148,-235.66666666666666
149,-235.33333333333334
150,-235.66666666666666
151,-235.33333333333334
152,-235.33333333333334
153,-234.66666666666666
154,-234.66666666666666
155,-234.66666666666666
156,-235.33333333333334
157,-235.0
158,-235.0
159,-235.0
160,-235.33333333333334
161,-235.33333333333334
162,-235.0
163,-235.66666666666666
164,-236.0
165,-236.0
166,-235.66666666666666
167,-235.66666666666666
168,-236.0
169,-235.66666666666666
170,-235.66666666666666
171,-235.66666666666666
172,-236.0
173,-236.0
174,-236.0
175,-236.33333333333334
176,-237.0
177,-236.66666666666666
178,-236.0
179,-234.0
180,-233.0
181,-231.33333333333334
182,-231.33333333333334
183,-231.0
184,-230.33333333333334
185,-229.66666666666666
186,-229.0
187,-230.0
188,-229.33333333333334
189,-229.33333333333334
190,-228.66666666666666
191,-229.0
192,-229.0
193,-229.33333333333334
194,-229.66666666666666
195,-229.33333333333334
196,-228.66666666666666
197,-228.0
198,-228.0
199,-227.33333333333334
200,-227.33333333333334
201,-227.66666666666666
202,-228.66666666666666
203,-229.0
204,-229.0
205,-226.33333333333334
206,-226.66666666666666
207,-226.33333333333334
208,-226.66666666666666
209,-226.33333333333334
210,-227.0
211,-227.0
212,-227.66666666666666
213,-227.0
214,-226.66666666666666
215,-225.66666666666666
216,-225.66666666666666
217,-225.33333333333334
218,-225.33333333333334
219,-226.0
220,-225.0
221,-225.0
222,-225.66666666666666
223,-225.66666666666666
224,-225.66666666666666
225,-225.66666666666666
226,-226.66666666666666
227,-226.66666666666666
228,-225.66666666666666
229,-225.66666666666666
230,-226.33333333333334
231,-225.66666666666666
232,-226.33333333333334
233,-227.0
234,-226.66666666666666
235,-227.33333333333334
236,-227.66666666666666
237,-228.0
238,-227.66666666666666
239,-227.33333333333334
240,-227.33333333333334
241,-227.0
242,-226.33333333333334
243,-225.66666666666666
