,0
0,-7.0
1,-7.0
2,-7.0
3,-7.0
4,-7.333333333333333
5,-8.666666666666666
6,-9.333333333333334
7,-9.333333333333334
8,-7.666666666666667
9,-7.333333333333333
10,-7.0
11,-8.333333333333334
12,-8.666666666666666
13,-8.333333333333334
14,-8.0
15,-8.333333333333334
16,-9.666666666666666
17,-11.666666666666666
18,-12.0
19,-12.333333333333334
20,-11.0
21,-11.333333333333334
22,-9.0
23,-6.333333333333333
24,-4.0
25,-3.3333333333333335
26,-4.333333333333333
27,-5.333333333333333
28,-6.0
29,-6.333333333333333
30,-5.666666666666667
31,-5.333333333333333
32,-6.0
33,-7.0
34,-5.0
35,-3.0
36,-4.0
37,-9.333333333333334
38,-12.0
39,-11.333333333333334
40,-10.0
41,-8.666666666666666
42,-6.333333333333333
43,-4.333333333333333
44,-4.333333333333333
45,-4.333333333333333
46,-5.0
47,-4.333333333333333
48,-6.666666666666667
49,-6.666666666666667
50,-7.333333333333333
51,-5.666666666666667
52,-5.333333333333333
53,-4.333333333333333
54,-4.666666666666667
55,-4.0
56,-4.0
57,-3.0
58,-3.3333333333333335
59,-3.3333333333333335
60,-4.0
61,-4.333333333333333
62,-5.0
63,-6.0
64,-6.333333333333333
65,-6.333333333333333
66,-5.0
67,-4.666666666666667
68,-5.0
69,-5.666666666666667
70,-6.333333333333333
71,-6.666666666666667
72,-7.333333333333333
73,-7.0
74,-6.666666666666667
75,-8.0
76,-9.0
77,-10.666666666666666
78,-8.666666666666666
79,-7.666666666666667
80,-6.333333333333333
81,-7.333333333333333
82,-9.0
83,-10.0
84,-11.0
85,-10.333333333333334
86,-10.333333333333334
87,-9.333333333333334
88,-9.333333333333334
89,-9.666666666666666
90,-8.666666666666666
91,-7.0
92,-4.333333333333333
93,-4.333333333333333
94,-5.666666666666667
95,-7.666666666666667
96,-8.666666666666666
97,-7.666666666666667
98,-6.333333333333333
99,-5.666666666666667
100,-6.0
101,-6.666666666666667
102,-7.0
103,-7.0
104,-6.333333333333333
105,-5.666666666666667
106,-6.0
107,-7.333333333333333
108,-8.0
109,-9.0
110,-8.333333333333334
111,-8.0
112,-7.0
113,-7.0
114,-7.0
115,-6.666666666666667
116,-5.666666666666667
117,-5.0
118,-4.666666666666667
119,-5.666666666666667
120,-6.0
121,-7.666666666666667
122,-8.0
123,-8.333333333333334
124,-7.333333333333333
125,-8.0
126,-8.0
127,-8.666666666666666
128,-9.333333333333334
129,-10.0
130,-10.333333333333334
131,-9.0
132,-9.0
133,-8.0
134,-8.333333333333334
135,-7.666666666666667
136,-7.666666666666667
137,-6.666666666666667
138,-6.333333333333333
139,-5.666666666666667
140,-5.666666666666667
141,-6.0
142,-6.666666666666667
143,-6.666666666666667
144,-6.333333333333333
145,-6.333333333333333
146,-7.0
147,-7.666666666666667
148,-7.666666666666667
149,-7.0
150,-6.0
151,-5.333333333333333
152,-5.666666666666667
153,-6.666666666666667
154,-7.666666666666667
155,-7.333333333333333
156,-7.333333333333333
157,-7.0
158,-7.333333333333333
159,-6.666666666666667
160,-7.0
161,-7.333333333333333
162,-8.0
163,-7.666666666666667
164,-7.0
165,-7.333333333333333
166,-7.666666666666667
167,-8.333333333333334
168,-7.666666666666667
169,-7.333333333333333
170,-7.333333333333333
171,-8.0
172,-8.333333333333334
173,-9.0
174,-9.666666666666666
175,-10.0
176,-9.0
177,-9.0
178,-10.333333333333334
179,-12.333333333333334
180,-11.666666666666666
181,-10.0
182,-9.0
183,-9.0
184,-9.333333333333334
185,-9.0
186,-8.0
187,-4.666666666666667
188,-1.6666666666666667
189,0.3333333333333333
190,0.0
191,0.0
192,1.3333333333333333
193,2.3333333333333335
194,2.3333333333333335
195,1.3333333333333333
