,0
0,-276.0
1,-275.6666666666667
2,-276.0
3,-275.6666666666667
4,-276.0
5,-276.0
6,-276.0
7,-275.3333333333333
8,-275.0
9,-274.3333333333333
10,-274.6666666666667
11,-275.0
12,-275.3333333333333
13,-275.0
14,-274.3333333333333
15,-274.3333333333333
16,-274.3333333333333
17,-274.3333333333333
18,-274.3333333333333
19,-274.3333333333333
20,-275.0
21,-275.0
22,-275.0
23,-275.0
24,-275.0
25,-275.0
26,-274.3333333333333
27,-274.3333333333333
28,-274.3333333333333
29,-274.6666666666667
30,-276.6666666666667
31,-278.0
32,-277.3333333333333
33,-274.3333333333333
34,-273.0
35,-274.0
36,-273.6666666666667
37,-273.0
38,-271.6666666666667
39,-272.0
40,-272.0
41,-272.3333333333333
42,-273.0
43,-273.6666666666667
44,-273.6666666666667
45,-275.6666666666667
46,-277.0
47,-279.3333333333333
48,-278.0
49,-278.0
50,-276.6666666666667
51,-276.3333333333333
52,-275.6666666666667
53,-275.0
54,-275.0
55,-274.0
56,-273.6666666666667
57,-272.6666666666667
58,-273.0
59,-273.3333333333333
60,-274.3333333333333
61,-272.0
62,-265.6666666666667
63,-257.6666666666667
64,-252.66666666666666
65,-252.33333333333334
66,-253.66666666666666
67,-254.0
68,-254.0
69,-253.66666666666666
70,-253.33333333333334
71,-253.0
72,-252.0
73,-252.66666666666666
74,-252.66666666666666
75,-253.66666666666666
76,-254.0
77,-254.0
78,-253.66666666666666
79,-253.33333333333334
80,-253.0
81,-252.66666666666666
82,-252.66666666666666
83,-253.0
84,-253.33333333333334
85,-253.33333333333334
86,-253.66666666666666
87,-254.0
88,-253.66666666666666
89,-254.0
90,-255.0
91,-255.66666666666666
92,-255.66666666666666
93,-255.0
94,-255.0
95,-255.0
96,-255.33333333333334
97,-255.66666666666666
98,-255.33333333333334
99,-255.0
100,-254.33333333333334
101,-254.33333333333334
102,-254.0
103,-254.0
104,-253.66666666666666
105,-253.33333333333334
106,-253.0
107,-253.0
108,-253.0
109,-252.66666666666666
110,-252.66666666666666
111,-252.33333333333334
112,-252.33333333333334
113,-252.33333333333334
114,-252.33333333333334
115,-252.66666666666666
116,-252.66666666666666
117,-253.0
118,-252.66666666666666
119,-251.66666666666666
120,-253.0
121,-254.66666666666666
122,-256.3333333333333
123,-256.0
124,-255.33333333333334
125,-255.33333333333334
126,-254.66666666666666
127,-254.33333333333334
128,-254.0
129,-254.0
130,-254.33333333333334
131,-254.66666666666666
132,-255.0
133,-254.66666666666666
