,0
0,-39.666666666666664
1,-39.333333333333336
2,-39.666666666666664
3,-39.333333333333336
4,-40.333333333333336
5,-39.333333333333336
6,-39.666666666666664
7,-38.333333333333336
8,-38.333333333333336
9,-38.333333333333336
10,-39.333333333333336
11,-40.333333333333336
12,-40.666666666666664
13,-41.0
14,-41.0
15,-40.0
16,-39.0
17,-38.0
18,-37.666666666666664
19,-37.333333333333336
20,-37.333333333333336
21,-37.666666666666664
22,-38.0
23,-38.0
24,-37.666666666666664
25,-37.666666666666664
26,-38.333333333333336
27,-39.333333333333336
28,-40.0
29,-39.666666666666664
30,-39.0
31,-38.333333333333336
32,-38.0
33,-38.333333333333336
34,-39.333333333333336
35,-40.333333333333336
36,-41.0
37,-41.0
38,-41.0
39,-40.0
40,-39.0
41,-38.333333333333336
42,-39.333333333333336
43,-40.0
44,-39.666666666666664
45,-39.333333333333336
46,-38.666666666666664
47,-39.333333333333336
48,-39.333333333333336
49,-40.333333333333336
50,-40.0
51,-40.333333333333336
52,-40.333333333333336
53,-41.0
54,-40.666666666666664
55,-39.666666666666664
56,-38.666666666666664
57,-38.0
58,-38.666666666666664
59,-39.333333333333336
60,-40.0
61,-40.333333333333336
62,-40.666666666666664
63,-41.0
64,-41.0
65,-41.0
66,-40.666666666666664
67,-41.0
68,-40.666666666666664
69,-41.0
70,-40.666666666666664
71,-41.0
72,-41.0
73,-41.0
74,-41.0
75,-40.0
76,-39.666666666666664
77,-39.333333333333336
78,-40.0
79,-40.0
80,-40.0
81,-40.333333333333336
82,-40.666666666666664
83,-41.0
84,-41.0
85,-41.0
86,-40.666666666666664
87,-40.333333333333336
88,-40.333333333333336
89,-40.333333333333336
90,-40.0
91,-39.333333333333336
92,-39.0
93,-39.0
94,-39.0
95,-39.0
96,-38.666666666666664
97,-38.333333333333336
98,-38.0
99,-38.333333333333336
100,-38.333333333333336
101,-38.333333333333336
102,-38.0
103,-38.0
104,-38.0
105,-39.0
106,-39.666666666666664
107,-40.333333333333336
108,-40.0
109,-39.666666666666664
110,-40.333333333333336
111,-40.666666666666664
