,0
0,-85.0
1,-81.33333333333333
2,-85.0
3,-81.33333333333333
4,-79.66666666666667
5,-82.66666666666667
6,-89.66666666666667
7,-90.33333333333333
8,-90.66666666666667
9,-90.0
10,-96.0
11,-98.66666666666667
12,-101.0
13,-97.66666666666667
14,-93.66666666666667
15,-93.33333333333333
16,-93.33333333333333
17,-95.33333333333333
18,-95.0
19,-95.33333333333333
20,-98.0
21,-96.33333333333333
22,-95.66666666666667
23,-95.0
24,-96.66666666666667
25,-96.66666666666667
26,-96.33333333333333
27,-96.0
28,-96.0
29,-96.0
30,-96.66666666666667
31,-97.66666666666667
32,-98.33333333333333
33,-98.33333333333333
34,-98.0
35,-98.0
36,-98.0
37,-98.33333333333333
38,-98.0
39,-98.0
40,-97.66666666666667
41,-97.66666666666667
42,-97.66666666666667
43,-97.66666666666667
44,-98.33333333333333
45,-99.0
46,-99.66666666666667
47,-99.33333333333333
48,-99.0
49,-99.0
50,-99.33333333333333
51,-99.0
52,-98.33333333333333
53,-99.33333333333333
54,-99.0
55,-98.0
56,-96.0
57,-96.0
58,-96.66666666666667
59,-97.0
60,-97.0
61,-97.0
62,-97.0
63,-97.0
64,-97.33333333333333
65,-98.0
66,-98.33333333333333
67,-98.0
68,-97.33333333333333
69,-96.66666666666667
70,-97.0
71,-97.66666666666667
72,-98.33333333333333
73,-98.0
74,-97.0
75,-96.0
76,-95.66666666666667
77,-95.66666666666667
78,-96.0
79,-96.0
80,-96.33333333333333
